,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.015952711427862698,4096,32000,7.8125,3.237554996799235,9.358557412622789,-1.00618074048773,True,778.0,LAYER_TYPE.EMBEDDING,9.383858035702628,4.58,2.89,model.embed_tokens,0,37730.0,4096,1021,4096,1,0.07002624639961794,778.0,48.5,success,27.890625,,0,778.0,10.5625
1,6,Linear,0.019606603064123762,4096,4096,1.0,1.553445978262621,4.159715695699323,-0.6634202885564067,True,476.5,LAYER_TYPE.DENSE,4.58264842605284,3.484,2.678,model.layers.0.self_attn.q_proj,0,3052.0,4096,463,4096,1,0.025720815869980273,476.5,6.406,success,21.828125,over-trained,83,476.5,0.1441650390625
2,7,Linear,0.030422501944453506,4096,4096,1.0,1.4605527350071952,3.7084346787292066,-0.6875300507086686,True,345.8,LAYER_TYPE.DENSE,4.451755220147869,3.582,2.54,model.layers.0.self_attn.k_proj,0,3828.0,4096,616,4096,1,0.018556198500674678,345.8,11.07,success,18.59375,over-trained,93,345.75,0.070068359375
3,8,Linear,0.0701432866710115,4096,4096,1.0,3.601380200292416,4.361046336291597,-0.9306368190773093,True,16.25,LAYER_TYPE.DENSE,5.218761846503981,3.312,1.211,model.layers.0.self_attn.v_proj,0,2052.0,4096,80,4096,1,0.290843148158793,16.25,126.25,success,4.03125,,11,16.25,4.515625
4,9,Linear,0.05321154491028984,4096,4096,1.0,2.2952871318051886,2.9475611116443585,-0.9242075491700396,True,19.25,LAYER_TYPE.DENSE,3.4140768437000575,2.938,1.284,model.layers.0.self_attn.o_proj,0,867.0,4096,413,4096,1,0.06373691298648121,19.25,45.03,success,4.38671875,,13,19.25,0.50146484375
5,12,Linear,0.013478878445730369,4096,11008,2.6875,2.6956847791397984,5.775715239680388,-0.9772490259050157,True,138.6,LAYER_TYPE.DENSE,6.42050801753036,4.086,2.143,model.layers.0.mlp.gate_proj,0,12136.0,4096,741,4096,1,0.062292536862184125,138.6,87.56,success,11.7734375,,0,138.625,4.25390625
6,13,Linear,0.026968749858316765,4096,11008,2.6875,2.9773330128103406,6.100043614136811,-0.985285613289103,True,112.06,LAYER_TYPE.DENSE,6.701323055393973,4.07,2.049,model.layers.0.mlp.up_proj,0,11736.0,4096,578,4096,1,0.08224621070718931,112.06,104.75,success,10.5859375,,0,112.0625,5.15234375
7,14,Linear,0.01747041385926351,4096,11008,2.6875,4.22889071393065,8.02828471472772,-1.0077880579645475,True,79.2,LAYER_TYPE.DENSE,8.112607115107076,4.105,1.898,model.layers.0.mlp.down_proj,0,12750.0,4096,444,4096,1,0.15323637192691358,79.2,161.0,success,8.8984375,,0,79.1875,6.515625
8,20,Linear,0.032961047871157834,4096,4096,1.0,2.907865814765442,7.360535343625025,-0.8478599690212102,True,339.2,LAYER_TYPE.DENSE,7.770926035063984,4.07,2.531,model.layers.1.self_attn.q_proj,0,11750.0,4096,86,4096,1,0.20573046170619513,339.2,34.66,success,18.421875,,32,339.25,34.5625
9,21,Linear,0.03249327822468251,4096,4096,1.0,3.102799961700397,8.090308493886777,-0.8446453340675752,True,405.8,LAYER_TYPE.DENSE,8.349452527959695,4.07,2.607,model.layers.1.self_attn.k_proj,0,11710.0,4096,72,4096,1,0.2478173520661939,405.8,28.86,success,20.140625,,36,405.75,38.90625
10,22,Linear,0.022485523847397992,4096,4096,1.0,4.200484817439229,4.315341824166082,-0.9635868273520674,True,10.64,LAYER_TYPE.DENSE,4.792032385916931,3.229,1.027,model.layers.1.self_attn.v_proj,0,1696.0,4096,146,4096,1,0.264874008129518,10.64,159.4,success,3.26171875,,7,10.640625,2.10546875
11,23,Linear,0.02160663974725663,4096,4096,1.0,3.7743518347616765,4.434126227752243,-0.9595685336600237,True,14.97,LAYER_TYPE.DENSE,4.55845499353769,3.059,1.175,model.layers.1.self_attn.o_proj,0,1144.0,4096,81,4096,1,0.3082613149735196,14.97,76.44,success,3.869140625,,10,14.96875,1.5380859375
12,26,Linear,0.012593126231846302,4096,11008,2.6875,2.6167420095091716,6.025661775803346,-0.9756417084281982,True,200.6,LAYER_TYPE.DENSE,6.440723099344936,4.176,2.303,model.layers.1.mlp.gate_proj,0,14980.0,4096,694,4096,1,0.061370687430281824,200.6,74.6,success,14.1640625,,0,200.625,5.45703125
13,27,Linear,0.06157214722526361,4096,11008,2.6875,4.529637277829684,7.864936601544119,-1.002966105534095,True,54.44,LAYER_TYPE.DENSE,8.054672378410146,4.125,1.736,model.layers.1.mlp.up_proj,0,13280.0,4096,237,4096,1,0.22927457893210365,54.44,244.0,success,7.37890625,,0,54.4375,9.40625
14,28,Linear,0.021784899870859853,4096,11008,2.6875,4.845766963627507,7.978479590503883,-1.0166283040870434,True,44.3,LAYER_TYPE.DENSE,8.191717056421123,4.137,1.646,model.layers.1.mlp.down_proj,0,13670.0,4096,503,4096,1,0.1714742736329557,44.3,308.5,success,6.65625,,0,44.3125,6.10546875
15,34,Linear,0.02207534219168128,4096,4096,1.0,3.067301435762705,7.422629841621077,-0.9177782792627697,True,263.0,LAYER_TYPE.DENSE,7.630130525292478,4.074,2.42,model.layers.2.self_attn.q_proj,0,11896.0,4096,111,4096,1,0.1962195687384793,263.0,45.22,success,16.21875,,14,263.0,20.5625
16,35,Linear,0.027459955245968448,4096,4096,1.0,3.3300991992008604,8.546387397949083,-0.9161709617859523,True,368.8,LAYER_TYPE.DENSE,8.603252006747795,4.12,2.566,model.layers.2.self_attn.k_proj,0,13160.0,4096,105,4096,1,0.22739439784774385,368.8,35.7,success,19.203125,,18,368.75,24.5
17,36,Linear,0.023490501658371743,4096,4096,1.0,4.100256919197589,4.496668476815325,-0.9804636608586507,True,12.5,LAYER_TYPE.DENSE,5.408391855033335,3.54,1.097,model.layers.2.self_attn.v_proj,0,3454.0,4096,193,4096,1,0.22316137618060475,12.5,276.2,success,3.53515625,,5,12.5,3.197265625
18,37,Linear,0.013459011247383829,4096,4096,1.0,4.426340537027988,6.903189294564157,-0.9868929307659204,True,36.25,LAYER_TYPE.DENSE,6.9097315757775375,3.512,1.56,model.layers.2.self_attn.o_proj,0,3248.0,4096,272,4096,1,0.20775241093385197,36.25,89.6,success,6.01953125,,3,36.25,2.40234375
19,40,Linear,0.015428411897063454,4096,11008,2.6875,2.8660158810869056,5.883169318403003,-0.994125859411599,True,112.75,LAYER_TYPE.DENSE,6.527189368735175,4.2,2.053,model.layers.2.mlp.gate_proj,0,15830.0,4096,894,4096,1,0.062443840555886906,112.75,140.4,success,10.6171875,,0,112.75,5.01171875
20,41,Linear,0.06632473107006687,4096,11008,2.6875,3.9214179168053245,5.154520035175749,-1.0110026929181823,True,20.64,LAYER_TYPE.DENSE,6.77459017101896,4.137,1.314,model.layers.2.mlp.up_proj,0,13760.0,4096,592,4096,1,0.12006953675463047,20.64,666.5,success,4.54296875,,0,20.640625,6.22265625
21,42,Linear,0.018546527396155366,4096,11008,2.6875,5.388742970192851,8.119951565437079,-1.0190392803022696,True,32.16,LAYER_TYPE.DENSE,8.4334529959898,4.145,1.507,model.layers.2.mlp.down_proj,0,13940.0,4096,442,4096,1,0.20875121512322617,32.16,433.5,success,5.671875,,0,32.15625,6.3984375
22,48,Linear,0.026896718278472564,4096,4096,1.0,4.119357432501239,9.29269108308385,-0.9475136525838928,True,179.9,LAYER_TYPE.DENSE,9.334985336188195,4.027,2.256,model.layers.3.self_attn.q_proj,0,10660.0,4096,35,4096,1,0.5272676412194888,179.9,59.25,success,13.4140625,,7,179.875,27.96875
23,49,Linear,0.03867020329922244,4096,4096,1.0,3.1564650939585217,7.484274656378213,-0.9507282875375276,True,235.0,LAYER_TYPE.DENSE,7.5478321881058665,4.062,2.371,model.layers.3.self_attn.k_proj,0,11540.0,4096,270,4096,1,0.13123828627039777,235.0,49.1,success,15.328125,,7,235.0,10.4765625
24,50,Linear,0.04688798676570061,4096,4096,1.0,5.045311604346749,4.919671520449443,-0.985285613289103,True,9.44,LAYER_TYPE.DENSE,5.666659214135358,3.492,0.975,model.layers.3.self_attn.v_proj,0,3108.0,4096,90,4096,1,0.4264132838281877,9.44,329.2,success,3.072265625,,5,9.4375,3.537109375
25,51,Linear,0.013939999221227017,4096,4096,1.0,4.2522949831496595,6.831079343048037,-0.9836782958122855,True,40.4,LAYER_TYPE.DENSE,6.8369870983501695,3.473,1.606,model.layers.3.self_attn.o_proj,0,2976.0,4096,217,4096,1,0.22078016943085968,40.4,73.6,success,6.35546875,,5,40.40625,2.419921875
26,54,Linear,0.016525757368104577,4096,11008,2.6875,3.934687345389494,7.819422605339473,-1.0110026929181823,True,97.2,LAYER_TYPE.DENSE,8.002890407088412,4.21,1.987,model.layers.3.mlp.gate_proj,0,16296.0,4096,585,4096,1,0.12133438866256488,97.2,167.6,success,9.859375,,0,97.1875,6.93359375
27,55,Linear,0.028335082487542018,4096,11008,2.6875,8.90495079081584,11.365986995699515,-1.018235621563861,True,18.88,LAYER_TYPE.DENSE,11.789421055415472,4.145,1.276,model.layers.3.mlp.up_proj,0,13960.0,4096,68,4096,1,0.9586160904659873,18.88,739.5,success,4.34375,under-trained,0,18.875,9.8515625
28,56,Linear,0.03462506769527446,4096,11008,2.6875,4.149611881532101,6.666124555781549,-1.0134136691334086,True,40.44,LAYER_TYPE.DENSE,7.234070827598304,4.15,1.606,model.layers.3.mlp.down_proj,0,14020.0,4096,413,4096,1,0.15498226879983484,40.44,346.5,success,6.359375,,0,40.4375,6.984375
29,62,Linear,0.030685218191940977,4096,4096,1.0,2.7658389192816797,6.30416800547211,-0.9426917001534403,True,190.1,LAYER_TYPE.DENSE,6.662887196914317,4.062,2.28,model.layers.4.self_attn.q_proj,0,11580.0,4096,279,4096,1,0.10571801080940661,190.1,60.94,success,13.7890625,,6,190.125,9.8515625
30,63,Linear,0.03321280304645102,4096,4096,1.0,4.023297531199953,9.633911666506137,-0.9467099938454839,True,248.0,LAYER_TYPE.DENSE,9.656320124601976,4.082,2.395,model.layers.4.self_attn.k_proj,0,12080.0,4096,28,4096,1,0.5713495290650439,248.0,48.72,success,15.75,,6,248.0,34.1875
31,64,Linear,0.04990961759699669,4096,4096,1.0,4.85910736023196,4.776065974681121,-0.985285613289103,True,9.62,LAYER_TYPE.DENSE,5.769775134352787,3.54,0.983,model.layers.4.self_attn.v_proj,0,3462.0,4096,106,4096,1,0.37482964203121644,9.62,360.0,success,3.1015625,,3,9.6171875,3.814453125
32,65,Linear,0.037470411687758,4096,4096,1.0,4.703433413748218,7.197539218108846,-0.985285613289103,True,33.9,LAYER_TYPE.DENSE,7.204933727493932,3.52,1.53,model.layers.4.self_attn.o_proj,0,3314.0,4096,103,4096,1,0.3649101372298056,33.9,97.75,success,5.82421875,,4,33.90625,3.541015625
33,68,Linear,0.015600809348924938,4096,11008,2.6875,3.670445441806912,7.6204755950014595,-1.009395375441365,True,119.3,LAYER_TYPE.DENSE,7.766926676322401,4.23,2.076,model.layers.4.mlp.gate_proj,0,17000.0,4096,682,4096,1,0.10225664092084882,119.3,142.4,success,10.921875,,0,119.3125,6.6171875
34,69,Linear,0.04226687398390705,4096,11008,2.6875,6.313156790585606,7.996254255263214,-1.0190392803022696,True,18.47,LAYER_TYPE.DENSE,8.866579779462958,4.137,1.267,model.layers.4.mlp.up_proj,0,13760.0,4096,251,4096,1,0.3353634828998721,18.47,745.0,success,4.296875,under-trained,0,18.46875,7.60546875
35,70,Linear,0.040226150961585494,4096,11008,2.6875,4.196676161706181,6.704845898975891,-1.0134136691334086,True,39.56,LAYER_TYPE.DENSE,7.243937773279191,4.137,1.598,model.layers.4.mlp.down_proj,0,13700.0,4096,397,4096,1,0.160436577571082,39.56,346.2,success,6.2890625,,0,39.5625,6.93359375
