,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.03398882514158663,6656,32000,4.8076923076923075,1.9969664229297783,6.100108370043308,-1.1034234478351863,True,1133.0,LAYER_TYPE.EMBEDDING,6.619365224324225,4.645,3.055,model.embed_tokens,0,43940.0,6656,3500,6656,1,0.016851808283211436,1133.0,38.78,success,33.65625,over-trained,0,1133.0,1.91796875
1,6,Linear,0.02477438657246367,6656,6656,1.0,1.3832415207061555,4.028150600337652,-0.9659978035672935,True,816.5,LAYER_TYPE.DENSE,4.959993237049457,4.227,2.912,model.layers.0.self_attn.q_proj,0,16830.0,6656,3380,6656,1,0.006591954554610437,816.5,20.61,success,28.578125,over-trained,35,816.5,0.0139923095703125
2,7,Linear,0.023675668751049872,6656,6656,1.0,1.3994569779478037,4.067171842160804,-0.9306368190773093,True,805.0,LAYER_TYPE.DENSE,5.082847892611969,4.242,2.906,model.layers.0.self_attn.k_proj,0,17400.0,6656,2638,6656,1,0.007777367419926278,805.0,21.62,success,28.375,over-trained,41,805.0,0.021392822265625
3,8,Linear,0.030650736399414236,6656,6656,1.0,3.6911686252615854,4.523844360061807,-1.1275332099874482,True,16.8,LAYER_TYPE.DENSE,5.065606309944295,3.44,1.226,model.layers.0.self_attn.v_proj,0,2756.0,6656,254,6656,1,0.16885893765260593,16.8,164.1,success,4.09765625,,14,16.796875,2.509765625
4,9,Linear,0.01574663756027972,6656,6656,1.0,4.056705425980985,7.376548342945892,-1.1379807735867618,True,65.9,LAYER_TYPE.DENSE,7.379227663020932,3.422,1.818,model.layers.0.self_attn.o_proj,0,2642.0,6656,199,6656,1,0.2166841025724919,65.9,40.1,success,8.1171875,,13,65.875,2.306640625
5,12,Linear,0.030303679565414632,6656,17920,2.6923076923076925,1.6426225017325904,3.3526181920128066,-1.0841356381133769,True,109.94,LAYER_TYPE.DENSE,4.967818513933193,4.14,2.041,model.layers.0.mlp.gate_proj,0,13790.0,6656,3192,6656,1,0.011374294983977488,109.94,125.44,success,10.484375,over-trained,0,109.9375,0.287353515625
6,13,Linear,0.03704212868321277,6656,17920,2.6923076923076925,10.16765327150551,17.72388778284896,-1.1034234478351863,True,55.3,LAYER_TYPE.DENSE,18.050229307756567,4.1,1.743,model.layers.0.mlp.up_proj,0,12664.0,6656,45,6656,1,1.3666330606156436,55.3,229.0,success,7.4375,under-trained,0,55.3125,31.640625
7,14,Linear,0.029738072054369402,6656,17920,2.6923076923076925,5.124945185365653,12.482044230763611,-1.1773600517687894,True,272.8,LAYER_TYPE.DENSE,12.483678581162314,4.438,2.436,model.layers.0.mlp.down_proj,0,27410.0,6656,401,6656,1,0.2059899325813425,272.8,100.5,success,16.515625,,0,272.75,13.1015625
8,20,Linear,0.03557216099315563,6656,6656,1.0,2.8731176198218455,8.131147326409872,-1.0238612327327221,True,677.5,LAYER_TYPE.DENSE,8.50327720154725,4.395,2.83,model.layers.1.self_attn.q_proj,0,24740.0,6656,84,6656,1,0.20437388758069341,677.5,36.5,success,26.03125,,23,677.5,67.0625
9,21,Linear,0.045154095765402524,6656,6656,1.0,3.1344811334315565,8.993267158224524,-1.0262722089479484,True,741.0,LAYER_TYPE.DENSE,9.219031963845913,4.402,2.87,model.layers.1.self_attn.k_proj,0,25150.0,6656,68,6656,1,0.2588438579125415,741.0,33.94,success,27.21875,,27,741.0,78.625
