,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.033988825,6656,32000,4.807692308,1.996966423,6.10010837,-1.103423448,TRUE,1133,LAYER_TYPE.EMBEDDING,6.619365224,4.645,3.055,model.embed_tokens,0,43940,6656,3500,6656,1,0.016851808,1133,38.78,success,33.65625,over-trained,0,1133,1.91796875
1,6,Linear,0.024681603,6656,6656,1,1.382278467,4.02264632,-0.962783169,TRUE,811.5,LAYER_TYPE.DENSE,4.982992782,4.24,2.91,model.layers.0.self_attn.q_proj,0,17340,6656,3380,6656,1,0.00657539,811.5,21.38,success,28.484375,over-trained,34,811.5,0.013908386
2,7,Linear,0.023757152,6656,6656,1,1.40118297,4.069451321,-0.931440478,TRUE,800.5,LAYER_TYPE.DENSE,5.073385209,4.23,2.904,model.layers.0.self_attn.k_proj,0,17060,6656,2568,6656,1,0.007916714,800.5,21.31,success,28.296875,over-trained,41,800.5,0.022949219
3,8,Linear,0.020006477,6656,6656,1,3.319884545,7.02233391,-1.099405154,TRUE,130.5,LAYER_TYPE.DENSE,7.122205801,3.486,2.115,model.layers.0.self_attn.v_proj,0,3064,6656,290,6656,1,0.136228311,130.5,23.48,success,11.421875,,14,130.5,2.375
4,9,Linear,0.015037771,6656,6656,1,3.996331859,7.266767502,-1.137177115,TRUE,65.9,LAYER_TYPE.DENSE,7.269788968,3.424,1.818,model.layers.0.self_attn.o_proj,0,2652,6656,201,6656,1,0.211344954,65.9,40.25,success,8.1171875,,12,65.875,2.302734375
5,12,Linear,0.030277894,6656,17920,2.692307692,1.642594891,3.339729065,-1.084939297,TRUE,107.94,LAYER_TYPE.DENSE,4.966570769,4.14,2.033,model.layers.0.mlp.gate_proj,0,13780,6656,3194,6656,1,0.011370245,107.94,127.6,success,10.390625,over-trained,0,107.9375,0.286865234
6,13,Linear,0.037843084,6656,17920,2.692307692,10.28482288,17.92813364,-1.103423448,TRUE,55.3,LAYER_TYPE.DENSE,18.24395782,4.1,1.743,model.layers.0.mlp.up_proj,0,12660,6656,44,6656,1,1.399739716,55.3,228.8,success,7.4375,under-trained,0,55.3125,31.734375
7,14,Linear,0.029378367,6656,17920,2.692307692,5.118920869,12.46737172,-1.177360052,TRUE,272.8,LAYER_TYPE.DENSE,12.46901171,4.438,2.436,model.layers.0.mlp.down_proj,0,27400,6656,404,6656,1,0.204923972,272.8,100.44,success,16.515625,,0,272.75,13.0703125
8,20,Linear,0.034080482,6656,6656,1,2.812617577,8.091768927,-1.01903928,TRUE,753.5,LAYER_TYPE.DENSE,8.5365642,4.406,2.877,model.layers.1.self_attn.q_proj,0,25390,6656,79,6656,1,0.20393541,753.5,33.7,success,27.453125,,25,753.5,70
9,21,Linear,0.04622929,6656,6656,1,3.176154261,9.106629796,-1.027075868,TRUE,736.5,LAYER_TYPE.DENSE,9.314481812,4.395,2.867,model.layers.1.self_attn.k_proj,0,24800,6656,67,6656,1,0.265859557,736.5,33.7,success,27.140625,,28,736.5,78.375
10,22,Linear,0.042052537,6656,6656,1,3.542249628,8.191452265,-1.117889305,TRUE,205.1,LAYER_TYPE.DENSE,8.19469585,3.586,2.312,model.layers.1.self_attn.v_proj,0,3848,6656,321,6656,1,0.141894537,205.1,18.77,success,14.3203125,,12,205.125,2.552734375
11,23,Linear,0.024076679,6656,6656,1,4.460105411,7.138782001,-1.154053948,TRUE,39.9,LAYER_TYPE.DENSE,7.355839366,3.592,1.601,model.layers.1.self_attn.o_proj,0,3906,6656,339,6656,1,0.18792713,39.9,97.9,success,6.31640625,,9,39.90625,2.4296875
12,26,Linear,0.020539056,6656,17920,2.692307692,2.626741384,6.187207244,-1.139588091,TRUE,226.4,LAYER_TYPE.DENSE,7.024322083,4.477,2.355,model.layers.1.mlp.gate_proj,0,30000,6656,542,6656,1,0.069874526,226.4,132.5,success,15.046875,,0,226.375,12.609375
13,27,Linear,0.083352144,6656,17920,2.692307692,3.520812751,5.549406036,-1.163697853,TRUE,37.72,LAYER_TYPE.DENSE,7.465569967,4.418,1.576,model.layers.1.mlp.up_proj,0,26180,6656,604,6656,1,0.102570416,37.72,694,success,6.140625,,0,37.71875,11.953125
14,28,Linear,0.008815388,6656,17920,2.692307692,4.649971464,10.17181258,-1.193433227,TRUE,153.9,LAYER_TYPE.DENSE,10.18351179,4.477,2.188,model.layers.1.mlp.down_proj,0,29920,6656,327,6656,1,0.201843883,153.9,194.5,success,12.40625,,0,153.875,12.0859375
15,34,Linear,0.036879064,6656,6656,1,2.455991704,6.854711219,-1.059222217,TRUE,618,LAYER_TYPE.DENSE,7.438905512,4.438,2.791,model.layers.2.self_attn.q_proj,0,27300,6656,165,6656,1,0.1133488,618,44.16,success,24.859375,,14,618,33.46875
16,35,Linear,0.036057684,6656,6656,1,2.861795563,7.942600576,-1.067258805,TRUE,595.5,LAYER_TYPE.DENSE,8.28066963,4.438,2.775,model.layers.2.self_attn.k_proj,0,27260,6656,95,6656,1,0.191016194,595.5,45.78,success,24.40625,,17,595.5,53.1875
17,36,Linear,0.038816788,6656,6656,1,3.885270575,9.121279747,-1.136373456,TRUE,222.4,LAYER_TYPE.DENSE,9.175238842,3.781,2.348,model.layers.2.self_attn.v_proj,0,6052,6656,308,6656,1,0.164403549,222.4,27.22,success,14.9140625,,7,222.375,3.76953125
18,37,Linear,0.022169466,6656,6656,1,4.671212922,8.817826737,-1.166108829,TRUE,77.25,LAYER_TYPE.DENSE,8.865132612,3.787,1.888,model.layers.2.self_attn.o_proj,0,6124,6656,364,6656,1,0.192423842,77.25,79.25,success,8.7890625,,5,77.25,3.2109375
19,40,Linear,0.014967211,6656,17920,2.692307692,2.970724469,6.927822296,-1.170930782,TRUE,215.2,LAYER_TYPE.DENSE,7.415815239,4.53,2.332,model.layers.2.mlp.gate_proj,0,34000,6656,699,6656,1,0.074539645,215.2,157.9,success,14.671875,,0,215.25,11.21875
20,41,Linear,0.079446636,6656,17920,2.692307692,4.54782292,6.70182108,-1.186200298,TRUE,29.78,LAYER_TYPE.DENSE,8.427755535,4.457,1.474,model.layers.2.mlp.up_proj,0,28580,6656,482,6656,1,0.161598906,29.78,959.5,success,5.45703125,,0,29.78125,12.0625
21,42,Linear,0.009686066,6656,17920,2.692307692,3.969593413,7.791877696,-1.194236885,TRUE,91.9,LAYER_TYPE.DENSE,8.143780657,4.484,1.963,model.layers.2.mlp.down_proj,0,30420,6656,521,6656,1,0.13010025,91.9,331,success,9.5859375,,0,91.875,10.2734375
22,48,Linear,0.038035084,6656,6656,1,2.395245999,6.610317571,-1.07047344,TRUE,574,LAYER_TYPE.DENSE,7.186613705,4.42,2.76,model.layers.3.self_attn.q_proj,0,26380,6656,199,6656,1,0.098906366,574,45.97,success,23.953125,,8,574,26.46875
23,49,Linear,0.048077103,6656,6656,1,2.444009307,6.75921324,-1.077706368,TRUE,583.5,LAYER_TYPE.DENSE,7.225962935,4.44,2.766,model.layers.3.self_attn.k_proj,0,27550,6656,283,6656,1,0.085837444,583.5,47.22,success,24.15625,,12,583.5,22.453125
24,50,Linear,0.036748142,6656,6656,1,3.703755662,8.579402763,-1.144410043,TRUE,207.5,LAYER_TYPE.DENSE,8.602890201,3.805,2.316,model.layers.3.self_attn.v_proj,0,6390,6656,300,6656,1,0.156101406,207.5,30.81,success,14.40625,,7,207.5,3.853515625
25,51,Linear,0.015186279,6656,6656,1,4.38357836,8.407566307,-1.165305171,TRUE,82.8,LAYER_TYPE.DENSE,8.434419684,3.795,1.918,model.layers.3.self_attn.o_proj,0,6250,6656,290,6656,1,0.198690563,82.8,75.44,success,9.1015625,,5,82.8125,3.556640625
26,54,Linear,0.016885987,6656,17920,2.692307692,3.180941066,7.349713439,-1.180574687,TRUE,204.4,LAYER_TYPE.DENSE,7.686318674,4.543,2.31,model.layers.3.mlp.gate_proj,0,34800,6656,763,6656,1,0.078955368,204.4,170.4,success,14.296875,,0,204.375,10.640625
27,55,Linear,0.053733239,6656,17920,2.692307692,8.847521382,15.58684431,-1.19102225,TRUE,57.72,LAYER_TYPE.DENSE,15.59896994,4.473,1.762,model.layers.3.mlp.up_proj,0,29760,6656,86,6656,1,0.846219993,57.72,515.5,success,7.59765625,under-trained,0,57.71875,18.875
28,56,Linear,0.023712458,6656,17920,2.692307692,3.797288298,8.180486313,-1.192629568,TRUE,142.8,LAYER_TYPE.DENSE,8.303235554,4.49,2.154,model.layers.3.mlp.down_proj,0,30740,6656,616,6656,1,0.112705957,142.8,215.4,success,11.9453125,,0,142.75,9.8671875
29,62,Linear,0.031418406,6656,6656,1,2.282600026,5.933868428,-1.103423448,TRUE,397.5,LAYER_TYPE.DENSE,6.426352118,4.293,2.6,model.layers.4.self_attn.q_proj,0,19660,6656,593,6656,1,0.05267007,397.5,49.47,success,19.9375,,8,397.5,7.37109375
30,63,Linear,0.043682594,6656,6656,1,4.437236771,11.11042488,-1.11467467,TRUE,319.5,LAYER_TYPE.DENSE,11.13770357,4.285,2.504,model.layers.4.self_attn.k_proj,0,19250,6656,42,6656,1,0.530377148,319.5,60.25,success,17.875,,8,319.5,49.5
31,64,Linear,0.024743456,6656,6656,1,3.324486504,8.233298608,-1.138784432,TRUE,299.2,LAYER_TYPE.DENSE,8.270577588,3.88,2.477,model.layers.4.self_attn.v_proj,0,7616,6656,363,6656,1,0.122003901,299.2,25.45,success,17.296875,,7,299.25,3.9296875
32,65,Linear,0.022598571,6656,6656,1,3.800072289,6.54250727,-1.165305171,TRUE,52.72,LAYER_TYPE.DENSE,6.662369827,3.873,1.722,model.layers.4.self_attn.o_proj,0,7452,6656,324,6656,1,0.155559572,52.72,141.4,success,7.26171875,,6,52.71875,4.171875
33,68,Linear,0.008748261,6656,17920,2.692307692,3.298338951,7.524335732,-1.18459298,TRUE,191,LAYER_TYPE.DENSE,7.886140042,4.562,2.281,model.layers.4.mlp.gate_proj,0,36500,6656,796,6656,1,0.081462464,191,191.1,success,13.8203125,,0,191,10.578125
34,69,Linear,0.033069099,6656,17920,2.692307692,9.69249009,14.97413996,-1.195040544,TRUE,35.03,LAYER_TYPE.DENSE,15.35480754,4.496,1.545,model.layers.4.mlp.up_proj,0,31330,6656,51,6656,1,1.217192075,35.03,894.5,success,5.91796875,under-trained,0,35.03125,20.046875
35,70,Linear,0.030298307,6656,17920,2.692307692,3.467398984,6.145829254,-1.191825909,TRUE,59.28,LAYER_TYPE.DENSE,7.315857282,4.49,1.772,model.layers.4.mlp.down_proj,0,30860,6656,839,6656,1,0.085184073,59.28,520.5,success,7.69921875,,0,59.28125,8.6875
36,76,Linear,0.02384272,6656,6656,1,2.244891665,5.998069917,-1.098601495,TRUE,469.8,LAYER_TYPE.DENSE,6.412467471,4.285,2.672,model.layers.5.self_attn.q_proj,0,19230,6656,628,6656,1,0.049676586,469.8,40.94,success,21.671875,,8,469.75,6.56640625
37,77,Linear,0.030486192,6656,6656,1,2.532519957,6.326353564,-1.11467467,TRUE,314.5,LAYER_TYPE.DENSE,6.690639686,4.266,2.498,model.layers.5.self_attn.k_proj,0,18460,6656,405,6656,1,0.076151529,314.5,58.72,success,17.734375,,7,314.5,10.2734375
38,78,Linear,0.014282683,6656,6656,1,3.28769457,8.212815147,-1.138784432,TRUE,315.5,LAYER_TYPE.DENSE,8.263143736,3.902,2.498,model.layers.5.self_attn.v_proj,0,7972,6656,381,6656,1,0.117202143,315.5,25.27,success,17.765625,,5,315.5,3.96484375
39,79,Linear,0.032468674,6656,6656,1,4.167327287,7.01201652,-1.163697853,TRUE,48.2,LAYER_TYPE.DENSE,7.181389516,3.879,1.683,model.layers.5.self_attn.o_proj,0,7576,6656,135,6656,1,0.27260013,48.2,157.2,success,6.94140625,,5,48.1875,6.14453125
