,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.018288092674233924,4096,32000,7.8125,2.8873069708048473,8.487103498166592,-0.9796600021202418,True,869.5,LAYER_TYPE.EMBEDDING,8.703420986580118,4.727,2.94,model.embed_tokens,0,53470.0,4096,372,4096,1,0.09785230809263158,869.5,61.5,success,29.484375,,0,869.5,31.421875
1,6,Linear,0.049815396276479684,4096,4096,1.0,2.7090931166840773,8.16960893000042,-0.7691014126571546,True,1036.0,LAYER_TYPE.DENSE,8.435600759905821,4.215,3.016,model.layers.0.self_attn.q_proj,0,16370.0,4096,46,4096,1,0.2519920323747702,1036.0,15.8,success,32.1875,,30,1036.0,93.875
2,7,Linear,0.05850532962322874,4096,4096,1.0,3.0114847535101306,8.740363952570418,-0.7650831189651109,True,799.0,LAYER_TYPE.DENSE,9.15610871422268,4.21,2.902,model.layers.0.self_attn.k_proj,0,16320.0,4096,25,4096,1,0.4022969507020261,799.0,20.42,success,28.265625,,35,799.0,156.0
3,8,Linear,0.02635733361560566,4096,4096,1.0,4.154770595556442,5.331414611876137,-0.9651941448288848,True,19.2,LAYER_TYPE.DENSE,5.649145249528525,3.484,1.283,model.layers.0.self_attn.v_proj,0,3044.0,4096,194,4096,1,0.2264993287647088,19.2,158.5,success,4.3828125,,6,19.203125,3.197265625
4,9,Linear,0.01805095752119057,4096,4096,1.0,3.8671719726103984,6.506970028132535,-0.9651941448288848,True,48.2,LAYER_TYPE.DENSE,6.515919648332969,3.367,1.683,model.layers.0.self_attn.o_proj,0,2332.0,4096,314,4096,1,0.16180387515261554,48.2,48.4,success,6.94140625,,6,48.1875,1.8720703125
5,12,Linear,0.03709788158413063,4096,11008,2.6875,2.773389658967959,5.833868481852524,-0.95555023996798,True,126.75,LAYER_TYPE.DENSE,6.540906606624543,4.11,2.104,model.layers.0.mlp.gate_proj,0,12890.0,4096,398,4096,1,0.08889199141104526,126.75,101.7,success,11.2578125,,0,126.75,8.6875
6,13,Linear,0.04616891549477631,4096,11008,2.6875,5.214790635465254,9.395789768001361,-0.9700160972593371,True,63.38,LAYER_TYPE.DENSE,9.85910656050211,4.082,1.802,model.layers.0.mlp.up_proj,0,12100.0,4096,79,4096,1,0.4742009948898265,63.38,190.9,success,7.9609375,,0,63.375,19.109375
7,14,Linear,0.029930963755404827,4096,11008,2.6875,4.772366336166483,10.989492012383366,-1.0077880579645475,True,200.9,LAYER_TYPE.DENSE,10.992337946134661,4.277,2.303,model.layers.0.mlp.down_proj,0,18930.0,4096,452,4096,1,0.17743718678097914,200.9,94.25,success,14.171875,,0,200.875,9.671875
8,20,Linear,0.03549581022341586,4096,4096,1.0,3.6014949311478692,9.531300061924536,-0.8671477787430197,True,443.0,LAYER_TYPE.DENSE,9.815427850131856,4.277,2.646,model.layers.1.self_attn.q_proj,0,18860.0,4096,48,4096,1,0.37549344969841736,443.0,42.6,success,21.046875,,14,443.0,79.3125
9,21,Linear,0.04086300138803245,4096,4096,1.0,3.665199297276936,10.53744797967119,-0.8623258263125673,True,748.5,LAYER_TYPE.DENSE,10.582467789630172,4.29,2.875,model.layers.1.self_attn.k_proj,0,19470.0,4096,56,4096,1,0.3561522370671773,748.5,26.02,success,27.359375,,18,748.5,76.5625
