,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.0338549815709418,6656,32000,4.8076923076923075,1.9977111723642822,6.106285126465043,-1.1034234478351863,True,1139.0,LAYER_TYPE.EMBEDDING,6.622823557071984,4.645,3.057,model.embed_tokens,0,43940.0,6656,3481,6656,1,0.0169103588536319,1139.0,38.56,success,33.75,over-trained,0,1139.0,1.9287109375
1,6,Linear,0.0246629901066735,6656,6656,1.0,1.3826874650469763,4.029237691113455,-0.9619795098752498,True,819.5,LAYER_TYPE.DENSE,4.983930011750502,4.24,2.914,model.layers.0.self_attn.q_proj,0,17310.0,6656,3372,6656,1,0.006590228214512729,819.5,21.12,success,28.625,over-trained,34,819.5,0.0140380859375
2,7,Linear,0.023655907349446725,6656,6656,1.0,1.4008426824611364,4.068463025038496,-0.9306368190773093,True,802.5,LAYER_TYPE.DENSE,5.071806742361801,4.23,2.904,model.layers.0.self_attn.k_proj,0,17020.0,6656,2596,6656,1,0.007867225809805202,802.5,21.22,success,28.328125,over-trained,40,802.5,0.022186279296875
3,8,Linear,0.019326321272123415,6656,6656,1.0,3.3332127522873334,7.050526192826528,-1.1002088128815515,True,130.2,LAYER_TYPE.DENSE,7.145855187126026,3.484,2.115,model.layers.0.self_attn.v_proj,0,3050.0,6656,304,6656,1,0.13381892896053793,130.2,23.42,success,11.4140625,,13,130.25,2.318359375
4,9,Linear,0.015811037434593278,6656,6656,1.0,4.044664072855761,7.3546528356029555,-1.1379807735867618,True,65.9,LAYER_TYPE.DENSE,7.357365719304932,3.422,1.818,model.layers.0.self_attn.o_proj,0,2642.0,6656,203,6656,1,0.21369352526824392,65.9,40.1,success,8.1171875,,13,65.875,2.2890625
5,12,Linear,0.030279076829530793,6656,17920,2.6923076923076925,1.6425881098878594,3.3397152781118393,-1.0841356381133769,True,107.94,LAYER_TYPE.DENSE,4.966501228794013,4.14,2.033,model.layers.0.mlp.gate_proj,0,13780.0,6656,3194,6656,1,0.011370124743562578,107.94,127.6,success,10.390625,over-trained,0,107.9375,0.286865234375
6,13,Linear,0.03793474969308708,6656,17920,2.6923076923076925,10.288142631318697,17.93392050478894,-1.1034234478351863,True,55.3,LAYER_TYPE.DENSE,18.24956140310291,4.1,1.743,model.layers.0.mlp.up_proj,0,12660.0,6656,44,6656,1,1.400240186699474,55.3,228.8,success,7.4375,under-trained,0,55.3125,31.734375
7,14,Linear,0.029624472771704102,6656,17920,2.6923076923076925,5.1160655044787005,12.460417351728397,-1.1773600517687894,True,272.8,LAYER_TYPE.DENSE,12.462059862338746,4.438,2.436,model.layers.0.mlp.down_proj,0,27400.0,6656,404,6656,1,0.2047819127148374,272.8,100.44,success,16.515625,,0,272.75,13.0703125
8,20,Linear,0.03242331006806454,6656,6656,1.0,2.8053380230780682,8.07082599217577,-1.0190392803022696,True,753.0,LAYER_TYPE.DENSE,8.516778973482468,4.402,2.877,model.layers.1.self_attn.q_proj,0,25330.0,6656,77,6656,1,0.2057373618144798,753.0,33.62,success,27.4375,,25,753.0,70.5625
9,21,Linear,0.04570174291895113,6656,6656,1.0,3.2019214666878306,9.180509205269015,-1.0262722089479484,True,737.5,LAYER_TYPE.DENSE,9.38384413748748,4.395,2.867,model.layers.1.self_attn.k_proj,0,24750.0,6656,60,6656,1,0.28426683900461924,737.5,33.56,success,27.15625,,27,737.5,82.8125
