,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,12,Linear,0.020265225450939228,5120,15360,3.0,3.669836177436724,9.389619907113493,-1.065651487129976,True,361.5,LAYER_TYPE.DENSE,9.41305966165069,4.375,2.559,gpt_neox.layers.0.attention.query_key_value,0,23730.0,5120,218,5120,1,0.18082412275074833,361.5,65.6,success,19.015625,,0,361.5,16.21875
1,13,Linear,0.00932088829106581,5120,5120,1.0,3.3766338742697,7.425956528179067,-1.0383270900240793,True,158.0,LAYER_TYPE.DENSE,7.425750966307058,3.559,2.2,gpt_neox.layers.0.attention.dense,0,3620.0,5120,247,5120,1,0.15122159213699005,158.0,22.9,success,12.5703125,,6,158.0,2.47265625
2,16,Linear,0.056705171314116676,5120,20480,4.0,7.47107122358436,19.378090986171934,-1.0937795429742816,True,392.0,LAYER_TYPE.DENSE,19.374624952146746,4.49,2.594,gpt_neox.layers.0.mlp.dense_h_to_4h,0,30900.0,5120,462,5120,1,0.301061479895458,392.0,78.8,success,19.796875,under-trained,0,392.0,11.859375
3,17,Linear,0.04932804057910367,5120,20480,4.0,9.762359790839973,20.51620924793713,-1.0913685667590554,True,126.4,LAYER_TYPE.DENSE,20.517172486704123,4.164,2.102,gpt_neox.layers.0.mlp.dense_4h_to_h,0,14640.0,5120,296,5120,1,0.5093018177544666,126.4,115.9,success,11.2421875,under-trained,0,126.375,6.578125
4,26,Linear,0.023772653110990083,5120,15360,3.0,3.675872927473855,8.148663618521143,-1.05681124100748,True,164.5,LAYER_TYPE.DENSE,8.712823527851413,4.438,2.217,gpt_neox.layers.1.attention.query_key_value,0,27310.0,5120,93,5120,1,0.27747509670272785,164.5,166.0,success,12.828125,,0,164.5,31.078125
5,27,Linear,0.021867005140580598,5120,5120,1.0,4.139306043940788,6.681907119759885,-1.0527929473154363,True,41.1,LAYER_TYPE.DENSE,6.706247381347289,3.594,1.614,gpt_neox.layers.1.attention.dense,0,3930.0,5120,155,5120,1,0.25215512938336787,41.1,95.6,success,6.41015625,,5,41.09375,3.552734375
6,30,Linear,0.00968632412581194,5120,20480,4.0,2.68525800997881,7.992838295327552,-1.0375234312856705,True,945.5,LAYER_TYPE.DENSE,8.248354160748292,4.54,2.977,gpt_neox.layers.1.mlp.dense_h_to_4h,0,34560.0,5120,551,5120,1,0.07179440499356932,945.5,36.56,success,30.75,,0,945.5,12.8203125
7,31,Linear,0.025905799757470316,5120,20480,4.0,5.358340438848613,12.171386582775266,-1.0905649080206465,True,186.8,LAYER_TYPE.DENSE,12.172006179481093,4.305,2.271,gpt_neox.layers.1.mlp.dense_4h_to_h,0,20140.0,5120,327,5120,1,0.2410167769922929,186.8,107.9,success,13.6640625,,0,186.75,9.015625
8,40,Linear,0.028687579065366342,5120,15360,3.0,3.3463908798955466,7.20258349540018,-1.062436852176341,True,142.0,LAYER_TYPE.DENSE,7.998745537505582,4.445,2.152,gpt_neox.layers.2.attention.query_key_value,0,27860.0,5120,200,5120,1,0.1659148902488411,142.0,196.1,success,11.9140625,,0,142.0,21.0625
9,41,Linear,0.02360865146306365,5120,5120,1.0,4.445567141645775,7.527942796497825,-1.0552039235306625,True,49.38,LAYER_TYPE.DENSE,7.5363879838524435,3.615,1.693,gpt_neox.layers.2.attention.dense,0,4124.0,5120,51,5120,1,0.48247590466278945,49.38,83.5,success,7.02734375,,5,49.375,5.28515625
