,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,10,Linear,0.02267641334926007,4096,12288,3.0,3.721203169311933,8.728837903014906,-0.9772490259050157,True,221.5,LAYER_TYPE.DENSE,8.821112975738982,4.242,2.346,transformer.h.0.attn.qkv_proj,0,17390.0,4096,293,4096,1,0.15897438659338073,221.5,78.5,success,14.8828125,,0,221.5,13.3125
1,11,Linear,0.02491734121616751,4096,4096,1.0,3.314565841140111,3.897204367903021,-0.9627831686136585,True,15.0,LAYER_TYPE.DENSE,4.7526616561739,3.377,1.176,transformer.h.0.attn.out_proj,0,2386.0,4096,158,4096,1,0.18413697146233407,15.0,159.1,success,3.873046875,,7,15.0,2.681640625
2,13,Linear,0.04661883961700386,4096,16384,4.0,4.736251616440316,13.496467008567228,-0.9820709783354681,True,707.0,LAYER_TYPE.DENSE,13.495932187292796,4.293,2.85,transformer.h.0.mlp.fc_in,0,19570.0,4096,294,4096,1,0.21790261930780053,707.0,27.67,success,26.59375,,0,707.0,13.6875
3,14,Linear,0.04230650151658902,4096,16384,4.0,8.30978143426923,11.328569220937348,-1.015020986610226,True,23.08,LAYER_TYPE.DENSE,11.329634354487268,3.83,1.363,transformer.h.0.mlp.fc_out,0,6748.0,4096,257,4096,1,0.45597163803867197,23.08,292.5,success,4.8046875,under-trained,0,23.078125,3.93359375
4,22,Linear,0.02140616341190804,4096,12288,3.0,3.9668383667203555,9.196556916595824,-0.9619795098752498,True,207.8,LAYER_TYPE.DENSE,9.241478264265817,4.17,2.318,transformer.h.1.attn.qkv_proj,0,14850.0,4096,176,4096,1,0.22363385627368765,207.8,71.5,success,14.4140625,,0,207.75,16.859375
5,23,Linear,0.03090737541845401,4096,4096,1.0,5.938891345854521,5.153032188273185,-0.9772490259050157,True,7.37,LAYER_TYPE.DENSE,5.478382328056911,3.273,0.8677,transformer.h.1.attn.out_proj,0,1873.0,4096,48,4096,1,0.7128675620068552,7.37,254.1,success,2.71484375,,6,7.37109375,2.833984375
6,25,Linear,0.026178967297842526,4096,16384,4.0,2.985058930937125,9.013478725056242,-0.9451026763686665,True,1046.0,LAYER_TYPE.DENSE,9.059856026058696,4.41,3.02,transformer.h.1.mlp.fc_in,0,25650.0,4096,314,4096,1,0.11202335628982502,1046.0,24.52,success,32.34375,,0,1046.0,18.265625
7,26,Linear,0.007558247182964828,4096,16384,4.0,3.8726341373052504,7.711231451138091,-1.0110026929181823,True,98.0,LAYER_TYPE.DENSE,7.827624454437628,4.043,1.991,transformer.h.1.mlp.fc_out,0,11040.0,4096,348,4096,1,0.15398935333039568,98.0,112.6,success,9.8984375,,0,98.0,5.53125
8,34,Linear,0.022014084918880683,4096,12288,3.0,3.691501604120415,8.16167932785998,-0.9812673195970594,True,162.5,LAYER_TYPE.DENSE,8.261734075720854,4.152,2.21,transformer.h.2.attn.qkv_proj,0,14240.0,4096,96,4096,1,0.27470023216572614,162.5,87.6,success,12.75,,0,162.5,17.078125
9,35,Linear,0.05531719572924576,4096,4096,1.0,4.495303737908252,3.663409149691832,-0.9788563433818331,True,6.527,LAYER_TYPE.DENSE,4.6715824901796115,3.318,0.815,transformer.h.2.attn.out_proj,0,2084.0,4096,152,4096,1,0.2835065698235715,6.527,319.2,success,2.5546875,,4,6.52734375,2.2421875
10,37,Linear,0.02199599843560307,4096,16384,4.0,2.8085906994988585,8.069212732349259,-0.9676051210441109,True,745.0,LAYER_TYPE.DENSE,8.131907941439492,4.4,2.873,transformer.h.2.mlp.fc_in,0,25120.0,4096,232,4096,1,0.11873979662723276,745.0,33.72,success,27.296875,,0,745.0,18.96875
11,38,Linear,0.007790491342618666,4096,16384,4.0,3.5670117636011542,7.607767277055586,-1.0101990341797737,True,135.6,LAYER_TYPE.DENSE,7.627324843658381,4.035,2.133,transformer.h.2.mlp.fc_out,0,10800.0,4096,517,4096,1,0.11300639169055872,135.6,79.6,success,11.6484375,,0,135.625,4.55859375
12,46,Linear,0.03334823378538759,4096,12288,3.0,4.728977050195455,9.975185965256038,-0.9844819545506943,True,128.6,LAYER_TYPE.DENSE,10.021125211609318,4.184,2.11,transformer.h.3.attn.qkv_proj,0,15256.0,4096,129,4096,1,0.328318122351204,128.6,118.6,success,11.34375,,0,128.625,17.5
13,47,Linear,0.03667751846623857,4096,4096,1.0,6.129520411088604,5.782340544054289,-0.9780526846434244,True,8.78,LAYER_TYPE.DENSE,6.290341850156626,3.379,0.9434,transformer.h.3.attn.out_proj,0,2392.0,4096,45,4096,1,0.764663755411119,8.78,272.5,success,2.962890625,under-trained,4,8.78125,3.94921875
14,49,Linear,0.02277983382393889,4096,16384,4.0,3.000721231008002,8.539161784333318,-0.9876965895043291,True,700.5,LAYER_TYPE.DENSE,8.554907984901087,4.367,2.846,transformer.h.3.mlp.fc_in,0,23340.0,4096,472,4096,1,0.09209065913781274,700.5,33.3,success,26.46875,,0,700.5,10.78125
15,50,Linear,0.00811797169813086,4096,16384,4.0,3.0073045336830995,6.120334617378496,-1.002966105534095,True,108.6,LAYER_TYPE.DENSE,6.388490774131706,4.047,2.035,transformer.h.3.mlp.fc_out,0,11170.0,4096,740,4096,1,0.07378998220795034,108.6,102.8,success,10.421875,,0,108.625,3.810546875
16,58,Linear,0.01310544816818271,4096,12288,3.0,4.010319864248878,9.023219694559975,-0.988500248242738,True,177.6,LAYER_TYPE.DENSE,9.05357109578888,4.17,2.25,transformer.h.4.attn.qkv_proj,0,14856.0,4096,120,4096,1,0.27480334915916665,177.6,83.6,success,13.328125,,0,177.625,15.5625
17,59,Linear,0.060618260966035176,4096,4096,1.0,5.271093090600394,5.206748692521776,-0.9748380496897895,True,9.72,LAYER_TYPE.DENSE,6.07177255809045,3.47,0.988,transformer.h.4.attn.out_proj,0,2960.0,4096,85,4096,1,0.46326508976502134,9.72,304.5,success,3.1171875,,4,9.71875,4.15625
