,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.03332154323431552,5120,32000,6.25,3.078643528437496,9.043515364785144,-1.0399344075008967,True,866.5,LAYER_TYPE.EMBEDDING,9.254197779315609,4.766,2.938,model.embed_tokens,0,58080.0,5120,263,5120,1,0.1281746509036708,866.5,67.0,success,29.4375,,0,866.5,46.15625
1,6,Linear,0.05955386073894442,5120,5120,1.0,3.693145513167129,11.173207812296647,-0.8470563102828015,True,1062.0,LAYER_TYPE.DENSE,11.264089919709335,4.266,3.025,model.layers.0.self_attn.q_proj,0,18450.0,5120,19,5120,1,0.6178499543234476,1062.0,17.38,success,32.59375,,44,1062.0,194.0
2,7,Linear,0.06232741624299676,5120,5120,1.0,2.6527397817515608,7.828691035598845,-0.8390197228987142,True,895.5,LAYER_TYPE.DENSE,8.244077408877224,4.242,2.951,model.layers.0.self_attn.k_proj,0,17500.0,5120,46,5120,1,0.24368318643646789,895.5,19.55,success,29.921875,,50,895.5,96.0
3,8,Linear,0.026598785317308304,5120,5120,1.0,4.415731515932101,6.390736432237669,-1.0286831851631744,True,28.02,LAYER_TYPE.DENSE,6.753388440418381,3.693,1.447,model.layers.0.self_attn.v_proj,0,4944.0,5120,117,5120,1,0.3157844903567059,28.02,176.5,success,5.29296875,,9,28.015625,6.15234375
4,9,Linear,0.015717212087233534,5120,5120,1.0,4.181539995277889,7.407532765072355,-1.0439527011929404,True,59.1,LAYER_TYPE.DENSE,7.413354160284483,3.584,1.771,model.layers.0.self_attn.o_proj,0,3844.0,5120,320,5120,1,0.177853492564393,59.1,65.06,success,7.6875,,7,59.09375,2.779296875
5,12,Linear,0.03680793017226214,5120,13824,2.7,2.8605939462588283,6.330181525607915,-1.0158246453486348,True,163.5,LAYER_TYPE.DENSE,6.865764967263044,4.164,2.213,model.layers.0.mlp.gate_proj,0,14584.0,5120,409,5120,1,0.09200044956910194,163.5,89.2,success,12.7890625,,0,163.5,10.0859375
6,13,Linear,0.04515672963391948,5120,13824,2.7,6.0759436987792,10.555765468875192,-1.032701478855218,True,54.56,LAYER_TYPE.DENSE,11.094723052409979,4.133,1.737,model.layers.0.mlp.up_proj,0,13570.0,5120,84,5120,1,0.5538308624521384,54.56,248.6,success,7.38671875,under-trained,0,54.5625,20.46875
7,14,Linear,0.020227704612914565,5120,13824,2.7,5.173088093627849,12.831683357240955,-1.0809210031597418,True,302.0,LAYER_TYPE.DENSE,12.829748982385421,4.457,2.48,model.layers.0.mlp.down_proj,0,28750.0,5120,372,5120,1,0.2163645385473379,302.0,95.2,success,17.375,,0,302.0,14.2265625
8,20,Linear,0.039886148086681894,5120,5120,1.0,3.129840636917302,8.594835811534622,-0.9442990176302578,True,558.0,LAYER_TYPE.DENSE,8.979417078774087,4.406,2.746,model.layers.1.self_attn.q_proj,0,25400.0,5120,72,5120,1,0.25100412620181667,558.0,45.53,success,23.625,,18,558.0,72.625
9,21,Linear,0.03614967516369172,5120,5120,1.0,3.359866006663455,9.443060905446702,-0.9426917001534403,True,646.5,LAYER_TYPE.DENSE,9.66116510376559,4.414,2.81,model.layers.1.self_attn.k_proj,0,26050.0,5120,67,5120,1,0.28830351878940713,646.5,40.28,success,25.421875,,22,646.5,79.4375
10,22,Linear,0.01890342225177144,5120,5120,1.0,4.114714044866355,5.561293201264683,-1.0415417249777141,True,22.48,LAYER_TYPE.DENSE,5.960517912264,3.553,1.352,model.layers.1.self_attn.v_proj,0,3568.0,5120,187,5120,1,0.227770449005224,22.48,158.8,success,4.7421875,,8,22.484375,3.45703125
11,23,Linear,0.019761364637175927,5120,5120,1.0,4.272729963049123,6.980739480645687,-1.047970994884984,True,43.06,LAYER_TYPE.DENSE,7.046417178602957,3.574,1.634,model.layers.1.self_attn.o_proj,0,3748.0,5120,339,5120,1,0.17775029227612077,43.06,87.06,success,6.5625,,6,43.0625,2.603515625
12,26,Linear,0.014791184914437872,5120,13824,2.7,2.5313462025118225,6.110827942001197,-1.0399344075008967,True,259.0,LAYER_TYPE.DENSE,6.9907488530469095,4.5,2.414,model.layers.1.mlp.gate_proj,0,31490.0,5120,831,5120,1,0.053121811202632305,259.0,121.56,success,16.09375,,0,259.0,9.640625
