,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.03398882514158663,6656,32000,4.8076923076923075,1.9969664229297783,6.100108370043308,-1.1034234478351863,True,1133.0,LAYER_TYPE.EMBEDDING,6.619365224324225,4.645,3.055,model.embed_tokens,0,43940.0,6656,3500,6656,1,0.016851808283211436,1133.0,38.78,success,33.65625,over-trained,0,1133.0,1.91796875
1,6,Linear,0.025037049880785478,6656,6656,1.0,1.3840156137879174,4.024998533066815,-0.9676051210441109,True,810.5,LAYER_TYPE.DENSE,4.9392551839089,4.215,2.908,model.layers.0.self_attn.q_proj,0,16330.0,6656,3368,6656,1,0.0066170260045706015,810.5,20.14,success,28.46875,over-trained,34,810.5,0.0140380859375
2,7,Linear,0.023775661597272568,6656,6656,1.0,1.4007306068763172,4.068137524267741,-0.9314404778157181,True,801.5,LAYER_TYPE.DENSE,5.071226075573424,4.23,2.904,model.layers.0.self_attn.k_proj,0,17010.0,6656,2596,6656,1,0.007865026134041822,801.5,21.22,success,28.3125,over-trained,40,801.5,0.022186279296875
3,8,Linear,0.03133963361084602,6656,6656,1.0,3.685462942813756,4.5168515558899065,-1.1275332099874482,True,16.83,LAYER_TYPE.DENSE,5.0622847497035455,3.441,1.226,model.layers.0.self_attn.v_proj,0,2758.0,6656,255,6656,1,0.16817021275989838,16.83,163.9,success,4.1015625,,14,16.828125,2.505859375
4,9,Linear,0.015810531634793568,6656,6656,1.0,4.044658468522199,7.3546426449104825,-1.1379807735867618,True,65.9,LAYER_TYPE.DENSE,7.357356954648237,3.422,1.818,model.layers.0.self_attn.o_proj,0,2642.0,6656,203,6656,1,0.21369313192113995,65.9,40.1,success,8.1171875,,13,65.875,2.2890625
5,12,Linear,0.030277894427626406,6656,17920,2.6923076923076925,1.6425948909435477,3.3397290653754554,-1.0849392968517855,True,107.94,LAYER_TYPE.DENSE,4.966570769151008,4.14,2.033,model.layers.0.mlp.gate_proj,0,13780.0,6656,3194,6656,1,0.011370244729363564,107.94,127.6,success,10.390625,over-trained,0,107.9375,0.286865234375
6,13,Linear,0.0378430838128303,6656,17920,2.6923076923076925,10.284822884031122,17.928133640620658,-1.1034234478351863,True,55.3,LAYER_TYPE.DENSE,18.243957823959423,4.1,1.743,model.layers.0.mlp.up_proj,0,12660.0,6656,44,6656,1,1.3997397159653064,55.3,228.8,success,7.4375,under-trained,0,55.3125,31.734375
7,14,Linear,0.02937836694070617,6656,17920,2.6923076923076925,5.118920868640146,12.467371724988793,-1.1773600517687894,True,272.8,LAYER_TYPE.DENSE,12.469011712127324,4.438,2.436,model.layers.0.mlp.down_proj,0,27400.0,6656,404,6656,1,0.2049239723914489,272.8,100.44,success,16.515625,,0,272.75,13.0703125
8,20,Linear,0.0359795051733621,6656,6656,1.0,2.912075682771775,8.24140168815684,-1.0246648914711307,True,677.0,LAYER_TYPE.DENSE,8.592783892991877,4.387,2.83,model.layers.1.self_attn.q_proj,0,24380.0,6656,72,6656,1,0.22534028023830333,677.0,36.03,success,26.015625,,25,677.0,72.375
9,21,Linear,0.04422931529267382,6656,6656,1.0,3.18468397297591,9.131086078766868,-1.0262722089479484,True,736.5,LAYER_TYPE.DENSE,9.336569417829757,4.395,2.867,model.layers.1.self_attn.k_proj,0,24750.0,6656,67,6656,1,0.2669016270725923,736.5,33.6,success,27.140625,,27,736.5,78.375
10,22,Linear,0.02007998284566548,6656,6656,1.0,4.318522086301535,5.727102532419418,-1.1452137022324402,True,21.17,LAYER_TYPE.DENSE,6.054347834343021,3.545,1.326,model.layers.1.self_attn.v_proj,0,3510.0,6656,196,6656,1,0.23703729187868103,21.17,165.8,success,4.6015625,,11,21.171875,3.125
11,23,Linear,0.018371518404923015,6656,6656,1.0,4.647106350195671,7.433554884395027,-1.1556612658317538,True,39.8,LAYER_TYPE.DENSE,7.535944323031594,3.588,1.6,model.layers.1.self_attn.o_proj,0,3870.0,6656,300,6656,1,0.2105657833048664,39.8,97.2,success,6.30859375,,10,39.8125,2.525390625
12,26,Linear,0.020539055685007745,6656,17920,2.6923076923076925,2.6267413838639118,6.187207244023198,-1.1395880910635792,True,226.4,LAYER_TYPE.DENSE,7.024322083279147,4.477,2.355,model.layers.1.mlp.gate_proj,0,30000.0,6656,542,6656,1,0.06987452552467117,226.4,132.5,success,15.046875,,0,226.375,12.609375
13,27,Linear,0.08335214423915932,6656,17920,2.6923076923076925,3.5208127513512686,5.549406035821238,-1.163697853215841,True,37.72,LAYER_TYPE.DENSE,7.465569966811615,4.418,1.576,model.layers.1.mlp.up_proj,0,26180.0,6656,604,6656,1,0.10257041618864174,37.72,694.0,success,6.140625,,0,37.71875,11.953125
14,28,Linear,0.008815388072804964,6656,17920,2.6923076923076925,4.6499714640332,10.171812577572625,-1.193433226536964,True,153.9,LAYER_TYPE.DENSE,10.183511793086563,4.477,2.188,model.layers.1.mlp.down_proj,0,29920.0,6656,327,6656,1,0.20184388317483595,153.9,194.5,success,12.40625,,0,153.875,12.0859375
