,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.0235912814581839,5120,32000,6.25,2.709778284768208,7.4413052116876965,-1.071277098298837,True,558.0,LAYER_TYPE.EMBEDDING,7.616065529126981,4.56,2.746,model.embed_tokens,0,36030.0,5120,1914,5120,1,0.039081284575985364,558.0,64.56,success,23.625,,0,558.0,5.75390625
1,6,Linear,0.0263834892866818,5120,5120,1.0,1.3926579413412523,4.10453287789834,-0.8583075326205236,True,885.0,LAYER_TYPE.DENSE,4.83701907760039,4.105,2.947,model.layers.0.self_attn.q_proj,0,12730.0,5120,2508,5120,1,0.007840623848640194,885.0,14.38,success,29.75,over-trained,29,885.0,0.01453399658203125
2,7,Linear,0.021091794912913686,5120,5120,1.0,1.3809483014520978,4.25882298436106,-0.7912020279633947,True,1212.0,LAYER_TYPE.DENSE,4.9561112842647725,4.105,3.084,model.layers.0.self_attn.k_proj,0,12750.0,5120,2293,5120,1,0.007955436510576055,1212.0,10.52,success,34.8125,over-trained,41,1212.0,0.01093292236328125
3,8,Linear,0.039108478150317594,5120,5120,1.0,5.712662674154078,5.0348418588125545,-1.035916113808853,True,7.605,LAYER_TYPE.DENSE,5.330399361638579,3.191,0.8813,model.layers.0.self_attn.v_proj,0,1555.0,5120,38,5120,1,0.7644948363111743,7.605,204.5,success,2.7578125,,11,7.60546875,2.908203125
4,9,Linear,0.03654966215971012,5120,5120,1.0,4.954310350948282,7.233099584636409,-1.0383270900240793,True,28.81,LAYER_TYPE.DENSE,7.2313427728884445,3.074,1.46,model.layers.0.self_attn.o_proj,0,1186.0,5120,102,5120,1,0.3915350678158673,28.81,41.16,success,5.3671875,,11,28.8125,1.4404296875
5,12,Linear,0.02310476311883397,5120,13824,2.7,1.996256986525454,3.6572051823454608,-1.008591716702956,True,67.94,LAYER_TYPE.DENSE,5.306532580238322,4.062,1.832,model.layers.0.mlp.gate_proj,0,11590.0,5120,1811,5120,1,0.023410578994021655,67.94,170.6,success,8.2421875,over-trained,0,67.9375,1.1025390625
6,13,Linear,0.023837707544616893,5120,13824,2.7,2.020384942767702,3.4468872021632575,-1.0166283040870434,True,50.8,LAYER_TYPE.DENSE,5.2491464669912355,4.047,1.706,model.layers.0.mlp.up_proj,0,11170.0,5120,1703,5120,1,0.024726162401816226,50.8,219.8,success,7.12890625,,0,50.8125,1.2158203125
7,14,Linear,0.035815527544578285,5120,13824,2.7,3.2303882142697655,6.877193659285243,-1.0688661220836109,True,134.8,LAYER_TYPE.DENSE,6.971204780306503,4.133,2.129,model.layers.0.mlp.down_proj,0,13540.0,5120,28,5120,1,0.4215037530062316,134.8,100.44,success,11.609375,,0,134.75,13.828125
8,20,Linear,0.012893931870407438,5120,5120,1.0,1.3873976674658814,3.8017947801848275,-0.7570465315810236,True,551.0,LAYER_TYPE.DENSE,4.7279896005682245,3.906,2.74,model.layers.1.self_attn.q_proj,0,8070.0,5120,1967,5120,1,0.008737058523143182,551.0,14.65,success,23.46875,over-trained,71,551.0,0.00478363037109375
9,21,Linear,0.012435773677207718,5120,5120,1.0,1.3810210494461148,3.6332721750076495,-0.7715123888723808,True,426.8,LAYER_TYPE.DENSE,4.597309308087463,3.842,2.63,model.layers.1.self_attn.k_proj,0,6936.0,5120,2065,5120,1,0.00838472726988325,426.8,16.25,success,20.65625,over-trained,74,426.75,0.003482818603515625
10,22,Linear,0.03609303504363487,5120,5120,1.0,6.486364734446084,6.663726270153594,-1.0286831851631744,True,10.65,LAYER_TYPE.DENSE,7.217318538827699,3.436,1.027,model.layers.1.self_attn.v_proj,0,2730.0,5120,40,5120,1,0.8674704317637237,10.65,256.5,success,3.263671875,under-trained,10,10.6484375,5.23828125
11,23,Linear,0.04821096305335537,5120,5120,1.0,5.177614185251643,7.316413794979616,-1.030290502639992,True,25.9,LAYER_TYPE.DENSE,7.322239789428977,3.293,1.413,model.layers.1.self_attn.o_proj,0,1965.0,5120,127,5120,1,0.370703314111214,25.9,75.9,success,5.08984375,,11,25.90625,2.55859375
