,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.024103999727137948,2048,2560,1.25,2.473348269599664,3.5675150333971715,-0.6983794436771864,True,27.69,LAYER_TYPE.EMBEDDING,3.674914464570816,2.365,1.442,transformer.wpe,0,232.2,2048,255,2048,1,0.09226464756515813,27.69,8.39,success,5.26171875,,0,27.6875,0.181884765625
1,9,Conv1D,0.03130802688714618,2560,7680,3.0,2.896098025539973,6.606723620763064,-0.8382160641603054,True,191.0,LAYER_TYPE.CONV1D,6.7989559204452,3.686,2.281,transformer.h.0.attn.c_attn,0,4840.0,2560,286,2560,1,0.11211862665122102,191.0,25.34,success,13.8203125,,0,191.0,3.607421875
2,10,Conv1D,0.08128698272660667,2560,2560,1.0,4.142541547301526,6.622402844660741,-0.7960239803938471,True,39.7,LAYER_TYPE.CONV1D,6.622504427812061,2.562,1.599,transformer.h.0.attn.c_proj,0,365.2,2560,135,2560,1,0.27046691283252666,39.7,9.2,success,6.30078125,,8,39.6875,0.58154296875
3,15,Conv1D,0.06058053094625848,2560,10240,4.0,5.313426474836021,9.28292965183754,-0.8800063185575594,True,55.84,LAYER_TYPE.CONV1D,9.527836100916879,4.062,1.747,transformer.h.0.mlp.c_fc,0,11576.0,2560,162,2560,1,0.33889479005623724,55.84,207.2,success,7.47265625,,0,55.84375,12.875
4,16,Conv1D,0.03969303367307264,2560,10240,4.0,7.002710091095002,12.466738765689637,-0.8703624136966546,True,60.25,LAYER_TYPE.CONV1D,12.46493253372569,3.773,1.78,transformer.h.0.mlp.c_proj,0,5948.0,2560,78,2560,1,0.6796730778774884,60.25,98.75,success,7.76171875,under-trained,0,60.25,9.484375
5,22,Conv1D,0.016434752560976873,2560,7680,3.0,2.1994546182079677,4.648066204884807,-0.8277685005609919,True,129.6,LAYER_TYPE.CONV1D,5.352083871632066,3.77,2.113,transformer.h.1.attn.c_attn,0,5890.0,2560,1178,2560,1,0.034961945341176894,129.6,45.44,success,11.3828125,,0,129.625,1.1376953125
6,23,Conv1D,0.01654566650965625,2560,2560,1.0,3.0770579462522454,4.825932677422955,-0.8120971551620217,True,37.0,LAYER_TYPE.CONV1D,4.963681679647034,2.936,1.568,transformer.h.1.attn.c_proj,0,864.0,2560,200,2560,1,0.14687017587123663,37.0,23.34,success,6.08203125,,5,37.0,1.0458984375
7,28,Conv1D,0.015681787086896493,2560,10240,4.0,1.9438237266409495,5.041792790974963,-0.8016495915627082,True,392.5,LAYER_TYPE.CONV1D,5.692078696259693,4.113,2.594,transformer.h.1.mlp.c_fc,0,13000.0,2560,1517,2560,1,0.024232493248756475,392.5,33.12,success,19.8125,over-trained,0,392.5,1.30078125
8,29,Conv1D,0.03323083869100374,2560,10240,4.0,4.509814354817157,9.689054277927486,-0.8848282709880118,True,140.5,LAYER_TYPE.CONV1D,9.686694980683145,3.834,2.148,transformer.h.1.mlp.c_proj,0,6828.0,2560,292,2560,1,0.2053963492666235,140.5,48.6,success,11.8515625,,0,140.5,5.08203125
9,35,Conv1D,0.02008007525865363,2560,7680,3.0,2.2541111950284236,4.479605744026213,-0.8470563102828015,True,97.06,LAYER_TYPE.CONV1D,5.244183979158613,3.797,1.987,transformer.h.2.attn.c_attn,0,6276.0,2560,1009,2560,1,0.03948121066451482,97.06,64.7,success,9.8515625,,0,97.0625,1.5673828125
