,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.04740918275391226,2048,2048,1.0,2.818381923713896,3.897293753885622,-0.7200782296142221,True,24.14,LAYER_TYPE.EMBEDDING,3.971130394784011,2.422,1.383,transformer.wpe,0,263.8,2048,208,2048,1,0.12608210123706348,24.14,10.92,success,4.9140625,,11,24.140625,0.3203125
1,9,Conv1D,0.03724424760831002,2048,6144,3.0,3.48289717348903,5.962420649537373,-0.8277685005609919,True,51.56,LAYER_TYPE.CONV1D,6.1497960920682,3.395,1.712,transformer.h.0.attn.c_attn,0,2480.0,2048,331,2048,1,0.1364723711192556,51.56,48.1,success,7.1796875,,0,51.5625,1.91796875
2,10,Conv1D,0.06610274187307441,2048,2048,1.0,2.2808151406869053,2.2496321211853263,-0.7618684840114761,True,9.695,LAYER_TYPE.CONV1D,2.3128890481007036,2.129,0.9863,transformer.h.0.attn.c_proj,0,134.8,2048,454,2048,1,0.06011163301938574,9.695,13.9,success,3.11328125,,8,9.6953125,0.0780029296875
3,15,Conv1D,0.08457541605526986,2048,8192,4.0,4.30532067619806,6.735472386005169,-0.8350014292066705,True,36.66,LAYER_TYPE.CONV1D,7.010600413865767,3.775,1.564,transformer.h.0.mlp.c_fc,0,5956.0,2048,11,2048,1,0.99659168134116,36.66,162.5,success,6.0546875,,0,36.65625,11.9375
4,16,Conv1D,0.024325923034665242,2048,8192,4.0,6.849033906865616,9.758535615348569,-0.8201337425461089,True,26.62,LAYER_TYPE.CONV1D,9.763403750469669,3.395,1.425,transformer.h.0.mlp.c_proj,0,2480.0,2048,86,2048,1,0.6307175467382613,26.62,93.1,success,5.16015625,under-trained,0,26.625,4.7578125
5,22,Conv1D,0.011783236603928215,2048,6144,3.0,2.803738183456057,4.832615130664005,-0.8225447187613352,True,52.97,LAYER_TYPE.CONV1D,5.3103502389304875,3.533,1.724,transformer.h.1.attn.c_attn,0,3410.0,2048,245,2048,1,0.11547250461277155,52.97,64.4,success,7.27734375,,0,52.96875,2.662109375
6,23,Conv1D,0.019751343916070363,2048,2048,1.0,2.7260671229924887,3.0029333151714135,-0.7465989679817102,True,12.625,LAYER_TYPE.CONV1D,3.3859660565543903,2.568,1.102,transformer.h.1.attn.c_proj,0,370.2,2048,180,2048,1,0.1286534473579565,12.625,29.33,success,3.552734375,,7,12.625,0.53515625
7,28,Conv1D,0.029365996625647206,2048,8192,4.0,2.2831241589620888,5.627544313691711,-0.7932111748094165,True,291.8,LAYER_TYPE.CONV1D,5.811706460184633,3.838,2.465,transformer.h.1.mlp.c_fc,0,6880.0,2048,1098,2048,1,0.03872286766560395,291.8,23.58,success,17.078125,,0,291.75,1.6064453125
8,29,Conv1D,0.012123943748742594,2048,8192,4.0,3.459791374414994,5.970167342374311,-0.8229465481305396,True,53.12,LAYER_TYPE.CONV1D,5.979223547731843,3.223,1.726,transformer.h.1.mlp.c_proj,0,1668.0,2048,197,2048,1,0.17525287901277406,53.12,31.39,success,7.2890625,,0,53.125,1.6767578125
9,35,Conv1D,0.009301755382612492,2048,6144,3.0,2.781026445640098,5.111222432319008,-0.8177227663308828,True,68.8,LAYER_TYPE.CONV1D,5.5869180185687775,3.59,1.838,transformer.h.2.attn.c_attn,0,3884.0,2048,566,2048,1,0.07486212533257319,68.8,56.44,success,8.296875,,0,68.8125,1.947265625
10,36,Conv1D,0.026953508598808407,2048,2048,1.0,2.2092028152237866,2.1002528716995665,-0.7598593371654543,True,8.93,LAYER_TYPE.CONV1D,3.081101810294428,2.729,0.9507,transformer.h.2.attn.c_proj,0,535.0,2048,372,2048,1,0.06269424542595534,8.93,59.9,success,2.98828125,,6,8.9296875,0.337646484375
11,41,Conv1D,0.01812136846845136,2048,8192,4.0,2.1884079195099906,5.312873132716637,-0.7920056867018035,True,268.2,LAYER_TYPE.CONV1D,5.667629772058575,3.904,2.428,transformer.h.2.mlp.c_fc,0,8028.0,2048,1046,2048,1,0.03674512211425166,268.2,29.92,success,16.375,,0,268.25,1.83203125
12,42,Conv1D,0.013739385701963203,2048,8192,4.0,3.7764318053233974,6.16620505712961,-0.8350014292066705,True,42.97,LAYER_TYPE.CONV1D,6.2016122256315045,3.414,1.633,transformer.h.2.mlp.c_proj,0,2596.0,2048,133,2048,1,0.24074716980997685,42.97,60.4,success,6.5546875,,0,42.96875,2.990234375
13,48,Conv1D,0.01906268184109927,2048,6144,3.0,2.922641464384194,5.448557183114674,-0.815713619484861,True,73.2,LAYER_TYPE.CONV1D,5.940447241982759,3.668,1.864,transformer.h.3.attn.c_attn,0,4656.0,2048,173,2048,1,0.14617572370206725,73.2,63.62,success,8.5546875,,0,73.1875,5.08203125
14,49,Conv1D,0.05396657939297417,2048,2048,1.0,2.26887446734768,1.7193814322869136,-0.7823617818408987,True,5.723,LAYER_TYPE.CONV1D,2.9309508848471384,2.754,0.758,transformer.h.3.attn.c_proj,0,567.5,2048,456,2048,1,0.059420491139805826,5.723,99.2,success,2.392578125,,3,5.72265625,0.334716796875
15,54,Conv1D,0.018588676186871322,2048,8192,4.0,2.284172375176894,5.233074601723626,-0.80365873840873,True,195.6,LAYER_TYPE.CONV1D,5.65269222745878,3.9,2.291,transformer.h.3.mlp.c_fc,0,7936.0,2048,850,2048,1,0.044046749084386466,195.6,40.56,success,13.984375,,0,195.625,2.41796875
16,55,Conv1D,0.010972272030102093,2048,8192,4.0,3.7755777146080987,4.992316626542349,-0.8398233816371229,True,21.0,LAYER_TYPE.CONV1D,5.331290551251715,3.416,1.322,transformer.h.3.mlp.c_proj,0,2612.0,2048,198,2048,1,0.19725171901837157,21.0,124.4,success,4.58203125,,0,21.0,2.509765625
17,61,Conv1D,0.016578714763980595,2048,6144,3.0,2.598961502629961,5.13447179669962,-0.8088825202083868,True,94.6,LAYER_TYPE.CONV1D,5.706889157919407,3.736,1.976,transformer.h.4.attn.c_attn,0,5450.0,2048,342,2048,1,0.08646193576333726,94.6,57.56,success,9.7265625,,0,94.625,3.693359375
18,62,Conv1D,0.03052033449144509,2048,2048,1.0,3.7579075773884436,3.0055920955870463,-0.7972294685014601,True,6.31,LAYER_TYPE.CONV1D,3.503191125126733,2.78,0.8,transformer.h.4.attn.c_proj,0,601.0,2048,101,2048,1,0.2744220606663435,6.31,95.25,success,2.51171875,,4,6.30859375,1.162109375
19,67,Conv1D,0.024674916658602775,2048,8192,4.0,2.482642078754112,5.488966470995419,-0.8153117901156566,True,162.5,LAYER_TYPE.CONV1D,5.807524084561573,3.883,2.21,transformer.h.4.mlp.c_fc,0,7652.0,2048,572,2048,1,0.0619923796029215,162.5,47.1,success,12.75,,0,162.5,3.578125
20,68,Conv1D,0.013546335715483027,2048,8192,4.0,3.6391401878457565,4.538263691288116,-0.8406270403755316,True,17.67,LAYER_TYPE.CONV1D,5.164562117634203,3.457,1.247,transformer.h.4.mlp.c_proj,0,2870.0,2048,233,2048,1,0.17289582230215622,17.67,162.4,success,4.203125,,0,17.671875,2.548828125
21,74,Conv1D,0.014051967924130548,2048,6144,3.0,2.6181539178531374,5.001083069649157,-0.8120971551620217,True,81.3,LAYER_TYPE.CONV1D,5.682599675840273,3.773,1.91,transformer.h.5.attn.c_attn,0,5944.0,2048,368,2048,1,0.08435210400882671,81.3,73.1,success,9.015625,,0,81.3125,3.92578125
22,75,Conv1D,0.04346384494513378,2048,2048,1.0,4.841160929776931,4.439306751035682,-0.7996404447166864,True,8.26,LAYER_TYPE.CONV1D,4.561151188307978,2.814,0.917,transformer.h.5.attn.c_proj,0,651.0,2048,39,2048,1,0.615078008153412,8.26,78.8,success,2.873046875,,3,8.2578125,1.81640625
23,80,Conv1D,0.02586167085847768,2048,8192,4.0,2.649262319573788,5.878050771554342,-0.821339230653722,True,165.1,LAYER_TYPE.CONV1D,6.0682361838762855,3.88,2.219,transformer.h.5.mlp.c_fc,0,7600.0,2048,517,2048,1,0.07253447387898518,165.1,46.03,success,12.8515625,,0,165.125,4.0546875
24,81,Conv1D,0.015993589241363626,2048,8192,4.0,3.3372669472105687,4.781025987849516,-0.836608746683488,True,27.08,LAYER_TYPE.CONV1D,5.357942163390904,3.516,1.433,transformer.h.5.mlp.c_proj,0,3278.0,2048,432,2048,1,0.11245180842833638,27.08,121.06,success,5.203125,,0,27.078125,2.146484375
25,87,Conv1D,0.022258398239675015,2048,6144,3.0,2.6847017512234244,4.606465797753473,-0.8217410600229265,True,51.94,LAYER_TYPE.CONV1D,5.4241617205637205,3.74,1.716,transformer.h.6.attn.c_attn,0,5492.0,2048,457,2048,1,0.0788070239593453,51.94,105.75,success,7.20703125,,0,51.9375,3.28125
26,88,Conv1D,0.07227563018581146,2048,2048,1.0,4.835680555366127,2.6870139023469983,-0.8004441034550951,True,3.596,LAYER_TYPE.CONV1D,3.607970949019978,2.814,0.5557,transformer.h.6.attn.c_proj,0,652.5,2048,68,2048,1,0.4651445904677162,3.596,181.5,success,1.896484375,,3,3.595703125,1.5458984375
27,93,Conv1D,0.01607930443780592,2048,8192,4.0,2.720918549190455,6.074238089306036,-0.8229465481305396,True,170.6,LAYER_TYPE.CONV1D,6.224069787822507,3.877,2.232,transformer.h.6.mlp.c_fc,0,7544.0,2048,533,2048,1,0.07454125685575479,170.6,44.22,success,13.0625,,0,170.625,3.9765625
28,94,Conv1D,0.013548971426416312,2048,8192,4.0,3.336293711252829,5.164087433921615,-0.836608746683488,True,35.34,LAYER_TYPE.CONV1D,5.467496755063496,3.523,1.548,transformer.h.6.mlp.c_proj,0,3332.0,2048,364,2048,1,0.12245506358175583,35.34,94.25,success,5.9453125,,0,35.34375,2.37109375
29,100,Conv1D,0.04551533146840897,2048,6144,3.0,2.7175349654021783,4.333725193849372,-0.8269648418225832,True,39.34,LAYER_TYPE.CONV1D,5.249921012589062,3.715,1.595,transformer.h.7.attn.c_attn,0,5176.0,2048,521,2048,1,0.07524657301968916,39.34,131.5,success,6.2734375,,0,39.34375,2.947265625
30,101,Conv1D,0.07336887459625652,2048,2048,1.0,4.578642602128224,2.9980272116474356,-0.798033127239869,True,4.516,LAYER_TYPE.CONV1D,3.7819865723166326,2.846,0.655,transformer.h.7.attn.c_proj,0,702.5,2048,62,2048,1,0.45448806495857663,4.516,155.6,success,2.125,,3,4.515625,1.748046875
31,106,Conv1D,0.02259110007584242,2048,8192,4.0,2.86325182762091,6.470278055776158,-0.8269648418225832,True,182.0,LAYER_TYPE.CONV1D,6.544085345579169,3.867,2.26,transformer.h.7.mlp.c_fc,0,7350.0,2048,461,2048,1,0.0867802892183303,182.0,40.4,success,13.4921875,,0,182.0,4.3671875
32,107,Conv1D,0.012162398610556013,2048,8192,4.0,3.1983648793698123,4.797547319054718,-0.8350014292066705,True,31.6,LAYER_TYPE.CONV1D,5.257008791753495,3.53,1.5,transformer.h.7.mlp.c_proj,0,3390.0,2048,399,2048,1,0.11005589993222241,31.6,107.3,success,5.62109375,,0,31.59375,2.2890625
33,113,Conv1D,0.048790542132669534,2048,6144,3.0,2.6459797151985978,3.8242675571229734,-0.8261611830841744,True,27.89,LAYER_TYPE.CONV1D,5.121560852934582,3.707,1.445,transformer.h.8.attn.c_attn,0,5092.0,2048,508,2048,1,0.07302854073241784,27.89,182.6,success,5.28125,,0,27.890625,2.91015625
34,114,Conv1D,0.06475229885035222,2048,2048,1.0,3.318030851036446,2.323269648626105,-0.7996404447166864,True,5.01,LAYER_TYPE.CONV1D,3.41861761842539,2.895,0.7,transformer.h.8.attn.c_proj,0,784.0,2048,188,2048,1,0.16905977518914425,5.01,156.4,success,2.23828125,,4,5.01171875,1.095703125
35,119,Conv1D,0.02422782804833501,2048,8192,4.0,3.8134313389417724,8.610012944954471,-0.8293758180378094,True,181.0,LAYER_TYPE.CONV1D,8.617812050172368,3.867,2.258,transformer.h.8.mlp.c_fc,0,7364.0,2048,51,2048,1,0.3939591871700421,181.0,40.7,success,13.453125,,0,181.0,13.640625
36,120,Conv1D,0.015648435896947865,2048,8192,4.0,3.116151923350799,4.485554624042068,-0.833394111729853,True,27.48,LAYER_TYPE.CONV1D,5.263254961432184,3.56,1.439,transformer.h.8.mlp.c_proj,0,3636.0,2048,468,2048,1,0.09781915726042367,27.48,132.2,success,5.2421875,,0,27.484375,2.224609375
37,126,Conv1D,0.06064430983011737,2048,6144,3.0,2.5688649835423734,3.702778042684124,-0.8269648418225832,True,27.64,LAYER_TYPE.CONV1D,5.038106384527383,3.715,1.441,transformer.h.9.attn.c_attn,0,5184.0,2048,626,2048,1,0.06270445582642335,27.64,187.5,success,5.2578125,,0,27.640625,2.5546875
38,127,Conv1D,0.06712918937946666,2048,2048,1.0,3.1644149335474787,2.3269574657824723,-0.7924075160710078,True,5.438,LAYER_TYPE.CONV1D,3.5476744324078573,2.922,0.7354,transformer.h.9.attn.c_proj,0,834.5,2048,176,2048,1,0.1631489142095228,5.438,153.5,success,2.33203125,,3,5.4375,1.2392578125
39,132,Conv1D,0.028939234228749555,2048,8192,4.0,3.039826069689159,6.786174214169353,-0.8293758180378094,True,171.0,LAYER_TYPE.CONV1D,6.83769657749915,3.857,2.232,transformer.h.9.mlp.c_fc,0,7212.0,2048,378,2048,1,0.10491733196434826,171.0,42.2,success,13.078125,,0,171.0,4.9296875
40,133,Conv1D,0.013575698500544076,2048,8192,4.0,3.20761395143634,4.479382764212858,-0.836608746683488,True,24.89,LAYER_TYPE.CONV1D,5.208379252644377,3.562,1.396,transformer.h.9.mlp.c_proj,0,3654.0,2048,401,2048,1,0.11024297986682026,24.89,146.8,success,4.98828125,,0,24.890625,2.466796875
41,139,Conv1D,0.03335684443419612,2048,6144,3.0,4.185722719597889,6.3930374350108385,-0.8309831355146269,True,33.66,LAYER_TYPE.CONV1D,6.875680537709122,3.701,1.527,transformer.h.10.attn.c_attn,0,5028.0,2048,76,2048,1,0.36542745781233577,33.66,149.4,success,5.80078125,,0,33.65625,8.359375
42,140,Conv1D,0.04490834298443602,2048,2048,1.0,4.256960698127676,3.2800214754128283,-0.7972294685014601,True,5.895,LAYER_TYPE.CONV1D,4.116498931896456,2.959,0.7705,transformer.h.10.attn.c_proj,0,909.5,2048,88,2048,1,0.34719317699144475,5.895,154.2,success,2.427734375,,3,5.89453125,1.9013671875
43,145,Conv1D,0.026442519712053247,2048,8192,4.0,3.569428178949394,7.989384166164073,-0.8293758180378094,True,173.2,LAYER_TYPE.CONV1D,8.00657045246428,3.854,2.238,transformer.h.10.mlp.c_fc,0,7148.0,2048,80,2048,1,0.2872708035717169,173.2,41.25,success,13.1640625,,0,173.25,10.6640625
44,146,Conv1D,0.013813527402404269,2048,8192,4.0,3.407032115624341,4.8210835308004585,-0.8390197228987142,True,25.98,LAYER_TYPE.CONV1D,5.426846502933264,3.588,1.415,transformer.h.10.mlp.c_proj,0,3866.0,2048,332,2048,1,0.13210304947146226,25.98,148.8,success,5.09765625,,0,25.984375,2.91796875
45,152,Conv1D,0.040004901814130855,2048,6144,3.0,3.490702613092805,5.566716178887257,-0.8301794767762181,True,39.3,LAYER_TYPE.CONV1D,6.127421278570828,3.72,1.595,transformer.h.11.attn.c_attn,0,5256.0,2048,182,2048,1,0.1846231609961061,39.3,133.8,success,6.26953125,,0,39.3125,5.90234375
46,153,Conv1D,0.048388727434549805,2048,2048,1.0,4.2438094774570185,3.0668154426935486,-0.798033127239869,True,5.277,LAYER_TYPE.CONV1D,4.172872227504569,2.986,0.7227,transformer.h.11.attn.c_proj,0,969.5,2048,94,2048,1,0.33457340138648034,5.277,183.8,success,2.296875,,3,5.27734375,2.009765625
47,158,Conv1D,0.02695216628781949,2048,8192,4.0,3.952816527179816,9.017362702628956,-0.8285721592994006,True,191.0,LAYER_TYPE.CONV1D,9.021471742551741,3.87,2.281,transformer.h.11.mlp.c_fc,0,7390.0,2048,44,2048,1,0.44515384070071445,191.0,38.7,success,13.8203125,,0,191.0,14.703125
48,159,Conv1D,0.011102937531099921,2048,8192,4.0,3.8102516262317887,5.510725252391874,-0.842234357852349,True,27.97,LAYER_TYPE.CONV1D,5.919187366162353,3.627,1.446,transformer.h.11.mlp.c_proj,0,4236.0,2048,256,2048,1,0.1756407266394868,27.97,151.5,success,5.2890625,,0,27.96875,3.5859375
49,165,Conv1D,0.02071766733806396,2048,6144,3.0,3.544901138815552,5.272348080484458,-0.833394111729853,True,30.69,LAYER_TYPE.CONV1D,5.99601474147754,3.697,1.487,transformer.h.12.attn.c_attn,0,4980.0,2048,226,2048,1,0.16928430563483596,30.69,162.2,success,5.5390625,,0,30.6875,4.90625
50,166,Conv1D,0.06012427999101627,2048,2048,1.0,3.529460195697911,2.426503884542314,-0.7996404447166864,True,4.87,LAYER_TYPE.CONV1D,3.79633092573825,3.004,0.6875,transformer.h.12.attn.c_proj,0,1007.5,2048,175,2048,1,0.19120921797295554,4.87,206.9,success,2.20703125,,4,4.87109375,1.5
51,171,Conv1D,0.02656838941451567,2048,8192,4.0,2.988361292105979,6.904748844846432,-0.8285721592994006,True,204.4,LAYER_TYPE.CONV1D,6.939915184297447,3.883,2.31,transformer.h.12.mlp.c_fc,0,7636.0,2048,458,2048,1,0.0929100215984143,204.4,37.38,success,14.296875,,0,204.375,4.68359375
52,172,Conv1D,0.0161856781210169,2048,8192,4.0,3.6886072646309183,5.468072097372787,-0.8414306991139403,True,30.38,LAYER_TYPE.CONV1D,5.970406618779683,3.656,1.482,transformer.h.12.mlp.c_proj,0,4530.0,2048,365,2048,1,0.140728136075766,30.38,149.1,success,5.51171875,,0,30.375,3.29296875
53,178,Conv1D,0.017261626199751356,2048,6144,3.0,3.8222923114231815,6.472514519538864,-0.833394111729853,True,49.38,LAYER_TYPE.CONV1D,6.716533586735086,3.7,1.693,transformer.h.13.attn.c_attn,0,5004.0,2048,167,2048,1,0.2183955359581727,49.38,101.4,success,7.02734375,,0,49.375,5.66796875
54,179,Conv1D,0.035147097016212214,2048,2048,1.0,6.366514960047317,5.110620407381733,-0.8016495915627082,True,6.348,LAYER_TYPE.CONV1D,5.412555463005385,3.018,0.8027,transformer.h.13.attn.c_proj,0,1040.0,2048,51,2048,1,0.7514624019192628,6.348,163.9,success,2.51953125,under-trained,3,6.34765625,2.5703125
