,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.03189916480202015,2048,2048,1.0,1.6491153990169631,5.066520552057975,-0.3429613666159255,True,1182.0,LAYER_TYPE.EMBEDDING,5.176646065026955,3.373,3.072,transformer.wpe,0,2360.0,2048,146,2048,1,0.05372117266089144,1182.0,1.997,success,34.375,over-trained,14,1182.0,0.2724609375
1,12,Linear,0.05595079448760687,2048,2048,1.0,7.058714081927697,14.014029031795905,-0.8012477621935038,True,96.75,LAYER_TYPE.DENSE,14.170274716900625,4.11,1.985,transformer.h.0.attn.attention.k_proj,0,12840.0,2048,14,2048,1,1.6192594499282904,96.75,132.8,success,9.8359375,under-trained,1,96.75,48.625
2,13,Linear,0.060327880827659275,2048,2048,1.0,7.4949995697893925,14.111678877494091,-0.7996404447166864,True,76.3,LAYER_TYPE.DENSE,14.401914178739299,4.14,1.883,transformer.h.0.attn.attention.v_proj,0,13820.0,2048,36,2048,1,1.0824999282982322,76.3,181.1,success,8.734375,under-trained,1,76.3125,38.0
3,14,Linear,0.05717446927044223,2048,2048,1.0,8.175456096930281,15.568495497084031,-0.8040605677779344,True,80.2,LAYER_TYPE.DENSE,15.723368540987751,4.113,1.904,transformer.h.0.attn.attention.q_proj,0,12980.0,2048,14,2048,1,1.9177213077536643,80.2,161.9,success,8.953125,under-trained,1,80.1875,44.34375
4,15,Linear,0.05125047689301965,2048,2048,1.0,5.346798371363574,16.04039511409072,-0.7879873930097598,True,1002.0,LAYER_TYPE.DENSE,16.045034810510927,4.113,3.0,transformer.h.0.attn.attention.out_proj,0,13016.0,2048,149,2048,1,0.35610359778812184,1002.0,12.99,success,31.65625,,1,1002.0,17.9375
5,18,Linear,0.0365388754755831,2048,8192,4.0,4.631347033240834,15.033786658684113,-0.1228593296342346,True,1759.0,LAYER_TYPE.DENSE,15.047268540488854,inf,3.246,transformer.h.0.mlp.c_fc,0,inf,2048,43,2048,1,0.5537752309507726,1759.0,inf,success,41.9375,,0,1759.0,251.5
6,19,Linear,0.05870618510294412,2048,8192,4.0,5.884243558469621,18.51468041541906,-0.842234357852349,True,1402.0,LAYER_TYPE.DENSE,18.516234718615802,4.652,3.146,transformer.h.0.mlp.c_proj,0,45000.0,2048,289,2048,1,0.2873084446158601,1402.0,32.1,success,37.4375,,0,1402.0,36.0625
7,28,Linear,0.04314250598627323,2048,2048,1.0,3.2442411606008097,8.978690868303413,-0.7759325119336289,True,586.0,LAYER_TYPE.DENSE,9.09603791138551,4.26,2.768,transformer.h.1.attn.attention.k_proj,0,18220.0,2048,161,2048,1,0.1768709812779615,586.0,31.1,success,24.203125,,1,586.0,28.09375
8,29,Linear,0.029421464722850357,2048,2048,1.0,4.169331756024079,10.01616808576097,-0.787183734271351,True,253.0,LAYER_TYPE.DENSE,10.100454420382972,4.16,2.402,transformer.h.1.attn.attention.v_proj,0,14410.0,2048,30,2048,1,0.5786381649972825,253.0,56.94,success,15.90625,,1,253.0,49.28125
9,30,Linear,0.0202415055042926,2048,2048,1.0,3.2441396120416157,7.85056441273352,-0.7811562937332855,True,263.5,LAYER_TYPE.DENSE,8.333576045757079,4.25,2.42,transformer.h.1.attn.attention.q_proj,0,17730.0,2048,132,2048,1,0.1953272816507668,263.5,67.25,success,16.234375,,0,263.5,30.8125
