,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,12,Linear,0.04111252510490038,512,1536,3.0,5.240207107805689,6.708897967122322,-0.6256483278511963,True,19.08,LAYER_TYPE.DENSE,6.765907920822448,3.0,1.28,gpt_neox.layers.0.attention.query_key_value,0,1001.5,512,57,512,1,0.5616291514945821,19.08,52.5,success,4.3671875,,0,19.078125,4.1171875
1,13,Linear,0.05992881381253623,512,512,1.0,3.7441976804747608,3.3145656224124713,7.900667617377837,True,7.68,LAYER_TYPE.DENSE,3.379092157452214,2.062,0.8853,gpt_neox.layers.0.attention.dense,2,115.6,512,41,510,1,0.42857167512573036,7.68,15.055,success,2.771484375,,1,7.6796875,0.7060546875
2,16,Linear,0.05676936408301114,512,2048,4.0,6.4170387768436665,8.453696591759869,-0.642926990726984,True,20.75,LAYER_TYPE.DENSE,8.45246241307441,3.008,1.317,gpt_neox.layers.0.mlp.dense_h_to_4h,0,1017.0,512,103,512,1,0.5337566907775355,20.75,49.0,success,4.5546875,under-trained,0,20.75,2.78515625
3,17,Linear,0.08193971907659792,512,2048,4.0,5.5963729807138405,3.719074036499774,-0.6477489431574364,True,4.617,LAYER_TYPE.DENSE,4.018332183896265,2.621,0.6646,gpt_neox.layers.0.mlp.dense_4h_to_h,0,417.5,512,151,512,1,0.37404752839125166,4.617,90.44,success,2.1484375,,0,4.6171875,0.96533203125
4,26,Linear,0.03139078463865219,512,1536,3.0,5.447077281758808,6.643944848551515,-0.6272556453280138,True,16.6,LAYER_TYPE.DENSE,6.723153187956831,2.994,1.22,gpt_neox.layers.1.attention.query_key_value,0,987.5,512,28,512,1,0.8404186106156372,16.6,59.5,success,4.07421875,,0,16.59375,4.87890625
5,27,Linear,0.04215364633144103,512,512,1.0,5.417422155999935,2.3383794853046593,1.4007900167598373,True,2.701,LAYER_TYPE.DENSE,2.513666375241707,2.135,0.4316,gpt_neox.layers.1.attention.dense,62,136.4,512,32,450,1,0.7808972904678132,2.701,50.5,success,1.6435546875,,2,2.701171875,0.85888671875
6,30,Linear,0.024658012691858966,512,2048,4.0,3.4166310874090646,5.448592349354494,-0.6212282047899483,True,39.34,LAYER_TYPE.DENSE,5.5323983877595015,3.025,1.595,gpt_neox.layers.1.mlp.dense_h_to_4h,0,1061.0,512,116,512,1,0.22437856351280144,39.34,26.97,success,6.2734375,,0,39.34375,2.755859375
7,31,Linear,0.02048413330764487,512,2048,4.0,3.3854212691811094,4.71446360337135,-0.6103788118214305,True,24.69,LAYER_TYPE.DENSE,4.751699464202502,2.652,1.393,gpt_neox.layers.1.mlp.dense_4h_to_h,0,448.2,512,85,512,1,0.258735264006909,24.69,18.16,success,4.96875,,0,24.6875,1.37109375
8,40,Linear,0.04893131074243928,512,1536,3.0,4.667900051605139,5.360791465515277,-0.6172099110979047,True,14.06,LAYER_TYPE.DENSE,5.604979229751562,2.916,1.148,gpt_neox.layers.2.attention.query_key_value,0,825.0,512,53,512,1,0.5038248195959075,14.06,58.66,success,3.75,,0,14.0625,3.798828125
9,41,Linear,0.08735328811160131,512,512,1.0,2.707105985569343,1.3363692145559598,1.2534124079491393,True,3.117,LAYER_TYPE.DENSE,2.552892784838351,2.277,0.4937,gpt_neox.layers.2.attention.dense,82,189.2,512,96,430,1,0.17423077506232806,3.117,60.72,success,1.765625,,1,3.1171875,0.6962890625
10,44,Linear,0.03675307143350559,512,2048,4.0,3.9073676350468864,9.051050810870327,-0.571401363008607,True,207.5,LAYER_TYPE.DENSE,9.053459084017714,3.059,2.316,gpt_neox.layers.2.mlp.dense_h_to_4h,0,1143.0,512,99,512,1,0.2922014416082865,207.5,5.508,success,14.40625,,0,207.5,2.857421875
11,45,Linear,0.020071230998807144,512,2048,4.0,3.9155460612909505,4.045554426607252,-0.6260501572204007,True,10.805,LAYER_TYPE.DENSE,4.289480593840048,2.707,1.033,gpt_neox.layers.2.mlp.dense_4h_to_h,0,510.0,512,58,512,1,0.3828299531463287,10.805,47.2,success,3.287109375,,0,10.8046875,1.904296875
12,54,Linear,0.04011584057690054,512,1536,3.0,1.6830212743479214,6.1601208361875095,-0.2636000661980634,True,4572.0,LAYER_TYPE.DENSE,6.189544808459349,3.879,3.66,gpt_neox.layers.3.attention.query_key_value,0,7580.0,512,334,512,1,0.03737326132826721,4572.0,1.658,success,67.625,over-trained,0,4572.0,0.60498046875
13,55,Linear,0.08017993941912552,512,512,1.0,6.049554296072608,5.216559026789173,1.3328019541297076,True,7.285,LAYER_TYPE.DENSE,5.516424940013532,2.54,0.8623,gpt_neox.layers.3.attention.dense,64,346.2,512,31,448,1,0.9069267244467195,7.285,47.53,success,2.69921875,under-trained,2,7.28515625,2.994140625
14,58,Linear,0.038839907792151296,512,2048,4.0,4.986409084377685,6.111272852435542,-0.6268538159588094,True,16.83,LAYER_TYPE.DENSE,6.235115284274391,2.98,1.226,gpt_neox.layers.3.mlp.dense_h_to_4h,0,955.5,512,25,512,1,0.7972818168755371,16.83,56.78,success,4.1015625,,0,16.828125,4.9140625
15,59,Linear,0.04445796749879438,512,2048,4.0,3.0253544652011923,4.4612160570837895,-0.6027440538065475,True,29.83,LAYER_TYPE.DENSE,4.861715888976535,2.889,1.475,gpt_neox.layers.3.mlp.dense_4h_to_h,0,773.0,512,111,512,1,0.19223813848787383,29.83,25.92,success,5.4609375,,0,29.828125,2.0
16,68,Linear,0.07791790994508163,512,1536,3.0,1.6942157435210006,6.843043276565291,-0.31322599329480255,True,10960.0,LAYER_TYPE.DENSE,7.135391536914464,4.57,4.04,gpt_neox.layers.4.attention.query_key_value,0,37150.0,512,160,512,1,0.05488257342684103,10960.0,3.39,success,104.6875,over-trained,0,10960.0,8.6640625
17,69,Linear,0.07782755444509093,512,512,1.0,6.94204663343234,-0.40082862031414757,1.190071653967887,True,0.8755,LAYER_TYPE.DENSE,0.21909363945314103,1.824,-0.05774,gpt_neox.layers.4.attention.dense,119,66.75,512,23,393,1,1.2390023720699581,0.8755,76.25,success,0.935546875,under-trained,2,0.87548828125,0.5263671875
18,72,Linear,0.03003008567884824,512,2048,4.0,4.046204905665155,5.559580373311399,-0.617611740467109,True,23.66,LAYER_TYPE.DENSE,5.824629546439558,2.95,1.374,gpt_neox.layers.4.mlp.dense_h_to_4h,0,889.0,512,67,512,1,0.3721531607205631,23.66,37.6,success,4.86328125,,0,23.65625,3.306640625
19,73,Linear,0.04747843150026798,512,2048,4.0,3.563908805221989,4.990864479187825,-0.6180135698363134,True,25.16,LAYER_TYPE.DENSE,5.446504752655837,3.002,1.4,gpt_neox.layers.4.mlp.dense_4h_to_h,0,1005.0,512,111,512,1,0.24335545428566877,25.16,39.94,success,5.015625,,0,25.15625,2.7890625
20,82,Linear,0.03514803208389117,512,1536,3.0,2.393585475347091,8.639347575080906,-0.4576836515237718,True,4072.0,LAYER_TYPE.DENSE,8.687432827423677,4.215,3.61,gpt_neox.layers.5.attention.query_key_value,0,16350.0,512,63,512,1,0.1755752665942922,4072.0,4.016,success,63.8125,,0,4072.0,48.90625
21,83,Linear,0.07305969871740686,512,512,1.0,4.714488047974712,3.1905666184047616,95510.67770580472,True,4.75,LAYER_TYPE.DENSE,3.1905506157957824,1.835,0.677,gpt_neox.layers.5.attention.dense,1,68.4,512,69,511,1,0.44717181243232934,4.75,14.4,success,2.1796875,,2,4.75,0.29638671875
22,86,Linear,0.02972813026090304,512,2048,4.0,3.2163824627696194,4.582716809746948,-0.6184153992055178,True,26.62,LAYER_TYPE.DENSE,4.804111648738147,2.945,1.425,gpt_neox.layers.5.mlp.dense_h_to_4h,0,880.5,512,87,512,1,0.23762114203299708,26.62,33.06,success,5.16015625,,0,26.625,2.685546875
23,87,Linear,0.05341611815798353,512,2048,4.0,4.5687838030944175,9.360652752824304,-0.6147989348826784,True,111.9,LAYER_TYPE.DENSE,9.360315640813313,3.127,2.049,gpt_neox.layers.5.mlp.dense_4h_to_h,0,1338.0,512,88,512,1,0.3804336316690148,111.9,11.96,success,10.578125,,0,111.875,3.921875
