,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,3,Embedding,0.0296499262560751,1024,1280,1.25,1.811502967653738,4.337700465514615,-0.2788695822278293,True,248.2,LAYER_TYPE.EMBEDDING,4.690948603094315,2.9,2.395,transformer.wpe,0,796.5,1024,411,1024,1,0.0400284894441399,248.2,3.209,success,15.7578125,over-trained,0,248.25,0.0201873779296875
1,9,Conv1D,0.04408467077735112,1280,3840,3.0,3.347791554077214,8.964496524687227,-0.7048087135844562,True,476.5,LAYER_TYPE.CONV1D,9.256170300679273,4.26,2.678,transformer.h.0.attn.c_attn,0,18260.0,1280,59,1280,1,0.30565642563528855,476.5,38.3,success,21.828125,,0,476.5,60.5625
2,10,Conv1D,0.03911594397352092,1280,1280,1.0,5.472339956358394,8.133692786696754,-0.7168635946605871,True,30.64,LAYER_TYPE.CONV1D,8.352806030678396,3.48,1.486,transformer.h.0.attn.c_proj,0,3024.0,1280,88,1280,1,0.47675304124071455,30.64,98.7,success,5.53515625,,1,30.640625,7.93359375
3,15,Conv1D,0.0766929994570123,1280,5120,4.0,2.721419427731848,8.39813026526625,-0.6943611499851428,True,1221.0,LAYER_TYPE.CONV1D,8.43441218999591,4.297,3.086,transformer.h.0.mlp.c_fc,0,19760.0,1280,188,1280,1,0.12554741509520828,1221.0,16.19,success,34.9375,,0,1221.0,30.8125
4,16,Conv1D,0.06936655311817685,1280,5120,4.0,5.163148044351024,12.454077802292021,-0.7586538490578412,True,258.5,LAYER_TYPE.CONV1D,12.45685482205524,4.05,2.412,transformer.h.0.mlp.c_proj,0,11260.0,1280,201,1280,1,0.2936458221253292,258.5,43.56,success,16.078125,,0,258.5,14.625
5,22,Conv1D,0.01806243742485697,1280,3840,3.0,2.8036311685861497,7.814026714008663,-0.693557491246734,True,612.5,LAYER_TYPE.CONV1D,8.08306042113062,4.234,2.787,transformer.h.1.attn.c_attn,0,17200.0,1280,96,1280,1,0.1840823353006588,612.5,28.08,success,24.75,,0,612.5,39.46875
6,23,Conv1D,0.03867740332312941,1280,1280,1.0,2.8697742228335077,6.199160723542694,-0.6674385822484503,True,144.6,LAYER_TYPE.CONV1D,6.38205717766496,3.365,2.16,transformer.h.1.attn.c_proj,0,2322.0,1280,89,1280,1,0.19819567122940576,144.6,16.06,success,12.0234375,,1,144.625,5.6875
7,28,Conv1D,0.035650666016473154,1280,5120,4.0,2.8145000890337197,8.613909452179373,-0.7220873764602439,True,1150.0,LAYER_TYPE.CONV1D,8.634764066171389,4.312,3.06,transformer.h.1.mlp.c_fc,0,20510.0,1280,263,1280,1,0.11188686866930007,1150.0,17.84,success,33.90625,,0,1150.0,21.90625
8,29,Conv1D,0.03511022996818458,1280,5120,4.0,4.564692289780269,12.116048480100362,-0.7550373847350018,True,451.5,LAYER_TYPE.CONV1D,12.119818342516725,4.168,2.654,transformer.h.1.mlp.c_proj,0,14696.0,1280,176,1280,1,0.268698791324409,451.5,32.56,success,21.25,,0,451.5,19.25
9,35,Conv1D,0.03116307102846083,1280,3840,3.0,3.047631526237906,8.142890484166905,-0.714452618445361,True,469.8,LAYER_TYPE.CONV1D,8.351546978809013,4.2,2.672,transformer.h.2.attn.c_attn,0,15810.0,1280,157,1280,1,0.16341878653128927,469.8,33.66,success,21.671875,,0,469.75,25.859375
10,36,Conv1D,0.05656369674401329,1280,1280,1.0,3.1438999315232135,7.190443007448599,-0.6710550465712896,True,194.0,LAYER_TYPE.CONV1D,7.234206752689479,3.414,2.287,transformer.h.2.attn.c_proj,0,2594.0,1280,69,1280,1,0.25809522218694425,194.0,13.375,success,13.9296875,,1,194.0,7.80078125
