,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,10,Linear,0.03539810104275598,4096,4096,1.0,4.70241033684187,7.554165043071169,-0.9659978035672935,True,40.44,LAYER_TYPE.DENSE,7.8108386166155785,3.795,1.606,transformer.h.0.attn.k_proj,0,6236.0,4096,194,4096,1,0.2658175707886269,40.44,154.2,success,6.359375,,5,40.4375,6.66796875
1,11,Linear,0.022065013358378183,4096,4096,1.0,4.9820127316616265,4.361693763608055,-0.9836782958122855,True,7.508,LAYER_TYPE.DENSE,5.100555997369304,3.387,0.8755,transformer.h.0.attn.v_proj,0,2432.0,4096,254,4096,1,0.2498537004615144,7.508,324.0,success,2.740234375,,7,7.5078125,1.9697265625
2,12,Linear,0.01897783214094889,4096,4096,1.0,4.383767571833711,6.815388646835222,-0.9643904860904761,True,35.88,LAYER_TYPE.DENSE,7.343306446854286,3.809,1.555,transformer.h.0.attn.q_proj,0,6436.0,4096,161,4096,1,0.2666782435656561,35.88,179.4,success,5.98828125,,6,35.875,7.4140625
3,13,Linear,0.019554328494300388,4096,4096,1.0,3.8254940544998783,5.076998457095053,-0.9772490259050157,True,21.25,LAYER_TYPE.DENSE,5.206998484948371,3.379,1.327,transformer.h.0.attn.out_proj,0,2394.0,4096,188,4096,1,0.20607033311848819,21.25,112.7,success,4.609375,,6,21.25,2.236328125
4,15,Linear,0.039563659389696526,4096,16384,4.0,5.311702751183619,13.62161271934393,-0.9949295181500077,True,366.2,LAYER_TYPE.DENSE,13.618042141301915,4.16,2.564,transformer.h.0.mlp.fc_in,0,14470.0,4096,263,4096,1,0.26587098142257315,366.2,39.5,success,19.140625,,0,366.25,9.890625
5,16,Linear,0.07100672025061461,4096,16384,4.0,8.998203523303117,14.44633456280305,-1.0158246453486348,True,40.34,LAYER_TYPE.DENSE,14.449105925479257,3.832,1.605,transformer.h.0.mlp.fc_out,0,6790.0,4096,331,4096,1,0.4396210246539165,40.34,168.4,success,6.3515625,under-trained,0,40.34375,3.630859375
6,24,Linear,0.022239872003677608,4096,4096,1.0,4.291673635365849,7.401460585992275,-0.9539429224911625,True,53.03,LAYER_TYPE.DENSE,7.474461265960097,3.658,1.725,transformer.h.1.attn.k_proj,0,4544.0,4096,161,4096,1,0.25942022459747166,53.03,85.7,success,7.28125,,7,53.03125,5.71484375
7,25,Linear,0.04021413537214524,4096,4096,1.0,4.592139863598057,3.6369388958769764,-0.9748380496897895,True,6.19,LAYER_TYPE.DENSE,4.370129465884716,3.197,0.792,transformer.h.1.attn.v_proj,0,1577.0,4096,131,4096,1,0.31384671709194495,6.19,254.8,success,2.48828125,,5,6.19140625,1.875
8,26,Linear,0.01864499378623985,4096,4096,1.0,3.692943419529964,5.499744838655464,-0.9531392637527538,True,30.86,LAYER_TYPE.DENSE,6.230609608111011,3.67,1.489,transformer.h.1.attn.q_proj,0,4676.0,4096,159,4096,1,0.21356430491074796,30.86,151.5,success,5.5546875,,6,30.859375,5.84765625
9,27,Linear,0.026397247450343553,4096,4096,1.0,5.791383417071062,5.6471643964311085,-0.9820709783354681,True,9.44,LAYER_TYPE.DENSE,5.694923101399957,3.223,0.975,transformer.h.1.attn.out_proj,0,1670.0,4096,35,4096,1,0.8098916161946532,9.44,177.0,success,3.072265625,,5,9.4375,2.625
10,29,Linear,0.013049222923021797,4096,16384,4.0,3.1166206935553475,7.688070187422664,-0.9740343909513808,True,293.2,LAYER_TYPE.DENSE,7.964884332985603,4.277,2.467,transformer.h.1.mlp.fc_in,0,18910.0,4096,324,4096,1,0.11759003853085265,293.2,64.5,success,17.125,,0,293.25,12.1171875
11,30,Linear,0.006014737629276956,4096,16384,4.0,3.783215543706272,7.337369208789704,-1.0126100103949998,True,87.0,LAYER_TYPE.DENSE,7.477142868722944,4.035,1.939,transformer.h.1.mlp.fc_out,0,10856.0,4096,521,4096,1,0.12193488683357798,87.0,124.8,success,9.328125,,0,87.0,4.55078125
12,38,Linear,0.016270366825344884,4096,4096,1.0,3.8263350072317017,6.28505418180051,-0.9659978035672935,True,43.94,LAYER_TYPE.DENSE,6.5162840640152675,3.674,1.643,transformer.h.2.attn.k_proj,0,4724.0,4096,137,4096,1,0.2414700956701361,43.94,107.5,success,6.62890625,,6,43.9375,5.45703125
13,39,Linear,0.07298223698441536,4096,4096,1.0,7.460170252188414,4.757315600272494,-0.9828746370738768,True,4.344,LAYER_TYPE.DENSE,5.598237712079004,3.271,0.6377,transformer.h.2.attn.v_proj,0,1865.0,4096,56,4096,1,0.8632765622827877,4.344,429.2,success,2.083984375,under-trained,5,4.34375,2.564453125
14,40,Linear,0.049879357575855265,4096,4096,1.0,2.826231207396314,4.076507317699566,-0.9603721923984324,True,27.69,LAYER_TYPE.DENSE,5.217396436862347,3.691,1.442,transformer.h.2.attn.q_proj,0,4908.0,4096,407,4096,1,0.09052292015498746,27.69,177.2,success,5.26171875,,5,27.6875,3.24609375
15,41,Linear,0.04160356514844066,4096,4096,1.0,7.175925440242992,6.797507497105178,-0.9828746370738768,True,8.86,LAYER_TYPE.DENSE,6.826288872526889,3.287,0.9473,transformer.h.2.attn.out_proj,0,1936.0,4096,23,4096,1,1.287769474432449,8.86,218.5,success,2.9765625,under-trained,4,8.859375,3.205078125
16,43,Linear,0.007627693281174741,4096,16384,4.0,2.963703464145097,8.740609825896673,-0.9740343909513808,True,891.5,LAYER_TYPE.DENSE,8.75911642317014,4.305,2.95,transformer.h.2.mlp.fc_in,0,20200.0,4096,370,4096,1,0.10208808193531192,891.5,22.66,success,29.859375,,0,891.5,10.4375
17,44,Linear,0.0073976910622424175,4096,16384,4.0,4.090636366359712,9.483565169665974,-1.0118063516565912,True,208.0,LAYER_TYPE.DENSE,9.483057711568437,4.043,2.318,transformer.h.2.mlp.fc_out,0,11020.0,4096,450,4096,1,0.14569399552231355,208.0,53.0,success,14.421875,,0,208.0,4.86328125
18,52,Linear,0.06364262539980814,4096,4096,1.0,4.89940858477598,7.334759141075759,-0.9692124385209284,True,31.38,LAYER_TYPE.DENSE,7.461293485822209,3.629,1.497,transformer.h.3.attn.k_proj,0,4260.0,4096,98,4096,1,0.3938997504160191,31.38,135.8,success,5.6015625,,5,31.375,5.93359375
19,53,Linear,0.058183444394325934,4096,4096,1.0,3.360822962193357,2.9817457628443993,-0.9780526846434244,True,7.715,LAYER_TYPE.DENSE,4.372147264699577,3.395,0.887,transformer.h.3.attn.v_proj,0,2480.0,4096,357,4096,1,0.12494800104795883,7.715,321.5,success,2.77734375,,4,7.71484375,1.7587890625
20,54,Linear,0.018830336988095664,4096,4096,1.0,4.136593755214902,6.039265296920194,-0.9676051210441109,True,28.81,LAYER_TYPE.DENSE,6.45106718029668,3.637,1.46,transformer.h.3.attn.q_proj,0,4330.0,4096,136,4096,1,0.26896069559309216,28.81,150.2,success,5.3671875,,5,28.8125,5.27734375
21,55,Linear,0.057923204682974516,4096,4096,1.0,3.674263728255823,3.9613155820258092,-0.9772490259050157,True,11.96,LAYER_TYPE.DENSE,4.646972368095924,3.395,1.078,transformer.h.3.attn.out_proj,0,2480.0,4096,237,4096,1,0.17371209616934397,11.96,207.4,success,3.458984375,,5,11.9609375,2.189453125
22,57,Linear,0.012103856008739505,4096,16384,4.0,2.9127551352491663,7.179486290399312,-0.9965368356268253,True,291.2,LAYER_TYPE.DENSE,7.256247745961786,4.242,2.465,transformer.h.3.mlp.fc_in,0,17460.0,4096,702,4096,1,0.07219229038615904,291.2,59.94,success,17.0625,,0,291.25,6.26171875
23,58,Linear,0.010018284542249178,4096,16384,4.0,3.6154457162543756,6.867228435658946,-1.0134136691334086,True,79.3,LAYER_TYPE.DENSE,6.98885583892069,4.05,1.899,transformer.h.3.mlp.fc_out,0,11280.0,4096,539,4096,1,0.11265522208257268,79.3,142.2,success,8.90625,,0,79.3125,4.66796875
