,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,8,Linear,0.019476268799444835,4096,12288,3.0,3.071857854385287,6.287709045694885,-0.9812673195970594,True,111.4,LAYER_TYPE.DENSE,7.139777555266234,4.25,2.047,transformer.h.0.self_attention.query_key_value,0,17710.0,4096,278,4096,1,0.12426177648948916,111.4,159.0,success,10.5546875,,0,111.375,12.703125
1,9,Linear,0.01628340945395859,4096,4096,1.0,3.104372426942051,6.220871308676845,-0.9579612161832062,True,100.94,LAYER_TYPE.DENSE,6.225604975373648,3.322,2.004,transformer.h.0.self_attention.dense,0,2100.0,4096,407,4096,1,0.10430986854727045,100.94,20.81,success,10.046875,,6,100.9375,1.2548828125
2,13,Linear,0.05007195654305363,4096,16384,4.0,2.3664089445068006,6.059301027828937,-1.0077880579645475,True,364.0,LAYER_TYPE.DENSE,6.212562971085794,4.273,2.56,transformer.h.0.mlp.dense_h_to_4h,0,18720.0,4096,31,4096,1,0.24541429117023064,364.0,51.44,success,19.078125,,0,364.0,15.78125
3,15,Linear,0.04882454970158645,4096,16384,4.0,5.885289377372665,14.897138736474558,-1.0077880579645475,True,340.5,LAYER_TYPE.DENSE,14.90224296336196,4.117,2.531,transformer.h.0.mlp.dense_4h_to_h,0,13120.0,4096,420,4096,1,0.2383777129876339,340.5,38.53,success,18.453125,,0,340.5,6.5078125
4,19,Linear,0.025663128372655497,4096,12288,3.0,3.5146759170509023,7.166643862111606,-0.9949295181500077,True,109.6,LAYER_TYPE.DENSE,7.487102196189963,4.156,2.04,transformer.h.1.self_attention.query_key_value,0,14370.0,4096,385,4096,1,0.1281597518500828,109.6,131.1,success,10.46875,,0,109.625,8.1796875
5,20,Linear,0.026419866723899288,4096,4096,1.0,3.4963220713590846,7.6891770553717365,-0.9515319462759364,True,158.0,LAYER_TYPE.DENSE,7.688919584522861,3.404,2.2,transformer.h.1.self_attention.dense,0,2540.0,4096,306,4096,1,0.1427052344327,158.0,16.08,success,12.5703125,,5,158.0,1.81640625
6,24,Linear,0.0549726808065264,4096,16384,4.0,3.386448351006493,8.644703114776341,-0.9981441531036427,True,357.5,LAYER_TYPE.DENSE,8.706283983780878,4.254,2.553,transformer.h.1.mlp.dense_h_to_4h,0,18020.0,4096,1005,4096,1,0.07527816232749433,357.5,50.4,success,18.90625,,0,357.5,5.44921875
7,26,Linear,0.04445299707577499,4096,16384,4.0,4.664620425595927,11.297127593240136,-1.0069843992261387,True,264.5,LAYER_TYPE.DENSE,11.299897704137077,4.18,2.422,transformer.h.1.mlp.dense_4h_to_h,0,15176.0,4096,272,4096,1,0.22220025136070515,264.5,57.38,success,16.265625,,0,264.5,9.0859375
8,30,Linear,0.014200890949943035,4096,12288,3.0,4.222787975509972,7.822879677287516,-1.0021624467956864,True,71.2,LAYER_TYPE.DENSE,8.029915070128325,4.12,1.853,transformer.h.2.self_attention.query_key_value,0,13224.0,4096,237,4096,1,0.2093425748627732,71.2,185.8,success,8.4375,,0,71.1875,9.15625
9,31,Linear,0.03493299578637021,4096,4096,1.0,4.060144096786074,9.51596272684236,-0.9459063351070752,True,220.4,LAYER_TYPE.DENSE,9.51382896400126,3.432,2.344,transformer.h.2.self_attention.dense,0,2706.0,4096,251,4096,1,0.19315458265641516,220.4,12.28,success,14.84375,,5,220.375,2.08984375
