,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,4,OPTLearnedPositionalEmbedding,0.009370401659479555,2050,4096,1.9980487804878049,1.9748615609170832,3.7819370321859376,-0.6955666380927559,True,82.25,LAYER_TYPE.EMBEDDING,4.066764718272706,2.984,1.915,model.decoder.embed_positions,0,966.0,2050,693,2050,1,0.03703192848348442,82.25,11.74,success,9.0703125,over-trained,1,82.25,0.1884765625
1,9,Linear,0.035844820674823086,4096,4096,1.0,3.920860087473426,5.8430004819184065,-0.9740343909513808,True,30.89,LAYER_TYPE.DENSE,5.847497757718019,3.078,1.49,model.decoder.layers.0.self_attn.k_proj,0,1195.0,4096,295,4096,1,0.1700590490726953,30.89,38.7,success,5.55859375,,6,30.890625,0.88916015625
2,10,Linear,0.03630847261326264,4096,4096,1.0,4.535675881163991,1.323274579587639,-0.9804636608586507,True,1.958,LAYER_TYPE.DENSE,2.1400360861290317,2.74,0.2917,model.decoder.layers.0.self_attn.v_proj,0,551.0,4096,141,4096,1,0.29775762355908125,1.958,281.5,success,1.3994140625,,9,1.9580078125,0.6044921875
3,11,Linear,0.026198174715505784,4096,4096,1.0,3.3175836044037323,3.819756903898438,-0.976445367166607,True,14.164,LAYER_TYPE.DENSE,4.03435446554678,3.104,1.151,model.decoder.layers.0.self_attn.q_proj,0,1269.0,4096,400,4096,1,0.11587918022018662,14.164,89.56,success,3.763671875,,5,14.1640625,0.79052734375
4,12,Linear,0.08060131794339254,4096,4096,1.0,3.6776588611062984,8.281915364952269,-0.735347745643988,True,178.5,LAYER_TYPE.DENSE,8.295590395391663,2.787,2.252,model.decoder.layers.0.self_attn.out_proj,0,613.5,4096,603,4096,1,0.10904269841236451,178.5,3.438,success,13.359375,,11,178.5,0.170654296875
5,15,Linear,0.052761670536500216,4096,16384,4.0,2.3034352354125067,5.56513551993217,-0.9860892720275117,True,260.5,LAYER_TYPE.DENSE,5.851224246160917,4.168,2.416,model.decoder.layers.0.fc1,0,14770.0,4096,1328,4096,1,0.03576765101488541,260.5,56.7,success,16.140625,,0,260.5,3.04296875
6,16,Linear,0.06284742811715605,4096,16384,4.0,4.770633210060279,10.985501083322399,-1.0077880579645475,True,200.4,LAYER_TYPE.DENSE,10.982605121339407,4.062,2.303,model.decoder.layers.0.fc2,0,11580.0,4096,363,4096,1,0.19790691807669497,200.4,57.8,success,14.15625,,0,200.375,6.2421875
7,20,Linear,0.02501639184583726,4096,4096,1.0,1.95004623500938,4.646594544358288,-0.7349459162747836,True,241.5,LAYER_TYPE.DENSE,5.117082909714677,3.414,2.383,model.decoder.layers.1.self_attn.k_proj,0,2592.0,4096,120,4096,1,0.08672695893124861,241.5,10.734,success,15.5390625,over-trained,13,241.5,3.201171875
8,21,Linear,0.0375919808559724,4096,4096,1.0,3.5089951344078854,3.1577529456610023,-0.9836782958122855,True,7.94,LAYER_TYPE.DENSE,3.4443470307456603,3.014,0.9,model.decoder.layers.1.self_attn.v_proj,0,1032.0,4096,43,4096,1,0.3826181709686638,7.94,130.0,success,2.818359375,,7,7.94140625,1.2763671875
9,22,Linear,0.01935719005868808,4096,4096,1.0,2.0120328535276952,5.073309402156747,-0.7269093288906963,True,333.0,LAYER_TYPE.DENSE,5.378054418243569,3.424,2.521,model.decoder.layers.1.self_attn.q_proj,0,2656.0,4096,106,4096,1,0.09829732028725302,333.0,7.977,success,18.25,,13,333.0,3.76953125
10,23,Linear,0.07061446656364234,4096,4096,1.0,3.168922723777921,7.055804502161777,-0.757448360950228,True,168.6,LAYER_TYPE.DENSE,7.1300324826472234,2.885,2.227,model.decoder.layers.1.self_attn.out_proj,0,768.0,4096,625,4096,1,0.08675690895111683,168.6,4.555,success,12.984375,,12,168.625,0.21630859375
11,26,Linear,0.040860330216146046,4096,16384,4.0,2.2399748829808597,5.459938777265846,-0.9676051210441109,True,273.8,LAYER_TYPE.DENSE,5.943558000916605,4.215,2.438,model.decoder.layers.1.fc1,0,16420.0,4096,948,4096,1,0.040272511989763046,273.8,59.97,success,16.546875,,0,273.75,4.140625
12,27,Linear,0.02759333356555116,4096,16384,4.0,4.446599015538856,11.463888086936114,-1.0045734230109125,True,379.0,LAYER_TYPE.DENSE,11.46636787966538,4.16,2.578,model.decoder.layers.1.fc2,0,14456.0,4096,441,4096,1,0.16412376264470746,379.0,38.16,success,19.46875,,0,379.0,6.93359375
13,31,Linear,0.03229671443859278,4096,4096,1.0,2.2036703956575243,5.375750633156734,-0.7482062854585276,True,274.8,LAYER_TYPE.DENSE,5.739325138443876,3.49,2.44,model.decoder.layers.2.self_attn.k_proj,0,3090.0,4096,66,4096,1,0.148161583649168,274.8,11.25,success,16.578125,,13,274.75,9.296875
14,32,Linear,0.02705908014411651,4096,4096,1.0,3.830509514228204,4.346730522981614,-0.9836782958122855,True,13.625,LAYER_TYPE.DENSE,4.522749597582575,3.18,1.135,model.decoder.layers.2.self_attn.v_proj,0,1512.0,4096,78,4096,1,0.32049209178883714,13.625,111.0,success,3.69140625,,6,13.625,1.6142578125
15,33,Linear,0.025914451800560956,4096,4096,1.0,2.27157864155508,5.9495839029792235,-0.7393660393360316,True,415.8,LAYER_TYPE.DENSE,6.125998805262293,3.508,2.62,model.decoder.layers.2.self_attn.q_proj,0,3216.0,4096,55,4096,1,0.17145962904952625,415.8,7.734,success,20.390625,,14,415.75,11.0625
16,34,Linear,0.04850020325151316,4096,4096,1.0,3.099266605301668,6.240905996222694,-0.8575038738821149,True,103.3,LAYER_TYPE.DENSE,6.358177351620103,2.91,2.014,model.decoder.layers.2.self_attn.out_proj,0,812.5,4096,625,4096,1,0.08397066421206673,103.3,7.863,success,10.1640625,,8,103.3125,0.294921875
17,37,Linear,0.0334314870457591,4096,16384,4.0,2.4152600485494253,5.943804025727101,-0.9684087797825197,True,289.5,LAYER_TYPE.DENSE,6.351996136054667,4.246,2.46,model.decoder.layers.2.fc1,0,17660.0,4096,658,4096,1,0.05517258092060688,289.5,61.0,success,17.015625,,0,289.5,6.41796875
18,38,Linear,0.01538690522455699,4096,16384,4.0,4.450453144595446,11.63028575677482,-1.0053770817493213,True,410.8,LAYER_TYPE.DENSE,11.631684101578522,4.19,2.613,model.decoder.layers.2.fc2,0,15530.0,4096,352,4096,1,0.18390977054480445,410.8,37.8,success,20.265625,,0,410.75,8.0546875
19,42,Linear,0.0446400495343835,4096,4096,1.0,1.5457870722859501,3.8161618347059396,-0.7630739721190891,True,294.8,LAYER_TYPE.DENSE,4.489492996764997,3.588,2.469,model.decoder.layers.3.self_attn.k_proj,0,3880.0,4096,2269,4096,1,0.011457925566889165,294.8,13.164,success,17.171875,over-trained,13,294.75,0.0223236083984375
20,43,Linear,0.0170021046238078,4096,4096,1.0,3.552951147196354,4.468946364832914,-0.9796600021202418,True,18.1,LAYER_TYPE.DENSE,4.641444892700313,3.27,1.258,model.decoder.layers.3.self_attn.v_proj,0,1859.0,4096,439,4096,1,0.1218457103462198,18.1,102.75,success,4.25390625,,5,18.09375,1.125
21,44,Linear,0.03148683944885622,4096,4096,1.0,2.463888497445124,6.539891539117038,-0.7602611665346586,True,450.2,LAYER_TYPE.DENSE,6.67501442674648,3.607,2.654,model.decoder.layers.3.self_attn.q_proj,0,4056.0,4096,45,4096,1,0.2182236127844883,450.2,9.01,success,21.21875,,13,450.25,18.296875
22,45,Linear,0.012467250941639807,4096,4096,1.0,2.8931736884053625,4.921785708205216,-0.9378697477229879,True,50.28,LAYER_TYPE.DENSE,5.020864819077867,2.986,1.701,model.decoder.layers.3.self_attn.out_proj,0,967.5,4096,522,4096,1,0.082861961269464,50.28,19.23,success,7.08984375,,9,50.28125,0.456787109375
23,48,Linear,0.01975782581262958,4096,16384,4.0,2.577602734262185,6.645382049269696,-0.9700160972593371,True,379.0,LAYER_TYPE.DENSE,6.855829211134907,4.258,2.578,model.decoder.layers.3.fc1,0,18160.0,4096,477,4096,1,0.07223346708841584,379.0,47.9,success,19.46875,,0,379.0,8.4140625
24,49,Linear,0.032809707097219865,4096,16384,4.0,4.827922475004836,11.91893361016819,-1.009395375441365,True,293.8,LAYER_TYPE.DENSE,11.915287087055315,4.19,2.469,model.decoder.layers.3.fc2,0,15510.0,4096,287,4096,1,0.22595511930367304,293.8,52.8,success,17.140625,,0,293.75,8.7109375
25,53,Linear,0.02461838596145155,4096,4096,1.0,2.009267141559888,4.803404260291607,-0.7610648252730673,True,246.4,LAYER_TYPE.DENSE,5.218993674042735,3.453,2.39,model.decoder.layers.4.self_attn.k_proj,0,2844.0,4096,141,4096,1,0.08499562621339742,246.4,11.55,success,15.6953125,,13,246.375,3.2578125
26,54,Linear,0.01827217218868915,4096,4096,1.0,3.491422343566841,3.682359502980652,-0.9812673195970594,True,11.35,LAYER_TYPE.DENSE,4.278425240446254,3.293,1.055,model.decoder.layers.4.self_attn.v_proj,0,1959.0,4096,461,4096,1,0.1160371069195748,11.35,172.6,success,3.369140625,,6,11.3515625,1.154296875
27,55,Linear,0.029939028287767733,4096,4096,1.0,1.570307838752307,3.597599794641516,-0.7658867777035198,True,195.1,LAYER_TYPE.DENSE,4.351312378011375,3.467,2.291,model.decoder.layers.4.self_attn.q_proj,0,2928.0,4096,2054,4096,1,0.012583722173900533,195.1,15.01,success,13.96875,over-trained,12,195.125,0.02801513671875
28,56,Linear,0.0211847560136825,4096,4096,1.0,2.7370003096840088,3.613695721379668,-0.9643904860904761,True,20.89,LAYER_TYPE.DENSE,3.7752245232732493,3.0,1.32,model.decoder.layers.4.self_attn.out_proj,0,1000.5,4096,704,4096,1,0.06546566236310217,20.89,47.9,success,4.5703125,,6,20.890625,0.40673828125
29,59,Linear,0.014819328922244246,4096,16384,4.0,2.5936338120313565,6.7880259924258155,-0.9684087797825197,True,414.5,LAYER_TYPE.DENSE,7.011093060620859,4.23,2.617,model.decoder.layers.4.fc1,0,17000.0,4096,615,4096,1,0.06426151760800464,414.5,41.0,success,20.359375,,0,414.5,6.4453125
30,60,Linear,0.025439316777704335,4096,16384,4.0,4.8718911072098745,11.58025679194222,-1.0110026929181823,True,238.1,LAYER_TYPE.DENSE,11.579643190750286,4.18,2.377,model.decoder.layers.4.fc2,0,15120.0,4096,270,4096,1,0.23563578884694467,238.1,63.5,success,15.4296875,,0,238.125,8.5859375
31,64,Linear,0.026490097982961147,4096,4096,1.0,2.5225923699990114,5.651198141384504,-0.8341977704682617,True,173.9,LAYER_TYPE.DENSE,5.993677874716666,3.57,2.24,model.decoder.layers.5.self_attn.k_proj,0,3720.0,4096,109,4096,1,0.14583789936622218,173.9,21.39,success,13.1875,,11,173.875,7.91015625
32,65,Linear,0.014843081260336038,4096,4096,1.0,3.1480518302157705,3.3540278777005916,-0.9780526846434244,True,11.63,LAYER_TYPE.DENSE,4.2758164201359365,3.338,1.065,model.decoder.layers.5.self_attn.v_proj,0,2176.0,4096,476,4096,1,0.09845579421487477,11.63,187.0,success,3.41015625,,5,11.6328125,1.2216796875
33,66,Linear,0.017807232312535226,4096,4096,1.0,2.4107279070003234,5.932650708633608,-0.8253575243457657,True,289.5,LAYER_TYPE.DENSE,6.20052970555023,3.656,2.46,model.decoder.layers.5.self_attn.q_proj,0,4530.0,4096,126,4096,1,0.12567763080847386,289.5,15.64,success,17.015625,,13,289.5,7.69140625
34,67,Linear,0.026997089383176465,4096,4096,1.0,2.5067635887925572,2.0746895913102463,-0.9684087797825197,True,6.727,LAYER_TYPE.DENSE,3.3611649528110052,3.1,0.8276,model.decoder.layers.5.self_attn.out_proj,0,1257.0,4096,826,4096,1,0.05242701040022094,6.727,186.9,success,2.59375,,7,6.7265625,0.4384765625
35,70,Linear,0.010820943029213326,4096,16384,4.0,2.5752082733688653,6.719684088321883,-0.9547465812295712,True,406.2,LAYER_TYPE.DENSE,7.234834023910228,4.234,2.61,model.decoder.layers.5.fc1,0,17120.0,4096,644,4096,1,0.06207190161179644,406.2,42.16,success,20.15625,,0,406.25,5.93359375
36,71,Linear,0.028750277348020714,4096,16384,4.0,5.364984909595839,12.259828797318617,-1.0142173278718174,True,192.8,LAYER_TYPE.DENSE,12.259058092435865,4.195,2.285,model.decoder.layers.5.fc2,0,15624.0,4096,262,4096,1,0.26966966830515904,192.8,81.06,success,13.8828125,,0,192.75,8.734375
37,75,Linear,0.026390201979001326,4096,4096,1.0,2.3935803735756114,5.165832642189552,-0.845448992805984,True,144.0,LAYER_TYPE.DENSE,5.617076912578013,3.525,2.158,model.decoder.layers.6.self_attn.k_proj,0,3354.0,4096,85,4096,1,0.15115501422342564,144.0,23.3,success,12.0,,11,144.0,7.4453125
38,76,Linear,0.03525663125258599,4096,4096,1.0,3.1240767838789973,2.9898391095716965,-0.9796600021202418,True,9.06,LAYER_TYPE.DENSE,4.1832915099245565,3.363,0.957,model.decoder.layers.6.self_attn.v_proj,0,2312.0,4096,524,4096,1,0.09279072513673053,9.06,255.1,success,3.009765625,,6,9.0625,1.2568359375
39,77,Linear,0.022147823473570416,4096,4096,1.0,2.171693243764005,5.539514406944903,-0.8301794767762181,True,355.8,LAYER_TYPE.DENSE,5.841049834589427,3.709,2.55,model.decoder.layers.6.self_attn.q_proj,0,5120.0,4096,212,4096,1,0.08047222236914624,355.8,14.39,success,18.859375,,10,355.75,4.5390625
