,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,7,Linear,0.02302537572040131,2048,2048,1.0,3.1703115178249814,4.083633683604639,-0.7976312978706646,True,19.42,LAYER_TYPE.DENSE,4.537855188568237,3.127,1.288,model.layers.0.self_attn.k_proj,0,1338.0,2048,185,2048,1,0.1595644762403532,19.42,68.9,success,4.40625,,3,19.421875,1.7255859375
1,8,Linear,0.015419468567882011,2048,2048,1.0,3.1239523089802392,4.966596053730302,-0.7960239803938471,True,38.88,LAYER_TYPE.DENSE,5.001945212956589,3.062,1.59,model.layers.0.self_attn.v_proj,0,1155.0,2048,253,2048,1,0.13353173759059084,38.88,29.7,success,6.234375,,3,38.875,1.1962890625
2,9,Linear,0.022533910435773907,2048,2048,1.0,2.6499645092376403,3.4832541303065074,-0.7835672699485118,True,20.64,LAYER_TYPE.DENSE,4.262685102435133,3.143,1.314,model.layers.0.self_attn.q_proj,0,1391.0,2048,335,2048,1,0.09014719110935675,20.64,67.4,success,4.54296875,,3,20.640625,1.12890625
3,10,Linear,0.028170409243012506,2048,2048,1.0,2.766650851578273,4.087834705505788,-0.7895947104865773,True,30.0,LAYER_TYPE.DENSE,4.457630291844264,3.182,1.478,model.layers.0.self_attn.out_proj,0,1518.0,2048,364,2048,1,0.0925976649745684,30.0,50.6,success,5.4765625,,2,30.0,1.2158203125
4,13,Linear,0.032096610998778696,2048,16384,8.0,3.7678206309015256,10.78097114115378,-0.836608746683488,True,726.5,LAYER_TYPE.DENSE,10.787244060041902,4.277,2.861,model.layers.0.fc1,0,19000.0,2048,615,2048,1,0.11160929999455686,726.5,26.16,success,26.953125,,0,726.5,9.5859375
5,14,Linear,0.04605511871165652,2048,16384,8.0,4.716244709868265,7.751406100301065,-0.8510746039748451,True,44.0,LAYER_TYPE.DENSE,8.206498540032026,3.838,1.644,model.layers.0.fc2,0,6892.0,2048,319,2048,1,0.20806975819345533,44.0,156.6,success,6.6328125,,0,44.0,5.1171875
6,18,Linear,0.05890724497417632,2048,2048,1.0,3.109767736109434,4.962266094533999,-0.7823617818408987,True,39.4,LAYER_TYPE.DENSE,5.346967339052266,3.309,1.596,model.layers.1.self_attn.k_proj,0,2036.0,2048,234,2048,1,0.13791983148167278,39.4,51.66,success,6.27734375,,4,39.40625,2.458984375
7,19,Linear,0.021322921337032508,2048,2048,1.0,3.0653653174323123,3.846674250879415,-0.798033127239869,True,17.97,LAYER_TYPE.DENSE,4.144993509543035,3.041,1.255,model.layers.1.self_attn.v_proj,0,1101.0,2048,229,2048,1,0.13648318184941027,17.97,61.28,success,4.23828125,,2,17.96875,1.244140625
8,20,Linear,0.043191723847097796,2048,2048,1.0,3.086165335712205,4.204297503240748,-0.7843709286869205,True,23.05,LAYER_TYPE.DENSE,5.1737117805485315,3.379,1.362,model.layers.1.self_attn.q_proj,0,2392.0,2048,220,2048,1,0.14064923824127518,23.05,103.8,success,4.80078125,,4,23.046875,3.103515625
9,21,Linear,0.048381954323731435,2048,2048,1.0,2.7951019970901974,3.3355611723088097,-0.7952203216554383,True,15.59,LAYER_TYPE.DENSE,4.312701231051411,3.246,1.193,model.layers.1.self_attn.out_proj,0,1759.0,2048,279,2048,1,0.1074699454520839,15.59,112.8,success,3.94921875,,2,15.59375,1.787109375
10,24,Linear,0.04993981245627632,2048,16384,8.0,2.4444861360103958,6.402452946074103,-0.8358050879450792,True,415.8,LAYER_TYPE.DENSE,6.668148028699323,4.273,2.62,model.layers.1.fc1,0,18720.0,2048,82,2048,1,0.15951680839358634,415.8,45.03,success,20.390625,,0,415.75,17.9375
11,25,Linear,0.011861935468237217,2048,16384,8.0,4.07298189280484,5.946394462639879,-0.8518782627132538,True,28.84,LAYER_TYPE.DENSE,6.68533620115488,3.85,1.46,model.layers.1.fc2,0,7076.0,2048,288,2048,1,0.1810771945721479,28.84,245.4,success,5.37109375,,0,28.84375,5.2578125
12,29,Linear,0.05508065872386958,2048,2048,1.0,2.7690958780977297,4.613357000033913,-0.7711105595031764,True,46.3,LAYER_TYPE.DENSE,5.067999865631526,3.24,1.666,model.layers.2.self_attn.k_proj,0,1738.0,2048,304,2048,1,0.10146460729029412,46.3,37.53,success,6.8046875,,3,46.3125,1.552734375
13,30,Linear,0.026766029808619307,2048,2048,1.0,2.8595865853924782,3.060651267177887,-0.7960239803938471,True,11.766,LAYER_TYPE.DENSE,3.9652618943162845,3.078,1.07,model.layers.2.self_attn.v_proj,0,1198.0,2048,277,2048,1,0.11173172919508115,11.766,101.8,success,3.4296875,,2,11.765625,1.185546875
14,31,Linear,0.035923791783941894,2048,2048,1.0,2.581135687352211,3.410426352526896,-0.7719142182415852,True,20.95,LAYER_TYPE.DENSE,4.61515084496218,3.285,1.321,model.layers.2.self_attn.q_proj,0,1932.0,2048,265,2048,1,0.0971283931792356,20.95,92.2,success,4.578125,,3,20.953125,1.904296875
15,32,Linear,0.06694012005077987,2048,2048,1.0,2.331298698898425,2.604497765175584,-0.7891928811173728,True,13.11,LAYER_TYPE.DENSE,3.9453085859178887,3.229,1.117,model.layers.2.self_attn.out_proj,0,1692.0,2048,480,2048,1,0.06076519401366211,13.11,129.1,success,3.62109375,,3,13.109375,1.029296875
16,35,Linear,0.04668797153453774,2048,16384,8.0,2.5378504830619693,6.622203604239826,-0.8350014292066705,True,407.0,LAYER_TYPE.DENSE,6.854860646651789,4.273,2.61,model.layers.2.fc1,0,18700.0,2048,118,2048,1,0.14157061208295244,407.0,45.97,success,20.171875,,0,407.0,15.90625
17,36,Linear,0.016427070724401693,2048,16384,8.0,3.3568853316987575,4.999267705899029,-0.8462526515443927,True,30.86,LAYER_TYPE.DENSE,6.15327589703436,3.88,1.489,model.layers.2.fc2,0,7604.0,2048,407,2048,1,0.11682646853900128,30.86,246.4,success,5.5546875,,0,30.859375,4.8359375
18,40,Linear,0.04010719671847063,2048,2048,1.0,2.1995094478316837,4.066085336665408,-0.7482062854585276,True,70.56,LAYER_TYPE.DENSE,4.641566560266226,3.238,1.849,model.layers.3.self_attn.k_proj,0,1731.0,2048,61,2048,1,0.15358144715039965,70.56,24.53,success,8.3984375,,3,70.5625,2.953125
19,41,Linear,0.02456835114885425,2048,2048,1.0,2.9951553749540154,3.0127051134791367,-0.7996404447166864,True,10.13,LAYER_TYPE.DENSE,3.944917100826042,3.07,1.006,model.layers.3.self_attn.v_proj,0,1175.0,2048,259,2048,1,0.12421294809187174,10.13,115.94,success,3.18359375,,3,10.1328125,1.2373046875
20,42,Linear,0.04171203511852817,2048,2048,1.0,2.5126074159895166,3.771364842163952,-0.7707087301339721,True,31.69,LAYER_TYPE.DENSE,4.60912105017079,3.262,1.501,model.layers.3.self_attn.q_proj,0,1828.0,2048,389,2048,1,0.07669224034957328,31.69,57.7,success,5.62890625,,4,31.6875,1.2744140625
21,43,Linear,0.04889737359081994,2048,2048,1.0,6.396607102895052,7.089989318150277,-0.7928093454402122,True,12.83,LAYER_TYPE.DENSE,7.380278187473641,3.182,1.108,model.layers.3.self_attn.out_proj,0,1519.0,2048,28,2048,1,1.0198628798417904,12.83,118.44,success,3.58203125,under-trained,3,12.828125,5.76953125
