,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.03400326522596597,6656,32016,4.810096153846154,2.000899725370071,6.112123379841389,-1.1034234478351863,True,1135.0,LAYER_TYPE.EMBEDDING,6.629695019362389,4.645,3.055,model.embed_tokens,0,44030.0,6656,3460,6656,1,0.017015805813122946,1135.0,38.78,success,33.6875,,0,1135.0,1.9560546875
1,6,Linear,0.02495982100201899,6656,6656,1.0,1.384637169944527,4.02680614462383,-0.9676051210441109,True,809.5,LAYER_TYPE.DENSE,4.941093342412381,4.215,2.908,model.layers.0.self_attn.q_proj,0,16350.0,6656,3365,6656,1,0.00663068988055583,809.5,20.2,success,28.453125,over-trained,34,809.5,0.01422119140625
2,7,Linear,0.02362113355356099,6656,6656,1.0,1.4022719840291047,4.075352953584585,-0.9314404778157181,True,805.0,LAYER_TYPE.DENSE,5.075708547417061,4.23,2.906,model.layers.0.self_attn.k_proj,0,17040.0,6656,2558,6656,1,0.007953705700888956,805.0,21.17,success,28.375,over-trained,42,805.0,0.0233917236328125
3,8,Linear,0.03125904880570818,6656,6656,1.0,3.689799854540373,4.522166813914227,-1.128336868725857,True,16.8,LAYER_TYPE.DENSE,5.0647378111690795,3.441,1.226,model.layers.0.self_attn.v_proj,0,2764.0,6656,260,6656,1,0.16681430552800336,16.8,164.5,success,4.09765625,,14,16.796875,2.494140625
4,9,Linear,0.013608354524134003,6656,6656,1.0,4.056376469245511,7.375950181381974,-1.1379807735867618,True,65.9,LAYER_TYPE.DENSE,7.378639813257478,3.424,1.818,model.layers.0.self_attn.o_proj,0,2650.0,6656,198,6656,1,0.21720721756519143,65.9,40.22,success,8.1171875,,14,65.875,2.318359375
5,12,Linear,0.03022026839586678,6656,17920,2.6923076923076925,1.6443219972106702,3.343240623234976,-1.0841356381133769,True,108.1,LAYER_TYPE.DENSE,4.971417526534368,4.14,2.033,model.layers.0.mlp.gate_proj,0,13830.0,6656,3179,6656,1,0.011427670101177602,108.1,127.94,success,10.3984375,over-trained,0,108.125,0.291748046875
6,13,Linear,0.04069701960708394,6656,17920,2.6923076923076925,10.397335019495927,18.13441439923801,-1.1042271065735951,True,55.5,LAYER_TYPE.DENSE,18.452963882238556,4.105,1.744,model.layers.0.mlp.up_proj,0,12700.0,6656,41,6656,1,1.467617161722216,55.5,228.9,success,7.44921875,under-trained,0,55.5,32.15625
7,14,Linear,0.02913341018368254,6656,17920,2.6923076923076925,5.134004461852421,12.514135875765277,-1.1773600517687894,True,273.2,LAYER_TYPE.DENSE,12.50981193210918,4.438,2.438,model.layers.0.mlp.down_proj,0,27440.0,6656,402,6656,1,0.20618540231042004,273.2,100.44,success,16.53125,,0,273.25,13.125
8,20,Linear,0.03456531114188932,6656,6656,1.0,2.9040987473430606,8.224498405561402,-1.0246648914711307,True,678.5,LAYER_TYPE.DENSE,8.574405502545112,4.387,2.832,model.layers.1.self_attn.q_proj,0,24400.0,6656,74,6656,1,0.22134698331369493,678.5,35.97,success,26.046875,,23,678.5,71.1875
9,21,Linear,0.0458423411668335,6656,6656,1.0,3.1978394439423385,9.168805280678423,-1.027075867686357,True,737.5,LAYER_TYPE.DENSE,9.373577953682847,4.395,2.867,model.layers.1.self_attn.k_proj,0,24770.0,6656,60,6656,1,0.2837398521342149,737.5,33.6,success,27.15625,,28,737.5,82.8125
