,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.026157012615746655,5120,30080,5.875,3.855118528501384,12.19783596908641,-1.0254685502095395,True,1461.0,LAYER_TYPE.EMBEDDING,12.211185102924068,4.605,3.164,gpt_neox.embed_in,0,40160.0,5120,175,5120,1,0.21582667400078118,1461.0,27.48,success,38.21875,,0,1461.0,40.40625
1,12,Linear,0.02210793685448495,5120,15360,3.0,2.856571760608858,7.4482876961188,-1.009395375441365,True,404.5,LAYER_TYPE.DENSE,7.620669802235631,4.254,2.607,gpt_neox.layers.0.attention.query_key_value,0,17970.0,5120,210,5120,1,0.1281156230443771,404.5,44.4,success,20.109375,,0,404.5,17.28125
2,13,Linear,0.022644661070905348,5120,5120,1.0,3.445707820172199,7.106772379105161,-1.0310941613784006,True,115.56,LAYER_TYPE.DENSE,7.217683646656242,3.627,2.062,gpt_neox.layers.0.attention.dense,0,4240.0,5120,321,5120,1,0.13650609906896588,115.56,36.7,success,10.75,,8,115.5625,2.890625
3,16,Linear,0.07613665570203365,5120,20480,4.0,5.404782007285527,16.562701112169904,-1.0415417249777141,True,1158.0,LAYER_TYPE.DENSE,16.55871645067584,4.504,3.064,gpt_neox.layers.0.mlp.dense_h_to_4h,0,31970.0,5120,301,5120,1,0.25388741410754034,1158.0,27.61,success,34.03125,,0,1158.0,23.65625
4,17,Linear,0.05842211309562262,5120,20480,4.0,6.419234232442459,19.032026493843073,-1.0616331934379324,True,920.5,LAYER_TYPE.DENSE,19.026763004762483,4.29,2.965,gpt_neox.layers.0.mlp.dense_4h_to_h,0,19380.0,5120,355,5120,1,0.28762308897738154,920.5,21.05,success,30.34375,under-trained,0,920.5,10.1484375
5,26,Linear,0.01699815820100714,5120,15360,3.0,3.34893857571463,8.313478378385343,-1.009395375441365,True,304.0,LAYER_TYPE.DENSE,8.91018645108014,4.465,2.482,gpt_neox.layers.1.attention.query_key_value,0,29260.0,5120,125,5120,1,0.21009545321077797,304.0,96.25,success,17.4375,,0,304.0,41.4375
6,27,Linear,0.03947513997769858,5120,5120,1.0,7.127534023787688,10.43376318521264,-1.0487746536233926,True,29.1,LAYER_TYPE.DENSE,10.439042716296578,3.744,1.464,gpt_neox.layers.1.attention.dense,0,5536.0,5120,122,5120,1,0.5547608642445339,29.1,190.2,success,5.39453125,under-trained,5,29.09375,5.90234375
7,30,Linear,0.034926114032560074,5120,20480,4.0,2.8510898836924525,8.753736908524484,-0.9499246287991189,True,1177.0,LAYER_TYPE.DENSE,8.787066567558426,4.156,3.07,gpt_neox.layers.1.mlp.dense_h_to_4h,0,14390.0,5120,79,5120,1,0.20826388316689393,1177.0,12.23,success,34.3125,,0,1177.0,29.734375
8,31,Linear,0.012127803316376196,5120,20480,4.0,2.1461169511140445,7.565900579611036,-0.8856319297264205,True,3356.0,LAYER_TYPE.DENSE,7.575108914931303,4.164,3.525,gpt_neox.layers.1.mlp.dense_4h_to_h,0,14640.0,5120,1063,5120,1,0.03515299266563103,3356.0,4.363,success,57.9375,,0,3356.0,2.05859375
9,40,Linear,0.02023973725522632,5120,15360,3.0,3.1953259314414644,7.420395571257619,-1.0238612327327221,True,209.6,LAYER_TYPE.DENSE,8.105996924948764,4.36,2.322,gpt_neox.layers.2.attention.query_key_value,0,22830.0,5120,113,5120,1,0.20651889166106438,209.6,108.94,success,14.4765625,,0,209.625,31.078125
10,41,Linear,0.043371052120664166,5120,5120,1.0,4.11834966671914,5.698927224356466,-1.0511856298386189,True,24.22,LAYER_TYPE.DENSE,6.205578078149167,3.727,1.384,gpt_neox.layers.2.attention.dense,0,5332.0,5120,140,5120,1,0.26354864885589324,24.22,220.1,success,4.921875,,5,24.21875,5.3125
11,44,Linear,0.0375520234905416,5120,20480,4.0,2.462412232886661,6.160839981109009,-1.0222539152559047,True,317.8,LAYER_TYPE.DENSE,7.033500283906987,4.51,2.502,gpt_neox.layers.2.mlp.dense_h_to_4h,0,32420.0,5120,514,5120,1,0.06450423837455353,317.8,102.0,success,17.828125,,0,317.75,15.1953125
12,45,Linear,0.02183413777337251,5120,20480,4.0,3.459785541592714,8.43322725763224,-1.0905649080206465,True,274.2,LAYER_TYPE.DENSE,8.452750238602206,4.395,2.438,gpt_neox.layers.2.mlp.dense_4h_to_h,0,24740.0,5120,44,5120,1,0.3708266230092808,274.2,90.2,success,16.5625,,0,274.25,18.53125
13,54,Linear,0.02942380386112675,5120,15360,3.0,2.611168126404187,6.731917825885795,-1.0142173278718174,True,379.0,LAYER_TYPE.DENSE,7.046706409044796,4.254,2.578,gpt_neox.layers.3.attention.query_key_value,0,17900.0,5120,258,5120,1,0.10030694619807948,379.0,47.25,success,19.46875,,0,379.0,13.7890625
14,55,Linear,0.03640803897668676,5120,5120,1.0,4.588023198420904,6.671451701610085,-1.0439527011929404,True,28.47,LAYER_TYPE.DENSE,6.909368548535982,3.684,1.454,gpt_neox.layers.3.attention.dense,0,4828.0,5120,57,5120,1,0.4752452824208498,28.47,169.6,success,5.3359375,,7,28.46875,7.03515625
15,58,Linear,0.02860012689232494,5120,20480,4.0,3.0940733103396494,10.212859168894546,-1.0286831851631744,True,2000.0,LAYER_TYPE.DENSE,10.216876454661685,4.53,3.3,gpt_neox.layers.3.mlp.dense_h_to_4h,0,33860.0,5120,155,5120,1,0.16820001590036474,2000.0,16.92,success,44.71875,,0,2000.0,29.734375
16,59,Linear,0.029122430688533596,5120,20480,4.0,3.129073297321532,7.413214667287145,-1.0881539318054205,True,233.8,LAYER_TYPE.DENSE,7.5166798547545675,4.383,2.37,gpt_neox.layers.3.mlp.dense_4h_to_h,0,24130.0,5120,128,5120,1,0.18818527077240718,233.8,103.25,success,15.2890625,,0,233.75,13.15625
17,68,Linear,0.024865500630539272,5120,15360,3.0,3.1939724132253082,7.548255117192623,-1.0439527011929404,True,230.6,LAYER_TYPE.DENSE,7.744489850307705,4.246,2.363,gpt_neox.layers.4.attention.query_key_value,0,17700.0,5120,136,5120,1,0.18813158235491803,230.6,76.75,success,15.1875,,0,230.625,18.328125
18,69,Linear,0.016280705058554057,5120,5120,1.0,4.732185830090647,7.736014726144281,-1.0495783123618014,True,43.12,LAYER_TYPE.DENSE,7.771555353166647,3.73,1.635,gpt_neox.layers.4.attention.dense,0,5376.0,5120,90,5120,1,0.39340692913642106,43.12,124.7,success,6.56640625,,5,43.125,6.1640625
