,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,6,Linear,0.01970385211057868,4096,4096,1.0,1.5545430271551437,4.132291132730763,-0.6670367528792459,True,455.0,LAYER_TYPE.DENSE,4.574583768987537,3.484,2.658,model.layers.0.self_attn.q_proj,0,3050.0,4096,472,4096,1,0.0255249117665763,455.0,6.703,success,21.328125,over-trained,136,455.0,0.14501953125
1,7,Linear,0.03164234624181583,4096,4096,1.0,1.4597790072613226,3.706470135624452,-0.6895391975546904,True,345.8,LAYER_TYPE.DENSE,4.447327055654568,3.584,2.54,model.layers.0.self_attn.k_proj,0,3832.0,4096,638,4096,1,0.018202825210384882,345.8,11.086,success,18.59375,over-trained,153,345.75,0.067626953125
2,8,Linear,0.06817702612614984,4096,4096,1.0,3.2388220053477497,3.9125222857569986,-0.9306368190773093,True,16.16,LAYER_TYPE.DENSE,4.859414766464411,3.31,1.208,model.layers.0.self_attn.v_proj,0,2040.0,4096,123,4096,1,0.20186778196473135,16.16,126.25,success,4.01953125,,9,16.15625,3.501953125
3,9,Linear,0.05002358842673671,4096,4096,1.0,2.3207966093882235,2.982586267534084,-0.9250112079084483,True,19.28,LAYER_TYPE.DENSE,3.420295470320018,2.934,1.285,model.layers.0.self_attn.o_proj,0,858.5,4096,404,4096,1,0.06571208735222693,19.28,44.53,success,4.390625,,13,19.28125,0.51123046875
4,12,Linear,0.013899117615622458,4096,11008,2.6875,2.705382786058351,5.807061878668218,-0.9772490259050157,True,140.1,LAYER_TYPE.DENSE,6.444952204988216,4.086,2.146,model.layers.0.mlp.gate_proj,0,12136.0,4096,727,4096,1,0.06329269154498379,140.1,86.6,success,11.8359375,,0,140.125,4.3203125
5,13,Linear,0.027574414160202676,4096,11008,2.6875,2.985343141313394,6.098962745730098,-0.9860892720275117,True,110.25,LAYER_TYPE.DENSE,6.695727801829767,4.07,2.043,model.layers.0.mlp.up_proj,0,11736.0,4096,589,4096,1,0.08180463900196197,110.25,106.44,success,10.5,,0,110.25,5.1171875
6,14,Linear,0.018384785854771435,4096,11008,2.6875,4.233803702492407,8.13270691679938,-1.0069843992261387,True,83.44,LAYER_TYPE.DENSE,8.200593680625964,4.105,1.921,model.layers.0.mlp.down_proj,0,12710.0,4096,451,4096,1,0.15227386917451816,83.44,152.4,success,9.1328125,,0,83.4375,6.48828125
7,20,Linear,0.033790821722890274,4096,4096,1.0,2.9112053932592215,7.351930807586276,-0.8478599690212102,True,336.0,LAYER_TYPE.DENSE,7.772808847539631,4.066,2.525,model.layers.1.self_attn.q_proj,0,11630.0,4096,84,4096,1,0.20852960436233872,336.0,34.62,success,18.328125,,44,336.0,34.59375
8,21,Linear,0.030518278244431762,4096,4096,1.0,3.086683317859545,8.060342960894944,-0.8446453340675752,True,409.5,LAYER_TYPE.DENSE,8.314686026211566,4.062,2.611,model.layers.1.self_attn.k_proj,0,11580.0,4096,73,4096,1,0.24422780935730914,409.5,28.28,success,20.234375,,49,409.5,38.0
9,22,Linear,0.020488599924743722,4096,4096,1.0,4.246669024467648,4.325464641132575,-0.9635868273520674,True,10.44,LAYER_TYPE.DENSE,4.807808301895888,3.229,1.019,model.layers.1.self_attn.v_proj,0,1692.0,4096,140,4096,1,0.2743936139724115,10.44,162.1,success,3.23046875,,8,10.4375,2.130859375
10,23,Linear,0.017653848905350156,4096,4096,1.0,3.8100396157226872,4.476052400111712,-0.9603721923984324,True,14.97,LAYER_TYPE.DENSE,4.589997225819516,3.059,1.175,model.layers.1.self_attn.o_proj,0,1147.0,4096,86,4096,1,0.3030143645749018,14.97,76.6,success,3.869140625,,12,14.96875,1.5048828125
11,26,Linear,0.012887390893944306,4096,11008,2.6875,2.629677473414441,6.05031262437932,-0.976445367166607,True,200.0,LAYER_TYPE.DENSE,6.461235917097394,4.17,2.3,model.layers.1.mlp.gate_proj,0,14900.0,4096,686,4096,1,0.062221375065920785,200.0,74.5,success,14.140625,,0,200.0,5.4921875
12,27,Linear,0.0606254825835012,4096,11008,2.6875,4.394805363938447,7.579322531948533,-1.002966105534095,True,53.03,LAYER_TYPE.DENSE,7.815790403402829,4.12,1.725,model.layers.1.mlp.up_proj,0,13224.0,4096,285,4096,1,0.2010909147539486,53.03,249.4,success,7.28125,,0,53.03125,8.7578125
13,28,Linear,0.01998855724484394,4096,11008,2.6875,4.875958539002957,8.004381156312471,-1.0174319628254522,True,43.78,LAYER_TYPE.DENSE,8.211593090506705,4.133,1.642,model.layers.1.mlp.down_proj,0,13590.0,4096,478,4096,1,0.17728221713022024,43.78,310.5,success,6.6171875,,0,43.78125,6.19140625
14,34,Linear,0.02204222488138957,4096,4096,1.0,3.068795462472192,7.43223901067484,-0.9185819380011784,True,264.0,LAYER_TYPE.DENSE,7.6282756798467455,4.07,2.422,model.layers.2.self_attn.q_proj,0,11750.0,4096,123,4096,1,0.18653700488489428,264.0,44.5,success,16.25,,14,264.0,19.28125
15,35,Linear,0.028738299039897663,4096,4096,1.0,3.326290554170684,8.536612867539608,-0.9161709617859523,True,368.8,LAYER_TYPE.DENSE,8.591069523905691,4.113,2.566,model.layers.2.self_attn.k_proj,0,13000.0,4096,105,4096,1,0.22702271215146544,368.8,35.25,success,19.203125,,22,368.75,24.140625
16,36,Linear,0.025626471139775786,4096,4096,1.0,4.113316542387145,4.478855414806315,-0.9804636608586507,True,12.28,LAYER_TYPE.DENSE,5.406906380454127,3.537,1.089,model.layers.2.self_attn.v_proj,0,3438.0,4096,193,4096,1,0.22410142842767328,12.28,280.0,success,3.50390625,,4,12.28125,3.193359375
17,37,Linear,0.011811385229814508,4096,4096,1.0,4.44335974227333,6.951428034298706,-0.9860892720275117,True,36.66,LAYER_TYPE.DENSE,6.956970336458703,3.51,1.564,model.layers.2.self_attn.o_proj,0,3234.0,4096,261,4096,1,0.2131386172688974,36.66,88.25,success,6.0546875,,5,36.65625,2.431640625
18,40,Linear,0.015245469623124341,4096,11008,2.6875,2.870078564270433,5.902720172220246,-0.994125859411599,True,113.9,LAYER_TYPE.DENSE,6.526906585772592,4.195,2.057,model.layers.2.mlp.gate_proj,0,15720.0,4096,885,4096,1,0.06286200325889851,113.9,138.0,success,10.671875,,0,113.875,5.01171875
19,41,Linear,0.05941542900110941,4096,11008,2.6875,18.60214679271695,24.397151506463736,-1.0110026929181823,True,20.47,LAYER_TYPE.DENSE,24.550265264365848,4.137,1.312,model.layers.2.mlp.up_proj,0,13690.0,4096,14,4096,1,4.70437161214633,20.47,668.5,success,4.5234375,under-trained,0,20.46875,15.921875
