,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.023985216468616843,5120,32000,6.25,2.708927418582916,7.43896865337418,-1.0704734395604283,True,557.5,LAYER_TYPE.EMBEDDING,7.612002152662853,4.555,2.746,model.embed_tokens,0,35800.0,5120,1899,5120,1,0.03921580509352671,557.5,64.25,success,23.609375,,0,557.5,5.734375
1,6,Linear,0.02639054781024408,5120,5120,1.0,1.3883185103705298,4.089031862575701,-0.8575038738821149,True,881.5,LAYER_TYPE.DENSE,4.824810503598932,4.1,2.945,model.layers.0.self_attn.q_proj,0,12640.0,5120,2548,5120,1,0.007692869782157912,881.5,14.336,success,29.6875,over-trained,32,881.5,0.01305389404296875
2,7,Linear,0.02094775767463153,5120,5120,1.0,1.379837817661762,4.252703273965353,-0.7912020279633947,True,1208.0,LAYER_TYPE.DENSE,4.949959754324527,4.1,3.082,model.layers.0.self_attn.k_proj,0,12680.0,5120,2313,5120,1,0.007897877360888227,1208.0,10.5,success,34.75,over-trained,41,1208.0,0.0103912353515625
3,8,Linear,0.04042939273410989,5120,5120,1.0,5.346026154003802,4.690824706418375,-1.0367197725472617,True,7.543,LAYER_TYPE.DENSE,5.0307105781040224,3.18,0.8774,model.layers.0.self_attn.v_proj,0,1514.0,5120,54,5120,1,0.5914192492277631,7.543,200.8,success,2.74609375,,11,7.54296875,2.57421875
4,9,Linear,0.035560288817098495,5120,5120,1.0,4.833943844462675,7.019604000699217,-1.039130748762488,True,28.31,LAYER_TYPE.DENSE,7.018931496894513,3.059,1.452,model.layers.0.self_attn.o_proj,0,1142.0,5120,108,5120,1,0.36892141844307236,28.31,40.34,success,5.3203125,,10,28.3125,1.3349609375
5,12,Linear,0.022908839108013918,5120,13824,2.7,1.98609897482848,3.6502326861593746,-1.0069843992261387,True,68.8,LAYER_TYPE.DENSE,5.278457843954651,4.055,1.838,model.layers.0.mlp.gate_proj,0,11340.0,5120,1824,5120,1,0.02308915771599021,68.8,164.9,success,8.296875,over-trained,0,68.8125,1.0537109375
6,13,Linear,0.024157091304997325,5120,13824,2.7,2.008731664190729,3.4113128554957792,-1.0158246453486348,True,49.94,LAYER_TYPE.DENSE,5.218778308261507,4.04,1.698,model.layers.0.mlp.up_proj,0,10930.0,5120,1722,5120,1,0.024308551454854978,49.94,218.9,success,7.06640625,,0,49.9375,1.158203125
7,14,Linear,0.032636665100615914,5120,13824,2.7,3.1648740021837845,6.750082832782603,-1.0688661220836109,True,136.0,LAYER_TYPE.DENSE,6.851778288569642,4.125,2.133,model.layers.0.mlp.down_proj,0,13290.0,5120,28,5120,1,0.40912273068338534,136.0,97.7,success,11.6640625,,0,136.0,13.625
8,20,Linear,0.012878998917900009,5120,5120,1.0,1.3824049549650104,3.7908135874431146,-0.7562428728426149,True,551.5,LAYER_TYPE.DENSE,4.7136811951253375,3.904,2.742,model.layers.1.self_attn.q_proj,0,8016.0,5120,2066,5120,1,0.008413144580576529,551.5,14.53,success,23.484375,over-trained,71,551.5,0.00386810302734375
9,21,Linear,0.011887375090245844,5120,5120,1.0,1.3791240598401677,3.6282814621185664,-0.7707087301339721,True,426.8,LAYER_TYPE.DENSE,4.589451744599418,3.838,2.63,model.layers.1.self_attn.k_proj,0,6876.0,5120,2168,5120,1,0.00814238638639531,426.8,16.11,success,20.65625,over-trained,76,426.75,0.002918243408203125
