,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,4,OPTLearnedPositionalEmbedding,0.0993499364859805,1024,2050,2.001953125,1.538238831817949,3.668339089159601,-0.2204034090085942,True,242.0,LAYER_TYPE.EMBEDDING,4.013811577449479,2.816,2.385,model.decoder.embed_positions,0,655.5,1024,875,1024,1,0.018195793550841843,242.0,2.709,success,15.5546875,over-trained,0,242.0,0.0005125999450683594
1,5,Linear,0.07656702156984585,512,1024,2.0,4.63363010933306,7.968576779819842,-0.6200227166823352,True,52.44,LAYER_TYPE.DENSE,8.469776997582965,3.527,1.72,model.decoder.project_out,0,3368.0,512,28,512,1,0.6866915446922653,52.44,64.25,success,7.2421875,,0,52.4375,20.140625
2,6,Linear,0.06534053457997197,512,1024,2.0,8.624702462107901,11.126203078559119,-0.6184153992055178,True,19.52,LAYER_TYPE.DENSE,11.164680950329787,3.154,1.29,model.decoder.project_in,0,1425.0,512,20,512,1,1.7049353013483282,19.52,73.0,success,4.41796875,under-trained,0,19.515625,9.015625
3,10,Linear,0.035511049726397514,1024,1024,1.0,1.694873353369941,5.862540446910479,-0.3033811737492956,True,2878.0,LAYER_TYPE.DENSE,5.954701278635393,3.795,3.459,model.decoder.layers.0.self_attn.k_proj,0,6240.0,1024,393,1024,1,0.03505172394781691,2878.0,2.168,success,53.65625,over-trained,3,2878.0,0.1829833984375
4,11,Linear,0.029627031515236157,1024,1024,1.0,4.389436564858963,3.5235516174942068,-0.689137368185486,True,6.348,LAYER_TYPE.DENSE,3.6740661917242274,2.59,0.8027,model.decoder.layers.0.self_attn.v_proj,0,389.2,1024,58,1024,1,0.44505482473594205,6.348,61.3,success,2.51953125,,1,6.34765625,1.265625
5,12,Linear,0.04596531373014645,1024,1024,1.0,1.5363915743896739,4.9692664984166015,-0.3134269079794047,True,1714.0,LAYER_TYPE.DENSE,5.192995593809777,3.662,3.234,model.decoder.layers.0.self_attn.q_proj,0,4600.0,1024,53,1024,1,0.07367904915549078,1714.0,2.684,success,41.40625,over-trained,2,1714.0,1.5654296875
6,13,Linear,0.039830810997277255,1024,1024,1.0,3.364966845667092,2.448144824240218,-0.6421233319885753,True,5.34,LAYER_TYPE.DENSE,2.7673950182059075,2.219,0.7275,model.decoder.layers.0.self_attn.out_proj,0,165.4,1024,56,1024,1,0.31603198812734795,5.34,30.97,success,2.310546875,,3,5.33984375,0.716796875
7,16,Linear,0.05052572221876761,1024,4096,4.0,4.81788998239921,11.282519704876275,-0.6927538325083252,True,219.6,LAYER_TYPE.DENSE,11.28212978288856,3.656,2.342,model.decoder.layers.0.fc1,0,4524.0,1024,126,1024,1,0.34012467272700564,219.6,20.6,success,14.8203125,,0,219.625,9.6953125
8,17,Linear,0.03376875931351142,1024,4096,4.0,5.844247117268539,9.451243384957715,-0.726507499521492,True,41.44,LAYER_TYPE.DENSE,9.460430270059033,3.535,1.617,model.decoder.layers.0.fc2,0,3422.0,1024,57,1024,1,0.6416362052441241,41.44,82.56,success,6.4375,,0,41.4375,7.8671875
9,21,Linear,0.06459541786911371,1024,1024,1.0,2.974486931674715,5.446448239150479,-0.6469452844190277,True,67.8,LAYER_TYPE.DENSE,5.656388054692261,3.059,1.831,model.decoder.layers.1.self_attn.k_proj,0,1145.0,1024,153,1024,1,0.15962780736659943,67.8,16.89,success,8.234375,,2,67.8125,2.09375
10,22,Linear,0.06375086492832868,1024,1024,1.0,4.423940417516384,3.6268534965869184,-0.6819044395398074,True,6.605,LAYER_TYPE.DENSE,4.159772808768566,2.75,0.82,model.decoder.layers.1.self_attn.v_proj,0,563.0,1024,41,1024,1,0.5347296554859782,6.605,85.25,success,2.5703125,,2,6.60546875,2.296875
11,23,Linear,0.04615510633760089,1024,1024,1.0,2.815411077227863,4.440321181370115,-0.6569910186491368,True,37.8,LAYER_TYPE.DENSE,4.958903472410592,3.088,1.577,model.decoder.layers.1.self_attn.q_proj,0,1226.0,1024,151,1024,1,0.1477360582573353,37.8,32.44,success,6.1484375,,1,37.8125,2.27734375
12,24,Linear,0.03242421504294468,1024,1024,1.0,4.931681007725472,4.286324313355147,-0.6738678521557201,True,7.402,LAYER_TYPE.DENSE,4.353454301532084,2.564,0.869,model.decoder.layers.1.self_attn.out_proj,0,366.0,1024,37,1024,1,0.6463643760777743,7.402,49.44,success,2.720703125,,1,7.40234375,1.7021484375
13,27,Linear,0.05698871600609179,1024,4096,4.0,2.536313552747707,5.766150342574865,-0.6975757849387777,True,187.5,LAYER_TYPE.DENSE,5.964907110391522,3.672,2.273,model.decoder.layers.1.fc1,0,4704.0,1024,23,1024,1,0.320343520259131,187.5,25.1,success,13.6953125,,0,187.5,13.796875
14,28,Linear,0.04387034431323922,1024,4096,4.0,5.387965012564842,9.997200706907421,-0.726507499521492,True,71.75,LAYER_TYPE.DENSE,9.999670397616892,3.527,1.855,model.decoder.layers.1.fc2,0,3364.0,1024,96,1024,1,0.44784480374871,71.75,46.88,success,8.46875,,0,71.75,6.38671875
15,32,Linear,0.05504222594918584,1024,1024,1.0,2.9953520448673685,5.525605481205527,-0.6602056536027717,True,70.0,LAYER_TYPE.DENSE,5.6955838279505056,3.176,1.845,model.decoder.layers.2.self_attn.k_proj,0,1499.0,1024,162,1024,1,0.15676966242001783,70.0,21.42,success,8.3671875,,1,70.0,2.71484375
16,33,Linear,0.07157078095086178,1024,1024,1.0,3.55842593711016,3.0215345237473477,-0.6815026101706031,True,7.066,LAYER_TYPE.DENSE,4.018568726675124,2.857,0.849,model.decoder.layers.2.self_attn.v_proj,0,719.5,1024,92,1024,1,0.2667343425924737,7.066,101.8,success,2.658203125,,1,7.06640625,2.0546875
