,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,10,Linear,0.018211812740621225,4096,12288,3.0,3.8357151352348486,9.072365290565237,-0.9716234147361545,True,231.6,LAYER_TYPE.DENSE,9.115634140620498,4.215,2.365,transformer.h.0.attn.qkv_proj,0,16376.0,4096,195,4096,1,0.2030697786880417,231.6,70.7,success,15.21875,,0,231.625,15.734375
1,11,Linear,0.014439775801098731,4096,4096,1.0,3.5197897712477784,5.159379342424722,-0.9700160972593371,True,29.23,LAYER_TYPE.DENSE,5.355809025124467,3.443,1.466,transformer.h.0.attn.out_proj,0,2780.0,4096,250,4096,1,0.1593654980387528,29.23,95.06,success,5.40625,,7,29.234375,2.357421875
2,13,Linear,0.03757771896383977,4096,16384,4.0,4.09834344590042,12.335053222915132,-0.9684087797825197,True,1024.0,LAYER_TYPE.DENSE,12.33858585849227,4.348,3.01,transformer.h.0.mlp.fc_in,0,22340.0,4096,288,4096,1,0.1825716384200902,1024.0,21.81,success,32.0,,0,1024.0,16.4375
3,14,Linear,0.027011805477559214,4096,16384,4.0,7.130876354772526,10.139214816942186,-1.0110026929181823,True,26.42,LAYER_TYPE.DENSE,10.15084272871604,3.896,1.422,transformer.h.0.mlp.fc_out,0,7896.0,4096,216,4096,1,0.4171532984802006,26.42,298.8,success,5.140625,under-trained,0,26.421875,5.1953125
4,22,Linear,0.022458517103107978,4096,12288,3.0,4.12696189960988,9.616143644989426,-0.95555023996798,True,214.1,LAYER_TYPE.DENSE,9.65271184415267,4.14,2.33,transformer.h.1.attn.qkv_proj,0,13810.0,4096,117,4096,1,0.2890877298837359,214.1,64.5,success,14.6328125,,0,214.125,20.1875
5,23,Linear,0.02722732479651807,4096,4096,1.0,6.669751545102779,6.370133799912614,-0.976445367166607,True,9.016,LAYER_TYPE.DENSE,6.53004778241315,3.348,0.955,transformer.h.1.attn.out_proj,0,2228.0,4096,58,4096,1,0.7444748505883462,9.016,247.1,success,3.001953125,under-trained,5,9.015625,3.3203125
6,25,Linear,0.02806009442582147,4096,16384,4.0,2.7236410649307317,8.96886491303362,-0.9161709617859523,True,1966.0,LAYER_TYPE.DENSE,8.996929078662104,4.453,3.293,transformer.h.1.mlp.fc_in,0,28430.0,4096,195,4096,1,0.1234325004102065,1966.0,14.46,success,44.34375,,0,1966.0,26.953125
7,26,Linear,0.008567812762649285,4096,16384,4.0,3.9339370491863255,8.113745163946795,-1.0118063516565912,True,115.56,LAYER_TYPE.DENSE,8.263829265131154,4.1,2.062,transformer.h.1.mlp.fc_out,0,12620.0,4096,416,4096,1,0.1438480987062876,115.56,109.25,success,10.75,,0,115.5625,5.9140625
8,34,Linear,0.019413483102965312,4096,12288,3.0,3.5546937373698,7.880033968583444,-0.9772490259050157,True,165.0,LAYER_TYPE.DENSE,7.977848652969895,4.113,2.217,transformer.h.2.attn.qkv_proj,0,12970.0,4096,187,4096,1,0.1868177082228813,165.0,78.6,success,12.84375,,0,165.0,12.234375
9,35,Linear,0.07337469840819211,4096,4096,1.0,5.826482316399825,5.0298929372045365,-0.9812673195970594,True,7.297,LAYER_TYPE.DENSE,5.747430128029434,3.395,0.8633,transformer.h.2.attn.out_proj,0,2486.0,4096,86,4096,1,0.5204529729947484,7.297,340.8,success,2.701171875,,4,7.296875,3.21484375
10,37,Linear,0.031583167995199,4096,16384,4.0,2.802979396585923,8.359667067552156,-0.9523356050143451,True,960.0,LAYER_TYPE.DENSE,8.420531841038072,4.43,2.982,transformer.h.2.mlp.fc_in,0,27000.0,4096,145,4096,1,0.1497292891558845,960.0,28.14,success,30.984375,,0,960.0,29.859375
