,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,10,Linear,0.03442429747993325,4096,4096,1.0,4.729374672370105,7.602100303438665,-0.9659978035672935,True,40.5,LAYER_TYPE.DENSE,7.851376376330648,3.795,1.607,transformer.h.0.attn.k_proj,0,6236.0,4096,188,4096,1,0.27199260243886436,40.5,154.0,success,6.36328125,,5,40.5,6.73828125
1,11,Linear,0.02224131098159121,4096,4096,1.0,4.9228120561531785,4.307460549134031,-0.9836782958122855,True,7.5,LAYER_TYPE.DENSE,5.062102591853642,3.387,0.875,transformer.h.0.attn.v_proj,0,2434.0,4096,260,4096,1,0.24328247611415332,7.5,324.5,success,2.73828125,,6,7.5,1.953125
2,12,Linear,0.017638666714025697,4096,4096,1.0,4.374731772118031,6.797068602968543,-0.9643904860904761,True,35.78,LAYER_TYPE.DENSE,7.330091512708666,3.809,1.554,transformer.h.0.attn.q_proj,0,6436.0,4096,167,4096,1,0.2611445848836031,35.78,179.9,success,5.98046875,,5,35.78125,7.328125
3,13,Linear,0.019723468191042315,4096,4096,1.0,3.835898598749004,5.09080683173818,-0.976445367166607,True,21.25,LAYER_TYPE.DENSE,5.21941180962042,3.379,1.327,transformer.h.0.attn.out_proj,0,2396.0,4096,183,4096,1,0.2096356566465531,21.25,112.75,success,4.609375,,6,21.25,2.26171875
4,15,Linear,0.03993919318840089,4096,16384,4.0,5.284008520742532,13.550592163544813,-0.9949295181500077,True,367.5,LAYER_TYPE.DENSE,13.55486014496706,4.16,2.564,transformer.h.0.mlp.fc_in,0,14490.0,4096,264,4096,1,0.26366249809318193,367.5,39.44,success,19.171875,,0,367.5,9.890625
5,16,Linear,0.07190224255006727,4096,16384,4.0,9.138485045295047,14.671552162563533,-1.0158246453486348,True,40.28,LAYER_TYPE.DENSE,14.66821278224574,3.832,1.605,transformer.h.0.mlp.fc_out,0,6796.0,4096,317,4096,1,0.4571028600962521,40.28,168.8,success,6.34765625,under-trained,0,40.28125,3.66015625
6,24,Linear,0.023234962351447175,4096,4096,1.0,4.2939901918538155,7.409649090825871,-0.9531392637527538,True,53.12,LAYER_TYPE.DENSE,7.48069592838912,3.656,1.726,transformer.h.1.attn.k_proj,0,4540.0,4096,161,4096,1,0.25960279482495235,53.12,85.44,success,7.2890625,,7,53.125,5.70703125
7,25,Linear,0.04204031549402942,4096,4096,1.0,4.586336641585442,3.623385100627561,-0.9748380496897895,True,6.164,LAYER_TYPE.DENSE,4.36175162066631,3.197,0.79,transformer.h.1.attn.v_proj,0,1577.0,4096,131,4096,1,0.31333968723053235,6.164,255.9,success,2.482421875,,7,6.1640625,1.8720703125
8,26,Linear,0.018458147499018585,4096,4096,1.0,3.6813853131101086,5.478936735527154,-0.9523356050143451,True,30.81,LAYER_TYPE.DENSE,6.214089072353244,3.67,1.488,transformer.h.1.attn.q_proj,0,4670.0,4096,162,4096,1,0.21066952643046355,30.81,151.6,success,5.55078125,,8,30.8125,5.7890625
9,27,Linear,0.026401009941070197,4096,4096,1.0,5.787474837693482,5.640527234392671,-0.9820709783354681,True,9.43,LAYER_TYPE.DENSE,5.688723859528381,3.223,0.9746,transformer.h.1.attn.out_proj,0,1669.0,4096,35,4096,1,0.8092309456964721,9.43,177.0,success,3.0703125,,5,9.4296875,2.619140625
