,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,10,Linear,0.03441647014384128,4096,4096,1.0,4.748759149344166,7.61934695544186,-0.9659978035672935,True,40.2,LAYER_TYPE.DENSE,7.871829253142306,3.795,1.6045,transformer.h.0.attn.k_proj,0,6250.0,4096,187,4096,1,0.27413641906096686,40.2,155.5,success,6.33984375,,6,40.1875,6.76953125
1,11,Linear,0.02098153161028271,4096,4096,1.0,4.940574923840273,4.3471269593555535,-0.9836782958122855,True,7.586,LAYER_TYPE.DENSE,5.07585087703429,3.389,0.88,transformer.h.0.attn.v_proj,0,2444.0,4096,261,4096,1,0.24391546436484335,7.586,322.2,success,2.75390625,,5,7.5859375,1.9638671875
2,12,Linear,0.01776822284273538,4096,4096,1.0,4.415575609344736,6.826031435149138,-0.9643904860904761,True,35.12,LAYER_TYPE.DENSE,7.3714241873791675,3.809,1.546,transformer.h.0.attn.q_proj,0,6450.0,4096,148,4096,1,0.28075858562057665,35.12,183.6,success,5.92578125,,5,35.125,7.63671875
3,13,Linear,0.020020409892341995,4096,4096,1.0,3.8390228486334546,5.102451266591926,-0.9772490259050157,True,21.36,LAYER_TYPE.DENSE,5.229796019497613,3.38,1.329,transformer.h.0.attn.out_proj,0,2406.0,4096,179,4096,1,0.21219853061932112,21.36,112.6,success,4.62109375,,4,21.359375,2.2890625
4,15,Linear,0.038894401135070034,4096,16384,4.0,5.22097864745482,13.409349455865406,-0.9949295181500077,True,370.0,LAYER_TYPE.DENSE,13.408549111330906,4.164,2.568,transformer.h.0.mlp.fc_in,0,14616.0,4096,265,4096,1,0.2592926571391872,370.0,39.5,success,19.234375,,0,370.0,9.9765625
5,16,Linear,0.06252557192039293,4096,16384,4.0,8.743064180811988,14.079407064608368,-1.0158246453486348,True,40.75,LAYER_TYPE.DENSE,14.077455530070852,3.836,1.61,transformer.h.0.mlp.fc_out,0,6840.0,4096,322,4096,1,0.4315040966539143,40.75,167.9,success,6.3828125,under-trained,0,40.75,3.681640625
6,24,Linear,0.021138130430474966,4096,4096,1.0,4.280023019158605,7.385547534036382,-0.9539429224911625,True,53.12,LAYER_TYPE.DENSE,7.45746662879773,3.658,1.726,transformer.h.1.attn.k_proj,0,4548.0,4096,163,4096,1,0.25691123059570276,53.12,85.6,success,7.2890625,,8,53.125,5.6875
7,25,Linear,0.04004249112800745,4096,4096,1.0,4.557025772950614,3.6180292513758294,-0.9748380496897895,True,6.223,LAYER_TYPE.DENSE,4.356871446022897,3.2,0.794,transformer.h.1.attn.v_proj,0,1584.0,4096,134,4096,1,0.3072802254231167,6.223,254.5,success,2.494140625,,6,6.22265625,1.8642578125
8,26,Linear,0.01847342768630389,4096,4096,1.0,3.6860074867496517,5.48581582988913,-0.9531392637527538,True,30.81,LAYER_TYPE.DENSE,6.2195912502922885,3.67,1.488,transformer.h.1.attn.q_proj,0,4680.0,4096,162,4096,1,0.21103267868872383,30.81,151.9,success,5.55078125,,8,30.8125,5.80078125
9,27,Linear,0.027276354813399628,4096,4096,1.0,5.83243102670714,5.692885557806433,-0.9820709783354681,True,9.46,LAYER_TYPE.DENSE,5.738685512674799,3.225,0.976,transformer.h.1.attn.out_proj,0,1677.0,4096,34,4096,1,0.8287550838790358,9.46,177.2,success,3.076171875,,6,9.4609375,2.650390625
10,29,Linear,0.01301226422216284,4096,16384,4.0,3.1144388438766595,7.694853784187449,-0.9740343909513808,True,295.5,LAYER_TYPE.DENSE,7.967906387027783,4.277,2.47,transformer.h.1.mlp.fc_in,0,18990.0,4096,327,4096,1,0.11692873524884458,295.5,64.25,success,17.1875,,0,295.5,12.1171875
11,30,Linear,0.0063879348343373055,4096,16384,4.0,3.7766883409939846,7.332086349507853,-1.0134136691334086,True,87.44,LAYER_TYPE.DENSE,7.472879039398222,4.035,1.941,transformer.h.1.mlp.fc_out,0,10890.0,4096,539,4096,1,0.11960043359521372,87.44,124.5,success,9.3515625,,0,87.4375,4.5078125
12,38,Linear,0.01639285026273496,4096,4096,1.0,3.824221734852595,6.285317558356365,-0.9659978035672935,True,44.0,LAYER_TYPE.DENSE,6.514166467866285,3.676,1.644,transformer.h.2.attn.k_proj,0,4732.0,4096,134,4096,1,0.24397559835797686,44.0,107.56,success,6.6328125,,5,44.0,5.50390625
13,39,Linear,0.0774465503857188,4096,4096,1.0,6.7006041604101645,4.27948742276196,-0.9828746370738768,True,4.35,LAYER_TYPE.DENSE,5.222765231230853,3.273,0.6387,transformer.h.2.attn.v_proj,0,1874.0,4096,78,4096,1,0.6454663171581564,4.35,430.8,success,2.0859375,under-trained,5,4.3515625,2.38671875
14,40,Linear,0.049572628023259624,4096,4096,1.0,2.8050380883768824,4.045938727082671,-0.9603721923984324,True,27.69,LAYER_TYPE.DENSE,5.195171888450034,3.691,1.442,transformer.h.2.attn.q_proj,0,4916.0,4096,432,4096,1,0.08684493551849337,27.69,177.5,success,5.26171875,,6,27.6875,3.125
15,41,Linear,0.0416561932252707,4096,4096,1.0,7.230013258267451,6.848743027851003,-0.9836782958122855,True,8.86,LAYER_TYPE.DENSE,6.876735070555715,3.29,0.9473,transformer.h.2.attn.out_proj,0,1944.0,4096,23,4096,1,1.2990475641154449,8.86,219.4,success,2.9765625,under-trained,5,8.859375,3.21875
16,43,Linear,0.007635674952361948,4096,16384,4.0,2.9583184664472735,8.747840152736664,-0.9732307322129721,True,905.5,LAYER_TYPE.DENSE,8.763091987432455,4.31,2.957,transformer.h.2.mlp.fc_in,0,20290.0,4096,384,4096,1,0.09993502076386417,905.5,22.4,success,30.09375,,0,905.5,10.2734375
17,44,Linear,0.007664398003918049,4096,16384,4.0,4.0904691984152715,9.48317761429478,-1.0118063516565912,True,208.0,LAYER_TYPE.DENSE,9.482680792232577,4.043,2.318,transformer.h.2.mlp.fc_out,0,11064.0,4096,438,4096,1,0.14766833028083726,208.0,53.2,success,14.421875,,0,208.0,4.921875
18,52,Linear,0.06460917167836278,4096,4096,1.0,3.318449672375593,4.971193161547031,-0.9700160972593371,True,31.47,LAYER_TYPE.DENSE,5.431158671670761,3.629,1.498,transformer.h.3.attn.k_proj,0,4264.0,4096,374,4096,1,0.11988417854584045,31.47,135.5,success,5.609375,,5,31.46875,3.134765625
19,53,Linear,0.058345477449775474,4096,4096,1.0,3.329405433728569,2.9473691656981913,-0.9780526846434244,True,7.68,LAYER_TYPE.DENSE,4.3571998837393116,3.396,0.8853,transformer.h.3.attn.v_proj,0,2490.0,4096,375,4096,1,0.12028997935194417,7.68,324.2,success,2.771484375,,4,7.6796875,1.7177734375
20,54,Linear,0.01941722959645667,4096,4096,1.0,4.136311248903821,6.034813482287411,-0.9676051210441109,True,28.77,LAYER_TYPE.DENSE,6.4492211528638546,3.637,1.459,transformer.h.3.attn.q_proj,0,4336.0,4096,137,4096,1,0.2679531532484198,28.77,150.8,success,5.36328125,,4,28.765625,5.265625
21,55,Linear,0.058039830235393886,4096,4096,1.0,3.677703973745837,3.9686161044815917,-0.9780526846434244,True,11.99,LAYER_TYPE.DENSE,4.652737102433123,3.396,1.079,transformer.h.3.attn.out_proj,0,2488.0,4096,236,4096,1,0.17430368213549757,11.99,207.5,success,3.462890625,,5,11.9921875,2.201171875
22,57,Linear,0.011681469001965983,4096,16384,4.0,2.906815021370228,7.176199584007751,-0.9957331768884164,True,294.8,LAYER_TYPE.DENSE,7.256435644646586,4.242,2.469,transformer.h.3.mlp.fc_in,0,17540.0,4096,723,4096,1,0.07091521368592589,294.8,59.5,success,17.171875,,0,294.75,6.18359375
23,58,Linear,0.011187328378115313,4096,16384,4.0,3.6216057754168474,6.882465663048032,-1.0134136691334086,True,79.44,LAYER_TYPE.DENSE,7.002456517627138,4.055,1.9,transformer.h.3.mlp.fc_out,0,11320.0,4096,492,4096,1,0.11819111608810697,79.44,142.5,success,8.9140625,,0,79.4375,4.85546875
24,66,Linear,0.053655057721537114,4096,4096,1.0,2.4229047817132496,3.5917670494538214,-0.9603721923984324,True,30.38,LAYER_TYPE.DENSE,4.718411023934664,3.67,1.482,transformer.h.4.attn.k_proj,0,4668.0,4096,739,4096,1,0.052342398509835436,30.38,153.6,success,5.51171875,,5,30.375,1.83984375
25,67,Linear,0.048090820924916344,4096,4096,1.0,4.205447538192464,4.045279126093337,-0.9788563433818331,True,9.16,LAYER_TYPE.DENSE,5.000795141970358,3.422,0.962,transformer.h.4.attn.v_proj,0,2638.0,4096,156,4096,1,0.25664119820491044,9.16,288.0,success,3.025390625,,4,9.15625,2.74609375
26,68,Linear,0.046802077495766925,4096,4096,1.0,6.3201326936995885,9.498715054300456,-0.9611758511368411,True,31.86,LAYER_TYPE.DENSE,9.574190631522537,3.684,1.503,transformer.h.4.attn.q_proj,0,4820.0,4096,61,4096,1,0.6811731909302887,31.86,151.2,success,5.64453125,under-trained,3,31.859375,9.2265625
27,69,Linear,0.03368627364103294,4096,4096,1.0,6.226210493877953,6.907202266645854,-0.9796600021202418,True,12.86,LAYER_TYPE.DENSE,6.994256863398957,3.418,1.109,transformer.h.4.attn.out_proj,0,2618.0,4096,26,4096,1,1.024944203477964,12.86,203.6,success,3.5859375,under-trained,4,12.859375,4.625
28,71,Linear,0.011869720075538548,4096,16384,4.0,3.219900507367794,7.697574650426133,-1.0045734230109125,True,246.4,LAYER_TYPE.DENSE,7.737278295069357,4.22,2.39,transformer.h.4.mlp.fc_in,0,16600.0,4096,662,4096,1,0.08627888336038599,246.4,67.44,success,15.6953125,,0,246.375,6.22265625
29,72,Linear,0.0100932890554154,4096,16384,4.0,3.0896565844010055,5.262071370307963,-1.0069843992261387,True,50.53,LAYER_TYPE.DENSE,6.157543661927703,4.07,1.703,transformer.h.4.mlp.fc_out,0,11810.0,4096,768,4096,1,0.07540398696986216,50.53,233.6,success,7.109375,,0,50.53125,4.0
30,80,Linear,0.015538211981911576,4096,4096,1.0,3.984064189544735,6.038347287278739,-0.9756417084281982,True,32.78,LAYER_TYPE.DENSE,6.258772548787321,3.621,1.516,transformer.h.5.attn.k_proj,0,4188.0,4096,163,4096,1,0.23372994598957586,32.78,127.75,success,5.7265625,,5,32.78125,4.19921875
31,81,Linear,0.06395830929026747,4096,4096,1.0,4.364169692092242,4.06157589508194,-0.9804636608586507,True,8.52,LAYER_TYPE.DENSE,5.29488558054899,3.498,0.9307,transformer.h.5.attn.v_proj,0,3152.0,4096,179,4096,1,0.2514498485842216,8.52,369.8,success,2.919921875,,3,8.5234375,3.107421875
32,82,Linear,0.02682573404088545,4096,4096,1.0,4.164150098630097,6.234025489453066,-0.9708197559977458,True,31.38,LAYER_TYPE.DENSE,6.510901815652283,3.63,1.497,transformer.h.5.attn.q_proj,0,4280.0,4096,72,4096,1,0.3728986652389042,31.38,136.4,success,5.6015625,,5,31.375,6.40625
33,83,Linear,0.05458871843173918,4096,4096,1.0,4.089262175210315,4.4127292027416,-0.9820709783354681,True,12.01,LAYER_TYPE.DENSE,5.098227079296448,3.492,1.079,transformer.h.5.attn.out_proj,0,3108.0,4096,266,4096,1,0.18941481696043416,12.01,258.8,success,3.46484375,,3,12.0078125,2.5625
34,85,Linear,0.005140857045128566,4096,16384,4.0,3.2884321434701205,7.822871778801966,-1.0053770817493213,True,238.8,LAYER_TYPE.DENSE,7.868809736191562,4.23,2.379,transformer.h.5.mlp.fc_in,0,16980.0,4096,588,4096,1,0.09437335100390475,238.8,71.1,success,15.453125,,0,238.75,6.67578125
35,86,Linear,0.013855831084392034,4096,16384,4.0,3.114287750552968,5.492581716307285,-1.008591716702956,True,57.97,LAYER_TYPE.DENSE,6.174263252282958,4.09,1.764,transformer.h.5.mlp.fc_out,0,12330.0,4096,764,4096,1,0.07649224622904828,57.97,212.6,success,7.61328125,,0,57.96875,4.23046875
36,94,Linear,0.02360692731088221,4096,4096,1.0,4.175069308817937,6.596935685222092,-0.9748380496897895,True,38.03,LAYER_TYPE.DENSE,6.740194806864423,3.648,1.58,transformer.h.6.attn.k_proj,0,4456.0,4096,152,4096,1,0.25753212773255685,38.03,117.2,success,6.16796875,,4,38.03125,4.69921875
