,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,4,OPTLearnedPositionalEmbedding,0.14826665296461172,768,2050,2.6692708333333335,1.827894144118094,3.3077029775886992,-0.32588361842474,True,64.5,LAYER_TYPE.EMBEDDING,3.9307521030361907,2.65,1.81,model.decoder.embed_positions,0,447.2,768,629,768,1,0.033010301274700185,64.5,6.934,success,8.03125,over-trained,0,64.5,0.0033969879150390625
1,9,Linear,0.08505246092697494,768,768,1.0,2.065123280813891,4.509390288964707,3.9560975019418896,True,152.4,LAYER_TYPE.DENSE,5.216132239320272,3.492,2.184,model.decoder.layers.0.self_attn.k_proj,4,3106.0,768,166,764,1,0.08266959943457555,152.4,20.39,success,12.34375,,3,152.375,4.23828125
2,10,Linear,0.0837402172767564,768,768,1.0,4.309287068896081,0.24145053279093032,2.245754672696558,True,1.138,LAYER_TYPE.DENSE,1.0008370427974527,1.983,0.05603,model.decoder.layers.0.self_attn.v_proj,16,96.25,768,54,752,1,0.45033692951033105,1.138,84.6,success,1.06640625,,3,1.1376953125,0.421630859375
3,11,Linear,0.06828983552192452,768,768,1.0,2.805540676235739,5.8083459312693035,3.5702221646443006,True,117.56,LAYER_TYPE.DENSE,6.473364311358484,3.562,2.07,model.decoder.layers.0.self_attn.q_proj,5,3652.0,768,74,763,1,0.20988984026832339,117.56,31.06,success,10.84375,,4,117.5625,13.859375
4,12,Linear,0.04441944456302038,768,768,1.0,2.6813608659842187,2.302985235969844,4.0716245657450365,True,7.223,LAYER_TYPE.DENSE,2.6786100024016495,2.0,0.859,model.decoder.layers.0.self_attn.out_proj,4,100.06,768,125,764,1,0.15038548764194506,7.223,13.85,success,2.6875,,3,7.22265625,0.2083740234375
5,15,Linear,0.039800368333780534,768,3072,4.0,2.253121609489284,5.7736241243162905,-0.5902873433612122,True,364.5,LAYER_TYPE.DENSE,5.794326195346718,3.312,2.562,model.decoder.layers.0.fc1,0,2056.0,768,84,768,1,0.13672677691594134,364.5,5.64,success,19.09375,,0,364.5,3.263671875
6,16,Linear,0.03304709787283422,768,3072,4.0,3.079018991694755,4.01715759072675,-0.6698495584636764,True,20.19,LAYER_TYPE.DENSE,4.86092719387836,3.209,1.305,model.decoder.layers.0.fc2,0,1620.0,768,138,768,1,0.17697784942516287,20.19,80.25,success,4.4921875,,0,20.1875,3.240234375
7,20,Linear,0.03701345175775583,768,768,1.0,2.1832628869919968,4.933662422362774,3.2352862987565283,True,181.6,LAYER_TYPE.DENSE,5.541566099402247,3.467,2.26,model.decoder.layers.1.self_attn.k_proj,5,2936.0,768,86,763,1,0.12759451853305376,181.6,16.17,success,13.4765625,,10,181.625,7.6171875
8,21,Linear,0.06321684780927461,768,768,1.0,2.797410604221888,1.0872748246878041,2.9454917515722814,True,2.447,LAYER_TYPE.DENSE,1.9995608595786085,2.164,0.3887,model.decoder.layers.1.self_attn.v_proj,8,145.6,768,117,760,1,0.1661706691431981,2.447,59.5,success,1.564453125,,3,2.447265625,0.3828125
9,22,Linear,0.03947442466183704,768,768,1.0,2.7290724895441953,5.021066963184828,3.5119724488377315,True,69.1,LAYER_TYPE.DENSE,5.702264317440765,3.348,1.84,model.decoder.layers.1.self_attn.q_proj,5,2228.0,768,81,763,1,0.1921191655049106,69.1,32.22,success,8.3125,,16,69.125,8.390625
10,23,Linear,0.053503310655634406,768,768,1.0,2.453085378683581,2.1416585239678922,3.4731393049666854,True,7.465,LAYER_TYPE.DENSE,2.716692753361454,2.146,0.873,model.decoder.layers.1.self_attn.out_proj,5,139.9,768,106,763,1,0.14113612851134139,7.465,18.73,success,2.732421875,,3,7.46484375,0.333740234375
11,26,Linear,0.03674305130697342,768,3072,4.0,3.0777818106952792,6.540286347727468,-0.6493562606342539,True,133.1,LAYER_TYPE.DENSE,6.7574086985457935,3.36,2.125,model.decoder.layers.1.fc1,0,2284.0,768,169,768,1,0.15982937005348302,133.1,17.16,success,11.5390625,,0,133.125,3.619140625
12,27,Linear,0.03712726478583939,768,3072,4.0,4.501314941109591,7.995988161990573,-0.677082487109355,True,59.8,LAYER_TYPE.DENSE,8.01269785483197,3.363,1.776,model.decoder.layers.1.fc2,0,2310.0,768,68,768,1,0.424596803845533,59.8,38.62,success,7.734375,,0,59.8125,6.37890625
13,31,Linear,0.03103981722722654,768,768,1.0,3.3156497843536634,6.187701892480323,5.411558136790153,True,73.56,LAYER_TYPE.DENSE,6.582412527526981,3.383,1.866,model.decoder.layers.2.self_attn.k_proj,3,2412.0,768,46,765,1,0.34142393397476983,73.56,32.78,success,8.578125,,10,73.5625,12.1015625
