,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,4,OPTLearnedPositionalEmbedding,0.0817736170163573,2048,2050,1.0009765625,3.0450709547562522,6.149615951597587,-0.4978665884442082,True,104.56,LAYER_TYPE.EMBEDDING,6.285959481836164,2.824,2.02,model.decoder.embed_positions,0,667.5,2048,12,2048,1,0.5903611331202037,104.56,6.383,success,10.2265625,,10,104.5625,19.078125
1,9,Linear,0.02779741996046947,2048,2048,1.0,2.9439214586246742,4.249136636569598,-0.7715123888723808,True,27.73,LAYER_TYPE.DENSE,4.33909607567743,2.795,1.443,model.decoder.layers.0.self_attn.k_proj,0,622.5,2048,194,2048,1,0.13956542709316788,27.73,22.44,success,5.265625,,3,27.734375,0.76904296875
2,10,Linear,0.03851267538666103,2048,2048,1.0,5.803294380081839,-0.6988464240662517,-0.8024532503011169,True,0.758,LAYER_TYPE.DENSE,-0.17747601453284012,2.139,-0.1204,model.decoder.layers.0.self_attn.v_proj,0,137.5,2048,67,2048,1,0.5868158054943619,0.758,181.5,success,0.87060546875,,7,0.7578125,0.303466796875
3,11,Linear,0.032646482013974465,2048,2048,1.0,3.2744160035471133,3.856392285427557,-0.7851745874253292,True,15.05,LAYER_TYPE.DENSE,4.055998165480966,2.791,1.178,model.decoder.layers.0.self_attn.q_proj,0,617.0,2048,124,2048,1,0.20424858662580483,15.05,41.0,success,3.87890625,,4,15.046875,1.0517578125
4,12,Linear,0.07834136427862859,2048,2048,1.0,3.0985321749335055,5.8763178551961595,-0.507510493305113,True,78.9,LAYER_TYPE.DENSE,5.905225446015287,2.33,1.896,model.decoder.layers.0.self_attn.out_proj,0,214.1,2048,337,2048,1,0.11431433172130116,78.9,2.715,success,8.8828125,,9,78.875,0.08624267578125
5,15,Linear,0.040502879589648544,2048,8192,4.0,4.515304284716661,9.471556253487684,-0.8341977704682617,True,125.0,LAYER_TYPE.DENSE,9.469767545332207,3.768,2.098,model.decoder.layers.0.fc1,0,5860.0,2048,199,2048,1,0.2491933137320913,125.0,46.88,success,11.1796875,,0,125.0,6.0078125
6,16,Linear,0.05952463646711126,2048,8192,4.0,4.73275121102048,9.312982119342058,-0.8398233816371229,True,92.8,LAYER_TYPE.DENSE,9.347205291037293,3.682,1.968,model.decoder.layers.0.fc2,0,4796.0,2048,360,2048,1,0.19673326275960878,92.8,51.7,success,9.6328125,,0,92.8125,3.66796875
7,20,Linear,0.03386836981384145,2048,2048,1.0,1.778902449054074,4.1137119134375455,-0.5882781965151904,True,205.8,LAYER_TYPE.DENSE,4.664146445553025,3.342,2.312,model.decoder.layers.1.self_attn.k_proj,0,2200.0,2048,196,2048,1,0.05563588921814814,205.8,10.695,success,14.34375,over-trained,12,205.75,1.18359375
8,21,Linear,0.01883273099796079,2048,2048,1.0,2.855816862824164,2.3775233159742184,-0.7879873930097598,True,6.797,LAYER_TYPE.DENSE,2.803588592595907,2.582,0.8325,model.decoder.layers.1.self_attn.v_proj,0,381.2,2048,244,2048,1,0.1188065004214306,6.797,56.1,success,2.607421875,,5,6.796875,0.41162109375
9,22,Linear,0.03932407190021192,2048,2048,1.0,2.0294010968007172,4.6810990143000915,-0.5886800258843947,True,202.9,LAYER_TYPE.DENSE,5.064993338872586,3.27,2.307,model.decoder.layers.1.self_attn.q_proj,0,1857.0,2048,62,2048,1,0.13073407002782647,202.9,9.16,success,14.2421875,,15,202.875,5.140625
