,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,9,Linear,0.01592303860632749,6144,18432,3.0,3.293986752384333,8.81398798977839,-1.1331588211563093,True,475.0,LAYER_TYPE.DENSE,8.929464165063266,4.645,2.676,gpt_neox.layers.0.attention.query_key_value,0,44030.0,6144,296,6144,1,0.13333527163714057,475.0,92.7,success,21.796875,,0,475.0,24.609375
1,10,Linear,0.01984664636717015,6144,6144,1.0,3.593450699018938,8.211596323929996,-1.118692963864952,True,192.8,LAYER_TYPE.DENSE,8.217005737818544,3.926,2.285,gpt_neox.layers.0.attention.dense,0,8420.0,6144,81,6144,1,0.288161188779882,192.8,43.66,success,13.8828125,,6,192.75,8.9296875
2,12,Linear,0.0728716391593216,6144,24576,4.0,7.569404522220094,21.185462266291786,-1.1604832182622062,True,628.0,LAYER_TYPE.DENSE,21.178898118838262,4.79,2.799,gpt_neox.layers.0.mlp.dense_h_to_4h,0,61500.0,6144,460,6144,1,0.30630006521229497,628.0,97.94,success,25.0625,under-trained,0,628.0,22.484375
3,13,Linear,0.05879734709967571,6144,24576,4.0,8.951435504805556,20.19317970322347,-1.1653051706926585,True,180.6,LAYER_TYPE.DENSE,20.201401466260624,4.4,2.256,gpt_neox.layers.0.mlp.dense_4h_to_h,0,25010.0,6144,365,6144,1,0.41619715621484205,180.6,138.5,success,13.4375,under-trained,0,180.625,8.8828125
4,20,Linear,0.012048844392229197,6144,18432,3.0,3.7643348810226844,9.749039164523593,-1.1315515036794919,True,388.2,LAYER_TYPE.DENSE,9.963488174632305,4.73,2.59,gpt_neox.layers.1.attention.query_key_value,0,53630.0,6144,210,6144,1,0.1907572295882499,388.2,138.1,success,19.703125,,0,388.25,37.5
5,21,Linear,0.022893006126456394,6144,6144,1.0,3.8986794417785093,7.412821165178475,-1.1379807735867618,True,79.75,LAYER_TYPE.DENSE,7.4769993259483645,4.07,1.901,gpt_neox.layers.1.attention.dense,0,11790.0,6144,607,6144,1,0.11765376917311857,79.75,147.9,success,8.9296875,,4,79.75,4.94140625
6,23,Linear,0.0484449319270821,6144,24576,4.0,2.6455150466068353,8.060553657630201,-0.3684775315604027,True,1116.0,LAYER_TYPE.DENSE,8.546105207551655,inf,3.047,gpt_neox.layers.1.mlp.dense_h_to_4h,0,inf,6144,1277,6144,1,0.04604753739096707,1116.0,inf,success,33.40625,,0,1116.0,16.0625
7,24,Linear,0.040193772204760836,6144,24576,4.0,7.074287955849133,15.461187934756211,-1.1693234643847021,True,153.1,LAYER_TYPE.DENSE,15.5030154479799,4.664,2.186,gpt_neox.layers.1.mlp.dense_4h_to_h,0,46050.0,6144,390,6144,1,0.3075835269945295,153.1,300.8,success,12.375,under-trained,0,153.125,15.734375
8,31,Linear,0.021436358195811578,6144,18432,3.0,3.3425641825129135,8.140971749206257,-1.1395880910635792,True,272.2,LAYER_TYPE.DENSE,8.793830704065783,4.75,2.436,gpt_neox.layers.2.attention.query_key_value,0,56000.0,6144,258,6144,1,0.14584167571964712,272.2,205.8,success,16.5,,0,272.25,32.71875
9,32,Linear,0.017823710370654777,6144,6144,1.0,4.111001335374239,7.1982669866464954,-1.137177114848353,True,56.3,LAYER_TYPE.DENSE,7.34467587217944,4.047,1.751,gpt_neox.layers.2.attention.dense,0,11100.0,6144,296,6144,1,0.18082327968306197,56.3,197.1,success,7.50390625,,4,56.3125,6.22265625
10,34,Linear,0.0085843141976224,6144,24576,4.0,2.677455426032166,7.68199613445557,-0.3684775315604027,True,741.0,LAYER_TYPE.DENSE,8.161229993577553,inf,2.87,gpt_neox.layers.2.mlp.dense_h_to_4h,0,inf,6144,775,6144,1,0.06037294184184075,741.0,inf,success,27.21875,,0,741.0,19.71875
11,35,Linear,0.0381107348418781,6144,24576,4.0,3.4432625054824384,7.28330721374508,-1.1677161469078847,True,130.2,LAYER_TYPE.DENSE,7.835294020760743,4.652,2.115,gpt_neox.layers.2.mlp.dense_4h_to_h,0,45020.0,6144,177,6144,1,0.1841678407961114,130.2,345.8,success,11.4140625,,0,130.25,17.3125
12,42,Linear,0.024543653935580834,6144,18432,3.0,3.322177000067047,7.766886463047374,-1.1468210197092576,True,217.4,LAYER_TYPE.DENSE,8.530451871949044,4.754,2.338,gpt_neox.layers.3.attention.query_key_value,0,56600.0,6144,351,6144,1,0.12394863860979066,217.4,260.5,success,14.7421875,,0,217.375,26.3125
13,43,Linear,0.03800392916715628,6144,6144,1.0,3.829415784963644,6.248978297533446,-1.1363734561099443,True,42.8,LAYER_TYPE.DENSE,6.767103800395807,4.086,1.632,gpt_neox.layers.3.attention.dense,0,12140.0,6144,463,6144,1,0.13149410291700134,42.8,283.8,success,6.54296875,,4,42.8125,5.85546875
14,45,Linear,0.017423242164561592,6144,24576,4.0,2.687947678886257,9.334318306757353,-0.3684775315604027,True,2966.0,LAYER_TYPE.DENSE,9.348487644907989,inf,3.473,gpt_neox.layers.3.mlp.dense_h_to_4h,0,inf,6144,625,6144,1,0.06757198638490959,2966.0,inf,success,54.46875,,0,2966.0,20.703125
15,46,Linear,0.025393560500241663,6144,24576,4.0,4.027366242078751,8.912121000537548,-1.1693234643847021,True,163.4,LAYER_TYPE.DENSE,9.022112310043674,4.656,2.213,gpt_neox.layers.3.mlp.dense_4h_to_h,0,45500.0,6144,237,6144,1,0.1974835987122272,163.4,278.5,success,12.78125,,0,163.375,16.53125
