,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.018006094739322437,4096,32000,7.8125,2.885347248448856,8.481342986163142,-0.9796600021202418,True,869.5,LAYER_TYPE.EMBEDDING,8.698432365612408,4.73,2.94,model.embed_tokens,0,53540.0,4096,372,4096,1,0.09788235205743481,869.5,61.56,success,29.484375,,0,869.5,31.46875
1,6,Linear,0.05100233698902046,4096,4096,1.0,2.7163630782157293,8.191532407744308,-0.7691014126571546,True,1036.0,LAYER_TYPE.DENSE,8.454363733538877,4.215,3.016,model.layers.0.self_attn.q_proj,0,16350.0,4096,46,4096,1,0.25306392972416786,1036.0,15.78,success,32.1875,,31,1036.0,94.0
2,7,Linear,0.06205008471365053,4096,4096,1.0,1.366119849662132,3.9649494074178286,-0.7650831189651109,True,797.0,LAYER_TYPE.DENSE,4.985390001807786,4.21,2.902,model.layers.0.self_attn.k_proj,0,16264.0,4096,1471,4096,1,0.009545901285395996,797.0,20.4,success,28.234375,over-trained,34,797.0,0.04974365234375
3,8,Linear,0.030972697094083013,4096,4096,1.0,4.190857188619912,5.377721040865786,-0.9651941448288848,True,19.2,LAYER_TYPE.DENSE,5.684135347412138,3.482,1.283,model.layers.0.self_attn.v_proj,0,3042.0,4096,187,4096,1,0.2333385871365564,19.2,158.4,success,4.3828125,,7,19.203125,3.240234375
4,9,Linear,0.0196928377537251,4096,4096,1.0,3.867800722514761,6.511805122671335,-0.9651941448288848,True,48.25,LAYER_TYPE.DENSE,6.519076683838288,3.367,1.684,model.layers.0.self_attn.o_proj,0,2330.0,4096,311,4096,1,0.1626180598496003,48.25,48.28,success,6.9453125,,7,48.25,1.876953125
5,12,Linear,0.03748655299689729,4096,11008,2.6875,2.7872173521772767,5.830292547230202,-0.9563538987063888,True,123.56,LAYER_TYPE.DENSE,6.551146741366486,4.11,2.092,model.layers.0.mlp.gate_proj,0,12840.0,4096,393,4096,1,0.09015318972796302,123.56,103.94,success,11.1171875,,0,123.5625,8.7578125
6,13,Linear,0.03029309062000274,4096,11008,2.6875,4.782954822972004,11.02321619356829,-1.0077880579645475,True,201.5,LAYER_TYPE.DENSE,11.02307434317158,4.277,2.305,model.layers.0.mlp.down_proj,0,18930.0,4096,452,4096,1,0.17793522730610703,201.5,93.94,success,14.1953125,,0,201.5,9.671875
7,14,Linear,0.04121091194286941,4096,11008,2.6875,5.399152407066887,9.73323764008347,-0.9700160972593371,True,63.56,LAYER_TYPE.DENSE,10.161210809708244,4.082,1.803,model.layers.0.mlp.up_proj,0,12070.0,4096,76,4096,1,0.504617388937849,63.56,189.9,success,7.97265625,,0,63.5625,19.375
8,20,Linear,0.03523258671276397,4096,4096,1.0,3.6027226558560668,9.534549216181583,-0.8671477787430197,True,443.8,LAYER_TYPE.DENSE,9.82086415186555,4.277,2.646,model.layers.1.self_attn.q_proj,0,18880.0,4096,48,4096,1,0.3756706564961095,443.8,42.53,success,21.0625,,14,443.75,79.4375
9,21,Linear,0.040198163573289536,4096,4096,1.0,3.66973737045384,10.55049494005479,-0.8615221675741586,True,749.5,LAYER_TYPE.DENSE,10.59719475017543,4.29,2.875,model.layers.1.self_attn.k_proj,0,19490.0,4096,56,4096,1,0.3567586626037518,749.5,26.0,success,27.375,,17,749.5,76.6875
