,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.03574056959670968,5120,32001,6.2501953125,2.1627559209180456,0.7012060212351476,-1.0632405109147498,True,2.11,LAYER_TYPE.EMBEDDING,1.6103736440271652,2.434,0.3242,model.embed_tokens,0,271.5,5120,2393,5120,1,0.023769344787380742,2.11,128.8,success,1.4521484375,,0,2.109375,0.029205322265625
1,6,Linear,0.041114685512848914,5120,5120,1.0,2.7642629611611227,0.08705808642328731,-0.8695587549582459,True,1.075,LAYER_TYPE.DENSE,0.47959394472165257,1.318,0.0315,model.layers.0.self_attn.q_proj,0,20.8,5120,32,5120,1,0.3118805759083221,1.075,19.34,success,1.037109375,,461,1.0751953125,0.133056640625
2,7,Linear,0.029250901001114993,5120,5120,1.0,1.7910593656211184,0.6764572359902027,-0.8072752027315693,True,2.387,LAYER_TYPE.DENSE,1.1178343149503371,1.375,0.3777,model.layers.0.self_attn.k_proj,0,23.69,5120,277,5120,1,0.047530150793251146,2.387,9.92,success,1.544921875,over-trained,550,2.38671875,0.00885009765625
3,8,Linear,0.03828708278894016,5120,5120,1.0,2.6117389028179265,-0.7504923556193114,-0.9563538987063888,True,0.516,LAYER_TYPE.DENSE,-0.08299733009622012,1.3955,-0.2874,model.layers.0.self_attn.v_proj,0,24.88,5120,103,5120,1,0.15880935297028975,0.516,48.2,success,0.71826171875,,209,0.51611328125,0.046783447265625
4,9,Linear,0.04742205575952191,5120,5120,1.0,2.882835649891574,-1.5244682660315305,-0.9989478118420514,True,0.296,LAYER_TYPE.DENSE,-0.7183997478557322,1.466,-0.529,model.layers.0.self_attn.o_proj,0,29.23,5120,199,5120,1,0.1334706804327792,0.296,98.8,success,0.5439453125,,142,0.2958984375,0.0335693359375
5,12,Linear,0.029675608681787202,5120,13824,2.7,4.104829356740336,0.6649302437004915,-1.0005551293188688,True,1.452,LAYER_TYPE.DENSE,0.7563462389553658,1.939,0.162,model.layers.0.mlp.gate_proj,0,87.0,5120,43,5120,1,0.4734820380296019,1.452,59.9,success,1.205078125,,0,1.4521484375,0.2391357421875
6,13,Linear,0.04059146106604372,5120,13824,2.7,6.5750899581555515,-2.7754713226686887,-1.062436852176341,True,0.3784,LAYER_TYPE.DENSE,-2.6877309120722623,1.99,-0.422,model.layers.0.mlp.down_proj,0,97.8,5120,58,5120,1,0.7320451752774654,0.3784,258.5,success,0.615234375,under-trained,0,0.37841796875,0.12274169921875
7,14,Linear,0.040631837891993816,5120,13824,2.7,4.196838506127594,0.4669700071210085,-1.0037697642725039,True,1.292,LAYER_TYPE.DENSE,0.5835065508315995,1.943,0.11127,model.layers.0.mlp.up_proj,0,87.75,5120,42,5120,1,0.4932828907832972,1.292,67.94,success,1.13671875,,0,1.2919921875,0.2384033203125
8,20,Linear,0.047841349596274285,5120,5120,1.0,2.3151186200908445,-0.11643418841277196,-0.9362624302461705,True,0.8906,LAYER_TYPE.DENSE,0.5218315329969226,1.533,-0.0503,model.layers.1.self_attn.q_proj,0,34.16,5120,158,5120,1,0.10462521977684058,0.8906,38.34,success,0.94384765625,,374,0.890625,0.0469970703125
9,21,Linear,0.03985025308382151,5120,5120,1.0,2.188238504935569,-0.09302417716599266,-0.9209929142164046,True,0.9067,LAYER_TYPE.DENSE,0.6007091361984704,1.486,-0.0425,model.layers.1.self_attn.k_proj,0,30.64,5120,183,5120,1,0.08783711778156328,0.9067,33.78,success,0.9521484375,,425,0.90673828125,0.034759521484375
