,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,9,Linear,0.01564448529663187,2560,7680,3.0,3.4414345191406728,7.971760429103199,-0.8631294850509761,True,207.4,LAYER_TYPE.DENSE,7.99097745779102,3.88,2.316,gpt_neox.layers.0.attention.query_key_value,0,7612.0,2560,171,2560,1,0.1867011639685265,207.4,36.72,success,14.3984375,,0,207.375,7.8671875
1,10,Linear,0.022393242702166638,2560,2560,1.0,2.9791324460128776,4.876001933122639,-0.8301794767762181,True,43.3,LAYER_TYPE.DENSE,4.930038265669645,3.104,1.637,gpt_neox.layers.0.attention.dense,0,1268.0,2560,153,2560,1,0.16000337494113995,43.3,29.28,success,6.58203125,,5,43.3125,1.6513671875
2,12,Linear,0.08858403987761121,2560,10240,4.0,8.095592255428556,16.112125992737692,-0.8944721758489165,True,97.8,LAYER_TYPE.DENSE,16.113426921450078,3.936,1.99,gpt_neox.layers.0.mlp.dense_h_to_4h,0,8630.0,2560,372,2560,1,0.3678893207191361,97.8,88.25,success,9.890625,under-trained,0,97.8125,5.80078125
3,13,Linear,0.04910328034266964,2560,10240,4.0,8.474173284307778,13.89466498471949,-0.896079493325734,True,43.62,LAYER_TYPE.DENSE,13.895402643874176,3.643,1.64,gpt_neox.layers.0.mlp.dense_4h_to_h,0,4384.0,2560,318,2560,1,0.4191308252698482,43.62,100.5,success,6.60546875,under-trained,0,43.625,2.9609375
4,20,Linear,0.02265162176370905,2560,7680,3.0,3.5008786436215544,7.1248350520579296,-0.8567002151437062,True,108.3,LAYER_TYPE.DENSE,7.364812072321609,3.951,2.035,gpt_neox.layers.1.attention.query_key_value,0,8930.0,2560,170,2560,1,0.19180863610138324,108.3,82.44,success,10.40625,,0,108.3125,10.515625
5,21,Linear,0.0319069502282463,2560,2560,1.0,4.218595971412045,4.593490730590264,-0.8518782627132538,True,12.28,LAYER_TYPE.DENSE,4.795329270679912,3.154,1.089,gpt_neox.layers.1.attention.dense,0,1428.0,2560,126,2560,1,0.2867353188446363,12.28,116.25,success,3.50390625,,3,12.28125,2.078125
6,23,Linear,0.024552825537557554,2560,10240,4.0,2.842879004525956,6.751837635749146,-0.8390197228987142,True,237.4,LAYER_TYPE.DENSE,7.256314878194976,4.023,2.375,gpt_neox.layers.1.mlp.dense_h_to_4h,0,10570.0,2560,320,2560,1,0.1030200682106795,237.4,44.53,success,15.40625,,0,237.375,7.71484375
7,24,Linear,0.04757252105207155,2560,10240,4.0,5.607943934520605,9.994626641113383,-0.8944721758489165,True,60.6,LAYER_TYPE.DENSE,9.997874715900577,3.713,1.782,gpt_neox.layers.1.mlp.dense_4h_to_h,0,5172.0,2560,312,2560,1,0.26087345458417843,60.6,85.4,success,7.78515625,,0,60.59375,3.5703125
8,31,Linear,0.027360703498433336,2560,7680,3.0,3.6906940915382034,7.23001205822816,-0.8567002151437062,True,91.0,LAYER_TYPE.DENSE,7.548099652894218,3.912,1.959,gpt_neox.layers.2.attention.query_key_value,0,8156.0,2560,75,2560,1,0.3106945916113034,91.0,89.6,success,9.5390625,,0,91.0,15.2109375
9,32,Linear,0.030322094126867483,2560,2560,1.0,4.390749891618846,5.865767433334552,-0.8494672864980276,True,21.69,LAYER_TYPE.DENSE,5.884232346968011,3.104,1.336,gpt_neox.layers.2.attention.dense,0,1267.0,2560,46,2560,1,0.4999387968522881,21.69,58.4,success,4.65625,,4,21.6875,2.740234375
10,34,Linear,0.009640021899390505,2560,10240,4.0,2.769194258818033,6.457847548884241,-0.8623258263125673,True,215.2,LAYER_TYPE.DENSE,6.685603826742033,4.027,2.332,gpt_neox.layers.2.mlp.dense_h_to_4h,0,10630.0,2560,510,2560,1,0.0783412385510663,215.2,49.4,success,14.671875,,0,215.25,5.421875
11,35,Linear,0.021333502963514883,2560,10240,4.0,3.9027467303674994,7.363385432685556,-0.8896502234184641,True,77.0,LAYER_TYPE.DENSE,7.409088651532658,3.82,1.887,gpt_neox.layers.2.mlp.dense_4h_to_h,0,6604.0,2560,459,2560,1,0.13548861451703442,77.0,85.75,success,8.7734375,,0,77.0,3.822265625
12,42,Linear,0.0199095742781209,2560,7680,3.0,3.8817420688543147,7.90753315979502,-0.8679514374814284,True,108.75,LAYER_TYPE.DENSE,7.971189620086428,3.904,2.037,gpt_neox.layers.3.attention.query_key_value,0,8010.0,2560,49,2560,1,0.4116774384077592,108.75,73.6,success,10.4296875,,0,108.75,14.4140625
13,43,Linear,0.04674036460481912,2560,2560,1.0,4.725564839924363,5.385482586124739,-0.8510746039748451,True,13.8,LAYER_TYPE.DENSE,5.583072043569423,3.223,1.14,gpt_neox.layers.3.attention.dense,0,1669.0,2560,42,2560,1,0.574867135301314,13.8,121.0,success,3.71484375,,3,13.796875,3.74609375
14,45,Linear,0.009251963438124067,2560,10240,4.0,3.259378240376611,7.180817685829721,-0.8808099772959681,True,159.6,LAYER_TYPE.DENSE,7.269322002885212,4.02,2.203,gpt_neox.layers.3.mlp.dense_h_to_4h,0,10460.0,2560,481,2560,1,0.10312603568254994,159.6,65.56,success,12.6328125,,0,159.625,5.78125
15,46,Linear,0.01322385393353187,2560,10240,4.0,3.2377272265426784,5.315058074041253,-0.884024612249603,True,43.84,LAYER_TYPE.DENSE,5.958333218967074,3.82,1.642,gpt_neox.layers.3.mlp.dense_4h_to_h,0,6620.0,2560,564,2560,1,0.0942253141327885,43.84,151.0,success,6.62109375,,0,43.84375,3.349609375
16,53,Linear,0.026963699809531394,2560,7680,3.0,3.772082122921451,7.743082639043838,-0.8663441200046109,True,112.75,LAYER_TYPE.DENSE,7.830984906160925,3.902,2.053,gpt_neox.layers.4.attention.query_key_value,0,7996.0,2560,51,2560,1,0.3881691388016993,112.75,70.94,success,10.6171875,,0,112.75,15.2109375
17,54,Linear,0.04147481008226794,2560,2560,1.0,4.272596961385101,5.161330509016963,-0.8494672864980276,True,16.16,LAYER_TYPE.DENSE,5.360095721399359,3.25,1.208,gpt_neox.layers.4.attention.dense,0,1781.0,2560,95,2560,1,0.3357613637480769,16.16,110.25,success,4.01953125,,3,16.15625,3.0390625
18,56,Linear,0.006722822310109122,2560,10240,4.0,3.3369666262092412,7.736287861934315,-0.8800063185575594,True,207.8,LAYER_TYPE.DENSE,7.784094901254114,4.016,2.318,gpt_neox.layers.4.mlp.dense_h_to_4h,0,10360.0,2560,400,2560,1,0.11684833131046206,207.8,49.88,success,14.4140625,,0,207.75,6.15234375
19,57,Linear,0.017943370588570484,2560,10240,4.0,3.182296569059334,5.954375221013363,-0.884024612249603,True,74.25,LAYER_TYPE.DENSE,6.11482136213815,3.816,1.871,gpt_neox.layers.4.mlp.dense_4h_to_h,0,6564.0,2560,516,2560,1,0.0960702496049795,74.25,88.4,success,8.6171875,,0,74.25,3.494140625
20,64,Linear,0.018875954493706243,2560,7680,3.0,3.999006707916011,8.193277415241983,-0.8703624136966546,True,111.75,LAYER_TYPE.DENSE,8.230943076928277,3.89,2.049,gpt_neox.layers.5.attention.query_key_value,0,7764.0,2560,69,2560,1,0.3610379809424133,111.75,69.5,success,10.5703125,,0,111.75,12.4140625
21,65,Linear,0.05063410333499896,2560,2560,1.0,6.9282510014472685,7.198885806191303,-0.845448992805984,True,10.94,LAYER_TYPE.DENSE,7.579218106553539,3.285,1.039,gpt_neox.layers.5.attention.dense,0,1924.0,2560,20,2560,1,1.3255972226917296,10.94,175.9,success,3.306640625,under-trained,2,10.9375,5.85546875
22,67,Linear,0.010342997614555316,2560,10240,4.0,3.4562532097210497,7.62805884176716,-0.8848282709880118,True,161.1,LAYER_TYPE.DENSE,7.665903020375704,4.004,2.207,gpt_neox.layers.5.mlp.dense_h_to_4h,0,10120.0,2560,363,2560,1,0.12891985925730276,161.1,62.8,success,12.6953125,,0,161.125,6.3671875
23,68,Linear,0.023438050784769238,2560,10240,4.0,3.7305291763045485,6.233335371735432,-0.8904538821568728,True,46.84,LAYER_TYPE.DENSE,6.478952242067363,3.848,1.671,gpt_neox.layers.5.mlp.dense_4h_to_h,0,7028.0,2560,345,2560,1,0.14700674915641587,46.84,150.0,success,6.84375,,0,46.84375,4.6328125
24,75,Linear,0.030210441040750713,2560,7680,3.0,3.269290904422022,6.538581808844044,-0.8703624136966546,True,100.2,LAYER_TYPE.DENSE,6.706477630190383,3.883,2.0,gpt_neox.layers.6.attention.query_key_value,0,7644.0,2560,219,2560,1,0.15334446865799356,100.2,76.3,success,10.0078125,,0,100.1875,7.00390625
25,76,Linear,0.059967806124419765,2560,2560,1.0,4.227539450358467,4.4793752965224,-0.8486636277596189,True,11.47,LAYER_TYPE.DENSE,5.243336956303498,3.299,1.06,gpt_neox.layers.6.attention.dense,0,1993.0,2560,94,2560,1,0.3328952762238151,11.47,173.8,success,3.38671875,,2,11.46875,3.47265625
26,78,Linear,0.014041603314644657,2560,10240,4.0,3.088478609523081,6.918915947505809,-0.8783990010807419,True,173.9,LAYER_TYPE.DENSE,7.003476361470173,4.0,2.24,gpt_neox.layers.6.mlp.dense_h_to_4h,0,9980.0,2560,450,2560,1,0.09845182581045482,173.9,57.4,success,13.1875,,0,173.875,5.60546875
27,79,Linear,0.03473250279840312,2560,10240,4.0,3.349657839048664,5.417024786586511,-0.8856319297264205,True,41.4,LAYER_TYPE.DENSE,6.109329902002615,3.896,1.617,gpt_neox.layers.6.mlp.dense_4h_to_h,0,7876.0,2560,371,2560,1,0.12198815682654429,41.4,190.2,success,6.43359375,,0,41.40625,5.15234375
28,86,Linear,0.028279454762336842,2560,7680,3.0,3.516463430917378,7.36259530848326,-0.8695587549582459,True,124.1,LAYER_TYPE.DENSE,7.422286977568411,3.88,2.094,gpt_neox.layers.7.attention.query_key_value,0,7610.0,2560,127,2560,1,0.22330002061321425,124.1,61.28,success,11.140625,,0,124.125,9.09375
29,87,Linear,0.06130038236144686,2560,2560,1.0,4.450847306805807,4.959391383852955,-0.8470563102828015,True,13.016,LAYER_TYPE.DENSE,5.642078304053546,3.33,1.114,gpt_neox.layers.7.attention.dense,0,2136.0,2560,62,2560,1,0.43825804622260284,13.016,164.1,success,3.607421875,,3,13.015625,4.484375
30,89,Linear,0.018155944059410345,2560,10240,4.0,3.0506657802395223,6.881873000345016,-0.8775953423423332,True,180.4,LAYER_TYPE.DENSE,6.9560955701178635,3.996,2.256,gpt_neox.layers.7.mlp.dense_h_to_4h,0,9900.0,2560,484,2560,1,0.09321208091997829,180.4,54.9,success,13.4296875,,0,180.375,5.3671875
31,90,Linear,0.030917237547905707,2560,10240,4.0,3.1052083244244475,5.224876897444651,-0.8816136360343768,True,48.2,LAYER_TYPE.DENSE,5.992388970989533,3.908,1.683,gpt_neox.layers.7.mlp.dense_4h_to_h,0,8110.0,2560,428,2560,1,0.10175908521318973,48.2,168.4,success,6.94140625,,0,48.1875,4.85546875
32,97,Linear,0.0320406295292508,2560,7680,3.0,3.6832268873240466,7.977926988364,-0.8679514374814284,True,146.6,LAYER_TYPE.DENSE,8.006019596821014,3.885,2.166,gpt_neox.layers.8.attention.query_key_value,0,7656.0,2560,66,2560,1,0.3302823981965509,146.6,52.22,success,12.109375,,0,146.625,12.390625
33,98,Linear,0.05495358183514093,2560,2560,1.0,6.529878261861254,7.773360938680535,-0.8462526515443927,True,15.516,LAYER_TYPE.DENSE,7.882863133888593,3.344,1.19,gpt_neox.layers.8.attention.dense,0,2204.0,2560,19,2560,1,1.2686410796597658,15.516,142.0,success,3.939453125,under-trained,3,15.515625,6.48828125
34,100,Linear,0.016772000027161615,2560,10240,4.0,3.1468720688910334,7.055877216966614,-0.8792026598191507,True,175.0,LAYER_TYPE.DENSE,7.116477147055721,3.988,2.242,gpt_neox.layers.8.mlp.dense_h_to_4h,0,9736.0,2560,414,2560,1,0.10551300581720169,175.0,55.62,success,13.2265625,,0,175.0,5.75390625
35,101,Linear,0.034840589224810814,2560,10240,4.0,3.1591727342862126,5.105889526605158,-0.8856319297264205,True,41.28,LAYER_TYPE.DENSE,5.892597772538086,3.895,1.616,gpt_neox.layers.8.mlp.dense_4h_to_h,0,7828.0,2560,528,2560,1,0.09396593209699967,41.28,189.6,success,6.42578125,,0,41.28125,4.19921875
36,108,Linear,0.03144289151311663,2560,7680,3.0,3.1770650424383584,6.745058010020499,-0.8663441200046109,True,132.6,LAYER_TYPE.DENSE,6.843488908761517,3.887,2.123,gpt_neox.layers.9.attention.query_key_value,0,7700.0,2560,217,2560,1,0.1477888049582938,132.6,58.06,success,11.515625,,0,132.625,7.203125
