,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,9,Linear,0.017952059123601205,6144,18432,3.0,3.848037607189816,10.529493530611196,-1.1452137022324402,True,544.0,LAYER_TYPE.DENSE,10.532541917566077,4.555,2.736,gpt_neox.layers.0.attention.query_key_value,0,35870.0,6144,468,6144,1,0.1316505849637519,544.0,65.94,success,23.328125,,0,544.0,14.8671875
1,10,Linear,0.019740325381552903,6144,6144,1.0,3.4301202980757006,7.804863568863655,-1.119496622603361,True,188.4,LAYER_TYPE.DENSE,7.8109510427738975,3.898,2.275,gpt_neox.layers.0.attention.dense,0,7916.0,6144,178,6144,1,0.1821452171479806,188.4,42.03,success,13.7265625,,6,188.375,5.93359375
2,12,Linear,0.03683334086645629,6144,24576,4.0,5.620244408430875,15.203200206399927,-1.1572685833085712,True,506.2,LAYER_TYPE.DENSE,15.199569843631057,4.715,2.705,gpt_neox.layers.0.mlp.dense_h_to_4h,0,51840.0,6144,336,6144,1,0.2520549967956066,506.2,102.4,success,22.5,,0,506.25,22.53125
3,13,Linear,0.05471111673649809,6144,24576,4.0,7.612356609582336,21.067791632379237,-1.154857607093345,True,586.5,LAYER_TYPE.DENSE,21.073043533097,4.46,2.768,gpt_neox.layers.0.mlp.dense_4h_to_h,0,29000.0,6144,464,6144,1,0.306970949190914,586.5,49.44,success,24.21875,under-trained,0,586.5,11.15625
4,20,Linear,0.011181728624336279,6144,18432,3.0,2.971178214070201,8.339029479724374,-1.1066380827888211,True,640.0,LAYER_TYPE.DENSE,8.715073971365857,4.707,2.807,gpt_neox.layers.1.attention.query_key_value,0,50800.0,6144,229,6144,1,0.13025912286694336,640.0,79.4,success,25.296875,,0,640.0,38.78125
5,21,Linear,0.03852919012881584,6144,6144,1.0,3.5719440391937094,6.36601354641457,-1.1235149162954046,True,60.56,LAYER_TYPE.DENSE,6.618770852409371,3.97,1.782,gpt_neox.layers.1.attention.dense,0,9336.0,6144,318,6144,1,0.14422745990628497,60.56,154.1,success,7.78125,,4,60.5625,5.93359375
6,23,Linear,0.02622747753386445,6144,24576,4.0,2.2463943318684114,7.23935673356031,-0.3684775315604027,True,1673.0,LAYER_TYPE.DENSE,7.833681392045903,inf,3.223,gpt_neox.layers.1.mlp.dense_h_to_4h,0,inf,6144,1006,6144,1,0.03929673561422245,1673.0,inf,success,40.90625,,0,1673.0,15.3515625
7,24,Linear,0.03769680809502263,6144,24576,4.0,6.1437165089455785,16.91921929221341,-1.16450151195425,True,568.0,LAYER_TYPE.DENSE,16.921969540285897,4.688,2.754,gpt_neox.layers.1.mlp.dense_4h_to_h,0,48640.0,6144,440,6144,1,0.24521706304822752,568.0,85.6,success,23.828125,under-trained,0,568.0,16.796875
8,31,Linear,0.021785780878717298,6144,18432,3.0,2.8459548214138497,7.9764554076735825,-1.1058344240504125,True,634.5,LAYER_TYPE.DENSE,8.441572966524637,4.68,2.803,gpt_neox.layers.2.attention.query_key_value,0,47800.0,6144,135,6144,1,0.1588744951374917,634.5,75.4,success,25.1875,,0,634.5,48.34375
9,32,Linear,0.03998448349920802,6144,6144,1.0,3.456172723371574,6.422945988843853,-1.1235149162954046,True,72.25,LAYER_TYPE.DENSE,6.60304928852979,3.953,1.858,gpt_neox.layers.2.attention.dense,0,8990.0,6144,280,6144,1,0.14678439542202384,72.25,124.44,success,8.5,,4,72.25,5.8671875
10,34,Linear,0.013622179024138537,6144,24576,4.0,2.4256063483951715,7.0115183508297925,-0.3684775315604027,True,777.0,LAYER_TYPE.DENSE,7.918380051134327,inf,2.89,gpt_neox.layers.2.mlp.dense_h_to_4h,0,inf,6144,1039,6144,1,0.04422744457128054,777.0,inf,success,27.875,,0,777.0,17.5
11,35,Linear,0.023389646016126364,6144,24576,4.0,3.531435896011422,8.704437696809403,-1.163697853215841,True,292.2,LAYER_TYPE.DENSE,8.842866769052767,4.742,2.465,gpt_neox.layers.2.mlp.dense_4h_to_h,0,55330.0,6144,174,6144,1,0.19246150723342464,292.2,189.4,success,17.09375,,0,292.25,24.265625
12,42,Linear,0.025898354017460656,6144,18432,3.0,3.406349601782904,9.680153653504151,-1.1211039400801783,True,695.5,LAYER_TYPE.DENSE,9.82683974102465,4.69,2.842,gpt_neox.layers.3.attention.query_key_value,0,49280.0,6144,100,6144,1,0.2406349601782904,695.5,70.9,success,26.375,,0,695.5,55.25
13,43,Linear,0.03133860062235727,6144,6144,1.0,3.2888229599265646,5.9128154972898495,-1.1259258925106308,True,62.8,LAYER_TYPE.DENSE,6.2738406008775875,3.982,1.798,gpt_neox.layers.3.attention.dense,0,9610.0,6144,409,6144,1,0.11317501151754991,62.8,153.0,success,7.92578125,,4,62.8125,5.03515625
14,45,Linear,0.01388078403593232,6144,24576,4.0,2.609758025597932,7.574414894606498,-0.3684775315604027,True,797.0,LAYER_TYPE.DENSE,8.174734406596523,inf,2.902,gpt_neox.layers.3.mlp.dense_h_to_4h,0,inf,6144,1325,6144,1,0.044223454043412026,797.0,inf,success,28.234375,,0,797.0,15.078125
15,46,Linear,0.011534162889695665,6144,24576,4.0,3.7372864481502037,9.445407546692117,-1.1620905357390237,True,337.0,LAYER_TYPE.DENSE,9.503734731489335,4.746,2.527,gpt_neox.layers.3.mlp.dense_4h_to_h,0,55680.0,6144,931,6144,1,0.08971093990233177,337.0,165.2,success,18.359375,,0,337.0,14.5078125
16,53,Linear,0.018565845522505398,6144,18432,3.0,3.3799221256494723,8.878896990231524,-1.1347661386331267,True,423.5,LAYER_TYPE.DENSE,9.188195191738789,4.71,2.627,gpt_neox.layers.4.attention.query_key_value,0,51500.0,6144,122,6144,1,0.21546802516877148,423.5,121.56,success,20.578125,,0,423.5,44.34375
17,54,Linear,0.02243424556565443,6144,6144,1.0,3.338758337771139,6.322121500916248,-1.125122233772222,True,78.2,LAYER_TYPE.DENSE,6.604406940338226,4.035,1.894,gpt_neox.layers.4.attention.dense,0,10890.0,6144,336,6144,1,0.1275897275600636,78.2,139.2,success,8.84375,,4,78.1875,6.26171875
