,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
0,4,OPTLearnedPositionalEmbedding,0.05027527210186905,2050,5120,2.497560975609756,2.3678771304383224,5.188980742874605,-0.7019959080000256,True,155.1,LAYER_TYPE.EMBEDDING,5.198344179569875,2.865,2.191,model.decoder.embed_positions,0,732.5,2050,609,2050,1,0.05542917852966252,155.1,4.723,success,12.453125,,1,155.125,0.25634765625
1,9,Linear,0.03636241339250551,5120,5120,1.0,3.68072654078076,5.391689268721817,-1.0495783123618014,True,29.14,LAYER_TYPE.DENSE,5.437046358956306,3.123,1.465,model.decoder.layers.0.self_attn.k_proj,0,1327.0,5120,412,5120,1,0.13206991736916845,29.14,45.53,success,5.3984375,,8,29.140625,0.7353515625
2,10,Linear,0.041109298528020644,5120,5120,1.0,3.0985585593909044,1.2792144833813524,-1.060025875961115,True,2.588,LAYER_TYPE.DENSE,2.499805253014312,2.91,0.4128,model.decoder.layers.0.self_attn.v_proj,0,814.5,5120,656,5120,1,0.08193494619090282,2.588,314.8,success,1.6083984375,,10,2.587890625,0.347412109375
3,11,Linear,0.03918591421351325,5120,5120,1.0,2.7756407654450275,3.426181569846206,-1.0415417249777141,True,17.14,LAYER_TYPE.DENSE,3.8602800456528934,3.145,1.234,model.decoder.layers.0.self_attn.q_proj,0,1394.0,5120,908,5120,1,0.05892670845265414,17.14,81.3,success,4.140625,,9,17.140625,0.4443359375
4,12,Linear,0.05089577381591959,5120,5120,1.0,3.7847421369378793,8.249555126606785,-0.8904538821568728,True,151.0,LAYER_TYPE.DENSE,8.248950502584766,2.791,2.18,model.decoder.layers.0.self_attn.out_proj,0,618.0,5120,442,5120,1,0.1324566758269481,151.0,4.094,success,12.2890625,,14,151.0,0.23583984375
5,15,Linear,0.03437760509622323,5120,20480,4.0,2.3657439054509144,6.722963637560704,-1.002966105534095,True,694.0,LAYER_TYPE.DENSE,6.7858061836924985,4.055,2.842,model.decoder.layers.0.fc1,0,11390.0,5120,2300,5120,1,0.028477729019711833,694.0,16.42,success,26.34375,,0,694.0,1.1123046875
6,16,Linear,0.05266748635987739,5120,20480,4.0,4.398953274012591,9.313408884823533,-1.0769027094676982,True,131.0,LAYER_TYPE.DENSE,9.397822852341626,3.938,2.117,model.decoder.layers.0.fc2,0,8664.0,5120,482,5120,1,0.15481807928698046,131.0,66.1,success,11.4453125,,0,131.0,3.78515625
7,20,Linear,0.02481282103385729,5120,5120,1.0,2.0203629962520746,5.252154585959983,-0.8341977704682617,True,397.5,LAYER_TYPE.DENSE,5.347859126802981,3.29,2.6,model.decoder.layers.1.self_attn.k_proj,0,1946.0,5120,141,5120,1,0.08593006574788739,397.5,4.895,success,19.9375,,8,397.5,1.265625
8,21,Linear,0.040909215781569475,5120,5120,1.0,4.105219464959133,6.3783243835449035,-1.047970994884984,True,35.78,LAYER_TYPE.DENSE,6.3817698724495715,3.037,1.554,model.decoder.layers.1.self_attn.v_proj,0,1091.0,5120,339,5120,1,0.1686523708676971,35.78,30.48,success,5.98046875,,8,35.78125,0.669921875
9,22,Linear,0.028657786638452643,5120,5120,1.0,2.11230912142252,4.822830786997901,-0.875184366127107,True,191.6,LAYER_TYPE.DENSE,5.138217523841483,3.229,2.283,model.decoder.layers.1.self_attn.q_proj,0,1695.0,5120,150,5120,1,0.09081965945762104,191.6,8.84,success,13.84375,,10,191.625,1.28515625
10,23,Linear,0.07007611243700707,5120,5120,1.0,3.5720967396036296,7.1337283520404515,-0.9426917001534403,True,99.4,LAYER_TYPE.DENSE,7.193768186014126,2.914,1.997,model.decoder.layers.1.self_attn.out_proj,0,821.0,5120,563,5120,1,0.10840095329258768,99.4,8.26,success,9.96875,,14,99.375,0.317626953125
11,26,Linear,0.031268687428254505,5120,20480,4.0,2.3766943330468666,6.071711303955667,-1.0174319628254522,True,359.2,LAYER_TYPE.DENSE,6.399970551991983,4.11,2.555,model.decoder.layers.1.fc1,0,12910.0,5120,1902,5120,1,0.03156692427231997,359.2,35.94,success,18.953125,,0,359.25,1.5556640625
12,27,Linear,0.036589880420776044,5120,20480,4.0,4.107365438284837,9.618615547858436,-1.074491733252472,True,220.1,LAYER_TYPE.DENSE,9.626527268732634,3.988,2.342,model.decoder.layers.1.fc2,0,9730.0,5120,479,5120,1,0.14197915080442752,220.1,44.2,success,14.8359375,,0,220.125,4.18359375
13,31,Linear,0.022026694783228717,5120,5120,1.0,1.950957957272354,5.163179750203203,-0.8301794767762181,True,442.2,LAYER_TYPE.DENSE,5.229865400090432,3.299,2.646,model.decoder.layers.2.self_attn.k_proj,0,1991.0,5120,154,5120,1,0.07663037597927293,442.2,4.504,success,21.03125,over-trained,10,442.25,1.1044921875
14,32,Linear,0.029535417531951103,5120,5120,1.0,3.9165421621278558,5.316400005232148,-1.05038197110021,True,22.75,LAYER_TYPE.DENSE,5.388123294899053,3.115,1.357,model.decoder.layers.2.self_attn.v_proj,0,1303.0,5120,284,5120,1,0.17306493716811913,22.75,57.28,success,4.76953125,,10,22.75,0.88525390625
15,33,Linear,0.018672370772396696,5120,5120,1.0,2.0412723700588717,4.696521195174514,-0.8759880248655157,True,200.0,LAYER_TYPE.DENSE,4.96717240904158,3.242,2.3,model.decoder.layers.2.self_attn.q_proj,0,1745.0,5120,145,5120,1,0.0864729636299801,200.0,8.73,success,14.140625,,10,200.0,1.3642578125
16,34,Linear,0.05502256715811171,5120,5120,1.0,3.505786282546476,6.018722934293657,-1.0053770817493213,True,52.06,LAYER_TYPE.DENSE,6.126011006258141,2.951,1.717,model.decoder.layers.2.self_attn.out_proj,0,894.0,5120,522,5120,1,0.10967528609000088,52.06,17.17,success,7.21484375,,13,52.0625,0.41357421875
17,37,Linear,0.023102637417289573,5120,20480,4.0,2.398567276346317,6.024526401135476,-1.0278795264247658,True,324.5,LAYER_TYPE.DENSE,6.360893996567234,4.137,2.512,model.decoder.layers.2.fc1,0,13704.0,5120,1481,5120,1,0.036341749720757925,324.5,42.22,success,18.015625,,0,324.5,2.134765625
18,38,Linear,0.015431619906697946,5120,20480,4.0,3.878526360507997,9.279677327387297,-1.0736880745140633,True,246.6,LAYER_TYPE.DENSE,9.280391244193314,4.02,2.393,model.decoder.layers.2.fc2,0,10424.0,5120,409,5120,1,0.14233396802980164,246.6,42.28,success,15.703125,,0,246.625,4.68359375
19,42,Linear,0.033577221199744156,5120,5120,1.0,1.746731413397951,4.5476425274598995,-0.836608746683488,True,400.8,LAYER_TYPE.DENSE,4.806421075618399,3.46,2.604,model.decoder.layers.3.self_attn.k_proj,0,2888.0,5120,480,5120,1,0.03408346995964777,400.8,7.207,success,20.015625,over-trained,10,400.75,0.386962890625
20,43,Linear,0.014430398663742128,5120,5120,1.0,3.403998690692129,4.122029664509999,-1.0495783123618014,True,16.25,LAYER_TYPE.DENSE,4.33622491011648,3.188,1.211,model.decoder.layers.3.self_attn.v_proj,0,1537.0,5120,252,5120,1,0.15143768304038713,16.25,94.56,success,4.03125,,9,16.25,1.1044921875
21,44,Linear,0.039999498893929175,5120,5120,1.0,1.7482662278705061,3.964330254995425,-0.8735770486502895,True,185.2,LAYER_TYPE.DENSE,4.519473448156168,3.414,2.268,model.decoder.layers.3.self_attn.q_proj,0,2590.0,5120,529,5120,1,0.032564107744627445,185.2,13.984,success,13.609375,over-trained,10,185.25,0.363037109375
22,45,Linear,0.01745945169444718,5120,5120,1.0,3.1949037473470545,4.670674716580606,-1.0318978201168094,True,28.97,LAYER_TYPE.DENSE,4.788726897639792,3.01,1.462,model.decoder.layers.3.self_attn.out_proj,0,1023.5,5120,399,5120,1,0.10988262660388484,28.97,35.34,success,5.3828125,,10,28.96875,0.572265625
23,48,Linear,0.016574778757656117,5120,20480,4.0,2.4182109371875633,6.097481093572547,-1.0343087963320357,True,333.0,LAYER_TYPE.DENSE,6.382434791905056,4.156,2.521,model.decoder.layers.3.fc1,0,14280.0,5120,1200,5120,1,0.040940223317645554,333.0,42.88,success,18.25,,0,333.0,2.71484375
24,49,Linear,0.00843916592508076,5120,20480,4.0,3.924404665583943,9.450763579423832,-1.0769027094676982,True,256.0,LAYER_TYPE.DENSE,9.45215284320061,4.06,2.408,model.decoder.layers.3.fc2,0,11450.0,5120,408,5120,1,0.14477960471487322,256.0,44.72,success,16.0,,0,256.0,5.0546875
25,53,Linear,0.03747200204547607,5120,5120,1.0,1.7341318569575368,4.260816164165198,-0.8599148500973411,True,287.0,LAYER_TYPE.DENSE,4.655845442142864,3.475,2.457,model.decoder.layers.4.self_attn.k_proj,0,2988.0,5120,549,5120,1,0.031360558688274864,287.0,10.414,success,16.9375,over-trained,10,287.0,0.37255859375
26,54,Linear,0.014722374420666207,5120,5120,1.0,3.163703077613934,3.3336285358842135,-1.0495783123618014,True,11.33,LAYER_TYPE.DENSE,3.9591048628690926,3.217,1.054,model.decoder.layers.4.self_attn.v_proj,0,1650.0,5120,410,5120,1,0.10685767840605433,11.33,145.6,success,3.365234375,,7,11.328125,0.92431640625
27,55,Linear,0.030765366395132332,5120,5120,1.0,2.4291168930475173,5.5936109705137165,-0.8792026598191507,True,201.1,LAYER_TYPE.DENSE,5.870614876303851,3.445,2.303,model.decoder.layers.4.self_attn.q_proj,0,2790.0,5120,48,5120,1,0.20627525572610644,201.1,13.875,success,14.1796875,,10,201.125,11.1171875
28,56,Linear,0.01678585899433538,5120,5120,1.0,3.0214921196607114,3.6588381136516426,-1.0423453837161227,True,16.25,LAYER_TYPE.DENSE,3.9055886010179317,3.04,1.211,model.decoder.layers.4.self_attn.out_proj,0,1094.0,5120,515,5120,1,0.08907758579447225,16.25,67.3,success,4.03125,,11,16.25,0.53369140625
29,59,Linear,0.015403464158055075,5120,20480,4.0,2.3869166791233027,6.027897004114122,-1.0310941613784006,True,335.2,LAYER_TYPE.DENSE,6.371663508080458,4.164,2.525,model.decoder.layers.4.fc1,0,14620.0,5120,1206,5120,1,0.03993711760022587,335.2,43.62,success,18.3125,,0,335.25,2.71484375
30,60,Linear,0.019317174124869996,5120,20480,4.0,4.2982888268221355,10.040534056404832,-1.0825283206365592,True,216.6,LAYER_TYPE.DENSE,10.039975014269304,4.086,2.336,model.decoder.layers.4.fc2,0,12230.0,5120,348,5120,1,0.1768068397375728,216.6,56.47,success,14.71875,,0,216.625,5.6328125
